GEO_ID,B19001H_001E,B19001H_001M,B19001H_002E,B19001H_002M,B19001H_003E,B19001H_003M,B19001H_004E,B19001H_004M,B19001H_005E,B19001H_005M,B19001H_006E,B19001H_006M,B19001H_007E,B19001H_007M,B19001H_008E,B19001H_008M,B19001H_009E,B19001H_009M,B19001H_010E,B19001H_010M,B19001H_011E,B19001H_011M,B19001H_012E,B19001H_012M,B19001H_013E,B19001H_013M,B19001H_014E,B19001H_014M,B19001H_015E,B19001H_015M,B19001H_016E,B19001H_016M,B19001H_017E,B19001H_017M,NAME,B19001H_001EA,B19001H_001MA,B19001H_002EA,B19001H_002MA,B19001H_003MA,B19001H_003EA,B19001H_004MA,B19001H_004EA,B19001H_005EA,B19001H_005MA,B19001H_006EA,B19001H_006MA,B19001H_007EA,B19001H_007MA,B19001H_008MA,B19001H_008EA,B19001H_009MA,B19001H_009EA,B19001H_010EA,B19001H_010MA,B19001H_011EA,B19001H_011MA,B19001H_012EA,B19001H_012MA,B19001H_013MA,B19001H_013EA,B19001H_014MA,B19001H_014EA,B19001H_015MA,B19001H_015EA,B19001H_016EA,B19001H_016MA,B19001H_017EA,B19001H_017MA,state
0400000US01,1269972,8413,85638,4576,71013,3855,67451,4408,73819,3925,66573,4092,66478,4018,65688,3480,60393,3873,52669,3797,109044,4956,135375,4606,153680,6716,100978,4826,54688,3316,55822,3417,50663,3328,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,177813,2915,5519,1123,4933,943,5080,947,4377,918,6146,1155,5100,888,6549,1106,7463,1352,5476,1079,12068,1596,18960,1849,26874,2376,22815,2052,15035,1581,17864,1755,13554,1660,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1624574,10044,96464,5462,66238,3532,73431,3826,81410,4313,79029,4231,82006,4395,76286,4391,75798,3634,75118,4638,135290,5288,178860,5204,208719,6491,140894,5423,82116,4150,87710,3608,85205,4087,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,882511,6547,62731,3551,58652,3519,54013,3583,56633,3548,51670,3096,53781,3115,46216,3051,44295,3473,41720,2867,72161,4179,90459,4727,100895,4504,59303,3599,33251,2795,26345,2191,30386,2233,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6268490,18608,298264,6459,253213,8619,227018,8352,256039,7547,219335,7255,224877,7161,208594,6815,224162,7265,209768,7400,407686,9046,566357,11776,782745,13070,632967,11713,440303,8833,560741,11525,756421,12002,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1570527,7204,69770,3454,50798,3841,53850,3481,61721,3765,58243,3484,61913,3116,66918,3942,67672,3923,61283,3605,116715,5660,167248,6507,219230,6620,168135,5566,105183,4047,117693,4505,124155,4498,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,987457,6436,39355,2814,30055,2383,33188,2387,34746,2821,32794,2696,31401,2604,29826,2339,34027,2788,37742,3099,64032,3170,91423,4210,127777,5748,108850,4180,74997,3755,95490,4321,121754,3682,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243338,3390,10069,1568,6167,1132,8194,1434,10850,1410,9856,1174,11496,1659,11976,1573,10666,1849,9850,1390,21684,2092,27887,2654,37434,2797,22753,2059,14779,1565,15875,1608,13802,1386,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114661,2376,3260,755,1278,582,1310,666,1204,486,1746,672,1827,545,1815,623,2145,585,2851,918,4972,1150,8183,1122,13293,1775,13519,1580,11592,1409,15251,1743,30415,1856,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4727199,19211,274412,9055,211650,7712,232253,7669,262820,8427,242403,6588,257054,6823,245892,7970,222202,6519,209835,7188,395558,8603,501406,10220,576984,12254,381324,9221,219656,7268,234138,7483,259612,6943,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
