GEO_ID,B08124_001E,B08124_001M,B08124_002E,B08124_002M,B08124_003E,B08124_003M,B08124_004E,B08124_004M,B08124_005E,B08124_005M,B08124_006E,B08124_006M,B08124_007E,B08124_007M,B08124_008E,B08124_008M,B08124_009E,B08124_009M,B08124_010E,B08124_010M,B08124_011E,B08124_011M,B08124_012E,B08124_012M,B08124_013E,B08124_013M,B08124_014E,B08124_014M,B08124_015E,B08124_015M,B08124_016E,B08124_016M,B08124_017E,B08124_017M,B08124_018E,B08124_018M,B08124_019E,B08124_019M,B08124_020E,B08124_020M,B08124_021E,B08124_021M,B08124_022E,B08124_022M,B08124_023E,B08124_023M,B08124_024E,B08124_024M,B08124_025E,B08124_025M,B08124_026E,B08124_026M,B08124_027E,B08124_027M,B08124_028E,B08124_028M,B08124_029E,B08124_029M,B08124_030E,B08124_030M,B08124_031E,B08124_031M,B08124_032E,B08124_032M,B08124_033E,B08124_033M,B08124_034E,B08124_034M,B08124_035E,B08124_035M,B08124_036E,B08124_036M,B08124_037E,B08124_037M,B08124_038E,B08124_038M,B08124_039E,B08124_039M,B08124_040E,B08124_040M,B08124_041E,B08124_041M,B08124_042E,B08124_042M,B08124_043E,B08124_043M,B08124_044E,B08124_044M,B08124_045E,B08124_045M,B08124_046E,B08124_046M,B08124_047E,B08124_047M,B08124_048E,B08124_048M,B08124_049E,B08124_049M,NAME,B08124_001MA,B08124_001EA,B08124_002MA,B08124_002EA,B08124_003EA,B08124_003MA,B08124_004EA,B08124_004MA,B08124_005EA,B08124_005MA,B08124_006MA,B08124_006EA,B08124_007MA,B08124_007EA,B08124_008EA,B08124_008MA,B08124_009EA,B08124_009MA,B08124_010EA,B08124_010MA,B08124_011MA,B08124_011EA,B08124_012MA,B08124_012EA,B08124_013MA,B08124_013EA,B08124_014EA,B08124_014MA,B08124_015EA,B08124_015MA,B08124_016EA,B08124_016MA,B08124_017MA,B08124_017EA,B08124_018MA,B08124_018EA,B08124_019EA,B08124_019MA,B08124_020EA,B08124_020MA,B08124_021EA,B08124_021MA,B08124_022MA,B08124_022EA,B08124_023MA,B08124_023EA,B08124_024MA,B08124_024EA,B08124_025EA,B08124_025MA,B08124_026EA,B08124_026MA,B08124_027EA,B08124_027MA,B08124_028MA,B08124_028EA,B08124_029MA,B08124_029EA,B08124_030EA,B08124_030MA,B08124_031EA,B08124_031MA,B08124_032EA,B08124_032MA,B08124_033MA,B08124_033EA,B08124_034MA,B08124_034EA,B08124_035MA,B08124_035EA,B08124_036EA,B08124_036MA,B08124_037EA,B08124_037MA,B08124_038MA,B08124_038EA,B08124_039MA,B08124_039EA,B08124_040MA,B08124_040EA,B08124_041EA,B08124_041MA,B08124_042EA,B08124_042MA,B08124_043MA,B08124_043EA,B08124_044MA,B08124_044EA,B08124_045MA,B08124_045EA,B08124_046MA,B08124_046EA,B08124_047MA,B08124_047EA,B08124_048EA,B08124_048MA,B08124_049EA,B08124_049MA,state
0400000US13,4555243,21695,1652699,20136,738608,14668,1099912,19738,415667,12603,622492,11820,25865,3161,3626672,19600,1344506,19092,564149,12971,892492,18458,299469,11801,508983,10372,17073,2646,453091,12985,120343,6581,87086,5859,89727,5462,81405,5765,73240,5364,1290,704,104957,6737,27686,2938,32058,3820,26309,3695,8111,1950,10583,1851,210,189,69170,5980,18420,2362,19695,3227,16319,2360,3956,1154,7280,1608,3500,1004,69385,6427,17344,2269,15816,2803,12349,2468,10426,2646,12822,2478,628,381,231968,9335,124400,6983,19804,2612,62716,4338,12300,2327,9584,1881,3164,857,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,704914,7321,228892,6187,153438,5632,165924,5933,71559,4649,58651,4030,26450,2378,475067,7451,158192,5428,91366,4287,114049,5359,52565,3921,41009,3504,17886,2399,95464,5214,35738,3182,19244,1957,21226,2308,9659,1822,7312,1248,2285,696,49270,3864,8484,1326,21077,2633,13299,1738,2385,789,4025,1058,0,182,29047,2608,6475,1222,8694,1624,6226,1061,2347,695,1844,811,3461,841,23450,2118,5495,1150,7145,1480,4512,1050,2387,761,2594,757,1317,533,32616,3184,14508,1847,5912,1334,6612,1188,2216,882,1867,695,1501,826,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,734911,8152,247707,7128,138593,6397,168696,7535,83289,4462,93890,4972,2736,1367,566332,9324,194008,6948,103912,5062,132933,6585,60461,3885,72456,4786,2562,1363,79038,5103,21021,2381,17395,2892,15604,2186,13695,2155,11224,1793,99,122,5905,1226,2424,655,1158,615,824,743,830,662,669,400,0,193,23518,2778,6972,1613,6716,1387,4206,991,3046,960,2578,965,0,193,14881,2187,4908,1168,3002,854,2593,727,1805,928,2573,933,0,193,45237,4045,18374,2184,6410,1416,12536,2506,3452,1111,4390,1464,75,62,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6094828,22953,2282978,19440,1057493,15278,1446530,16509,446238,9181,849689,13253,11900,1797,4485040,27164,1635876,18940,755943,13907,1072294,14916,355172,8631,662772,9981,2983,920,482647,13251,134605,6113,92572,5460,104324,5386,50475,3869,100476,5595,195,196,566654,12552,268947,8070,103230,5368,140544,6796,14295,2083,39508,3716,130,154,185404,7998,68203,4285,42491,3698,45370,3722,6905,1188,14426,2024,8009,1342,106649,5384,40837,3248,20831,2377,20349,2164,4935,1121,19600,2680,97,159,268434,8524,134510,6047,42426,3389,63649,3602,14456,2264,12907,1787,486,448,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3063590,16142,1010245,15943,503626,10900,698176,10964,276383,7731,573684,11489,1476,655,2545272,17562,857162,14938,399767,9799,587278,11175,225314,6928,474678,11440,1073,639,264220,10374,66831,4129,47901,3528,50667,4050,32922,3385,65813,5037,86,147,33240,3130,8670,1451,9500,1923,7595,1559,2308,832,5167,1213,0,189,69969,4347,19638,2027,20754,2672,18448,1914,3642,898,7223,1427,264,61,41721,3623,8266,1472,9163,1373,6620,1264,4163,1010,13456,2082,53,83,109168,4985,49678,3450,16541,2056,27568,2415,8034,1801,7347,1247,0,189,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1574828,10754,543803,10025,263647,8515,349389,9197,150189,5557,267546,6740,254,166,1274961,11457,445987,9049,199658,7175,290027,8593,120709,4579,218326,6446,254,166,135819,5647,35099,2884,23263,2368,28054,2518,18553,2251,30850,2704,0,155,21648,2568,7609,1523,5636,1356,4346,1191,531,398,3526,835,0,155,54044,3415,17976,1633,17775,2163,9979,1470,3400,758,4914,936,0,155,24108,2189,6696,1300,4987,1037,4819,944,1875,590,5731,1162,0,155,64248,3432,30436,2551,12328,1618,12164,1562,5121,1078,4199,982,0,155,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1413917,10989,525661,8784,236574,6631,309520,8573,139831,5602,191508,6555,10823,1665,1168154,12818,442469,7668,186716,6301,260153,7882,114609,5610,155715,6453,8492,1578,125499,5275,34996,2417,26133,2784,23644,2389,16428,1985,23963,2288,335,315,8983,1772,2419,821,3008,930,1129,414,579,428,1738,666,110,188,32791,2751,10879,1421,8780,1289,6946,1320,2683,671,2562,687,941,456,19062,2106,5490,1119,2737,872,4096,1415,2476,881,4034,879,229,194,59428,3100,29408,1992,9200,1310,13552,1398,3056,870,3496,868,716,385,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1898550,13609,631419,12474,314570,10209,450294,9933,174571,7139,321494,8808,6202,1087,1559409,14460,532756,11346,245855,9753,376838,9409,137768,5821,261958,7988,4234,1038,184672,7472,48414,3187,34413,3291,39135,2841,25667,3236,36599,3787,444,356,21727,2376,3773,874,6221,1300,4992,1326,1164,691,5524,1237,53,90,46953,3182,12458,1465,12625,1380,11381,1625,4137,1261,5024,1121,1328,408,26050,2464,5488,1206,6441,1285,4077,1072,1989,921,7976,1747,79,131,59739,4095,28530,2496,9015,1637,13871,1813,3846,1084,4413,1085,64,106,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2014335,15678,673764,12998,384830,11351,473955,12476,238040,8286,237903,7975,5843,1213,1667940,16472,577166,12773,299649,9317,399547,11693,188989,6948,197458,7294,5131,1174,181268,9554,45852,3910,44277,4523,36910,3752,32633,3214,21265,2751,331,235,29758,3245,6480,1972,12948,1869,5029,1286,2326,837,2975,918,0,204,41099,3957,10113,1550,13242,2279,10041,1889,3422,1307,4168,1315,113,172,37412,3186,9692,1749,8168,1560,6440,1522,5604,1150,7288,1520,220,162,56858,4390,24461,2476,6546,1456,15988,2394,5066,1386,4749,1338,48,78,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,636271,7794,232676,7102,112866,5070,151133,5759,67179,3540,71670,3688,747,402,506801,8045,189170,7076,83984,4551,122711,5042,52018,3132,58350,3523,568,403,55341,3938,15661,1931,12279,1829,11651,1474,8709,1323,7041,1172,0,163,4045,1122,607,313,1681,842,1268,554,106,145,383,281,0,163,24332,2464,6838,1098,6922,1481,7053,1459,2020,738,1445,476,54,78,9264,1672,2160,514,1822,765,1937,816,1124,632,2126,727,95,156,36488,3120,18240,2243,6178,1337,6513,1229,3202,866,2325,896,30,101,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
