GEO_ID,B21001I_001E,B21001I_001M,B21001I_002E,B21001I_002M,B21001I_003E,B21001I_003M,B21001I_004E,B21001I_004M,B21001I_005E,B21001I_005M,B21001I_006E,B21001I_006M,B21001I_007E,B21001I_007M,B21001I_008E,B21001I_008M,B21001I_009E,B21001I_009M,B21001I_010E,B21001I_010M,B21001I_011E,B21001I_011M,B21001I_012E,B21001I_012M,B21001I_013E,B21001I_013M,B21001I_014E,B21001I_014M,B21001I_015E,B21001I_015M,B21001I_016E,B21001I_016M,B21001I_017E,B21001I_017M,B21001I_018E,B21001I_018M,B21001I_019E,B21001I_019M,B21001I_020E,B21001I_020M,B21001I_021E,B21001I_021M,B21001I_022E,B21001I_022M,B21001I_023E,B21001I_023M,B21001I_024E,B21001I_024M,B21001I_025E,B21001I_025M,B21001I_026E,B21001I_026M,B21001I_027E,B21001I_027M,B21001I_028E,B21001I_028M,B21001I_029E,B21001I_029M,B21001I_030E,B21001I_030M,B21001I_031E,B21001I_031M,B21001I_032E,B21001I_032M,B21001I_033E,B21001I_033M,NAME,B21001I_001EA,B21001I_001MA,B21001I_002MA,B21001I_002EA,B21001I_003MA,B21001I_003EA,B21001I_004MA,B21001I_004EA,B21001I_005EA,B21001I_005MA,B21001I_006EA,B21001I_006MA,B21001I_007EA,B21001I_007MA,B21001I_008MA,B21001I_008EA,B21001I_009MA,B21001I_009EA,B21001I_010MA,B21001I_010EA,B21001I_011EA,B21001I_011MA,B21001I_012EA,B21001I_012MA,B21001I_013MA,B21001I_013EA,B21001I_014MA,B21001I_014EA,B21001I_015MA,B21001I_015EA,B21001I_016EA,B21001I_016MA,B21001I_017EA,B21001I_017MA,B21001I_018EA,B21001I_018MA,B21001I_019MA,B21001I_019EA,B21001I_020MA,B21001I_020EA,B21001I_021EA,B21001I_021MA,B21001I_022EA,B21001I_022MA,B21001I_023EA,B21001I_023MA,B21001I_024MA,B21001I_024EA,B21001I_025MA,B21001I_025EA,B21001I_026EA,B21001I_026MA,B21001I_027EA,B21001I_027MA,B21001I_028EA,B21001I_028MA,B21001I_029EA,B21001I_029MA,B21001I_030MA,B21001I_030EA,B21001I_031EA,B21001I_031MA,B21001I_032EA,B21001I_032MA,B21001I_033EA,B21001I_033MA,state
0400000US01,116228,2893,62822,3183,27114,1881,389,328,26725,1989,26591,2405,1125,549,25466,2388,6948,1791,1409,659,5539,1782,1619,635,765,370,854,464,550,447,270,366,280,253,53406,2027,26109,2254,165,175,25944,2243,19931,1405,88,91,19843,1398,4021,1029,341,297,3680,1032,1842,642,0,192,1842,642,1503,631,85,144,1418,616,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31731,857,15774,1075,8644,1048,1447,949,7197,1096,5014,762,1201,547,3813,854,1590,407,200,189,1390,372,430,329,246,317,184,117,96,136,11,26,85,133,15957,668,7199,855,261,274,6938,825,5820,903,276,231,5544,916,1568,467,0,149,1568,467,1232,455,22,34,1210,450,138,189,0,149,138,189,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1390219,910,691817,855,302890,1580,6862,1504,296028,2195,255876,1474,15061,1876,240815,2189,73114,470,9728,1608,63386,1585,38637,703,11929,1449,26708,1488,21300,553,7456,1044,13844,955,698402,322,284217,811,1499,640,282718,1057,259160,794,1468,392,257692,883,80148,377,1073,453,79075,630,45076,691,84,96,44992,694,29801,647,323,210,29478,702,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,125857,1549,64977,1324,31185,1439,437,245,30748,1406,25880,1490,965,494,24915,1486,4640,719,385,280,4255,761,2747,709,434,296,2313,655,525,311,294,239,231,199,60880,1467,28623,1241,541,489,28082,1238,22907,1132,186,211,22721,1157,5263,903,79,131,5184,881,2801,1012,0,190,2801,1012,1286,630,0,190,1286,630,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10424625,2434,5205321,2584,2193813,2529,40726,3376,2153087,4158,2002498,1725,67449,4656,1935049,4734,577265,723,42655,3030,534610,3117,271000,987,48065,2734,222935,2706,160745,895,35639,2230,125106,2316,5219304,1077,2071756,1556,7032,1248,2064724,1924,1959798,1440,9665,1590,1950133,2319,616790,992,2651,903,614139,1291,329493,907,1256,473,328237,1047,241467,1142,1236,410,240231,1276,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,766644,1311,389094,1617,166737,1654,4824,1213,161913,2117,147929,1735,9337,1521,138592,2346,41317,1026,6002,926,35315,1185,21898,725,8642,1013,13256,1006,11213,688,4674,888,6539,906,377550,1055,154810,1340,1523,713,153287,1558,141058,1316,1639,650,139419,1384,41906,782,702,307,41204,763,24286,1118,388,280,23898,1125,15490,819,81,98,15409,841,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,378751,361,187457,593,82480,640,2773,1149,79707,1202,72988,615,3137,1048,69851,1107,18978,587,1481,621,17497,810,8571,457,1155,475,7416,540,4440,311,717,325,3723,483,191294,581,77127,1070,634,567,76493,1052,75658,956,756,435,74902,994,21054,386,0,198,21054,386,10916,479,0,198,10916,479,6539,226,107,139,6432,261,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,54800,132,28787,274,12633,253,521,421,12112,513,11576,257,1246,507,10330,622,2376,341,350,355,2026,362,1507,531,102,166,1405,496,695,469,238,236,457,399,26013,261,11704,299,0,190,11704,299,10249,300,514,554,9735,593,2161,272,0,190,2161,272,1345,301,0,190,1345,301,554,320,0,190,554,320,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52824,420,26613,388,11986,388,234,274,11752,481,10641,154,307,262,10334,298,2858,698,346,344,2512,716,881,706,0,200,881,706,247,238,57,81,190,219,26211,201,12356,201,0,200,12356,201,8958,4,42,70,8916,70,2554,4,0,200,2554,4,1289,471,0,200,1289,471,1054,472,0,200,1054,472,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3730610,2160,1813926,2621,637637,3487,18197,3192,619440,4476,718158,2650,33129,3720,685029,4250,221418,1922,20219,2575,201199,3089,138496,1628,17914,1903,120582,2160,98217,1444,14190,1893,84027,1841,1916684,1985,597295,2433,4215,1225,593080,2557,729913,2355,6755,1739,723158,2901,255976,1460,2411,793,253565,1735,178245,2176,658,404,177587,2208,155255,1686,786,413,154469,1695,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
