GEO_ID,B18101B_001E,B18101B_001M,B18101B_002E,B18101B_002M,B18101B_003E,B18101B_003M,B18101B_004E,B18101B_004M,B18101B_005E,B18101B_005M,B18101B_006E,B18101B_006M,B18101B_007E,B18101B_007M,B18101B_008E,B18101B_008M,B18101B_009E,B18101B_009M,B18101B_010E,B18101B_010M,NAME,B18101B_001EA,B18101B_001MA,B18101B_002EA,B18101B_002MA,B18101B_003EA,B18101B_003MA,B18101B_004EA,B18101B_004MA,B18101B_005MA,B18101B_005EA,B18101B_006EA,B18101B_006MA,B18101B_007EA,B18101B_007MA,B18101B_008EA,B18101B_008MA,B18101B_009EA,B18101B_009MA,B18101B_010MA,B18101B_010EA,state
0400000US01,1272906,5939,334532,3889,17964,2170,316568,4358,799529,4781,139740,6096,659789,6908,138845,1888,61728,2533,77117,2586,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23737,1946,6487,1336,327,208,6160,1249,16295,1038,2595,791,13700,1232,955,385,236,233,719,318,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,288930,6639,80576,3877,3821,1128,76755,3918,184470,3943,23647,2251,160823,4305,23884,990,9542,1152,14342,1047,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,454489,5485,128415,3408,9984,2186,118431,3522,283189,3692,56571,3736,226618,4777,42885,1295,20990,1677,21895,1480,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2194008,15349,494282,8687,21488,2743,472794,9160,1436868,9007,197833,7472,1239035,12580,262858,3005,109979,3984,152879,4856,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,213031,6099,56732,3816,1842,775,54890,3710,138231,3674,14163,2252,124068,4090,18068,1238,5463,1009,12605,1324,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,369503,6498,93734,3608,4142,1179,89592,3541,239357,4378,24382,2891,214975,4544,36412,1035,13144,1515,23268,1622,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,198752,3145,50547,2269,3303,1343,47244,2626,126661,1766,14183,1712,112478,2073,21544,407,7676,928,13868,1048,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,312675,2775,68209,1086,3687,875,64522,1374,201598,2451,35293,2963,166305,3896,42868,589,17746,1297,25122,1397,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3180858,15768,866638,10022,43675,4672,822963,9932,1984768,8693,213934,9179,1770834,11084,329452,4138,127893,4167,201559,4659,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
