GEO_ID,C17013_001E,C17013_001M,C17013_002E,C17013_002M,C17013_003E,C17013_003M,C17013_004E,C17013_004M,C17013_005E,C17013_005M,C17013_006E,C17013_006M,C17013_007E,C17013_007M,C17013_008E,C17013_008M,C17013_009E,C17013_009M,C17013_010E,C17013_010M,C17013_011E,C17013_011M,NAME,C17013_001MA,C17013_001EA,C17013_002MA,C17013_002EA,C17013_003EA,C17013_003MA,C17013_004EA,C17013_004MA,C17013_005EA,C17013_005MA,C17013_006MA,C17013_006EA,C17013_007MA,C17013_007EA,C17013_008MA,C17013_008EA,C17013_009EA,C17013_009MA,C17013_010EA,C17013_010MA,C17013_011MA,C17013_011EA,state
0400000US38,188210,4539,13009,1803,6575,1312,4417,941,1788,563,229,101,175201,4079,93554,3293,60408,2829,18051,1751,3188,845,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2922095,18959,313539,8602,123921,4977,134197,6169,43900,3419,11521,1688,2608556,18848,1328604,14242,996610,13773,250405,7053,32937,2743,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,969588,7423,113915,4487,42166,2906,48677,3122,18847,1660,4225,881,855673,7224,436821,7034,319648,6838,87746,3643,11458,1395,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,978396,8818,96738,5328,39461,3112,37665,3404,15543,2221,4069,1351,881658,9865,468638,7930,327230,8046,73824,4404,11966,1818,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3204295,17133,290078,8099,111815,5061,124724,6436,42758,3093,10781,1497,2914217,18594,1472653,15099,1145034,12493,261107,6832,35423,2476,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,250262,5513,25250,2641,10206,1607,11002,1890,3257,1115,785,538,225012,5585,106994,4429,96905,3918,18974,1921,2139,652,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1220885,10113,148100,6134,54164,3054,69364,4749,20651,2217,3921,942,1072785,9386,567874,8228,407427,7823,89196,4433,8288,1514,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,217013,4084,18054,1819,7088,1254,6074,1200,3369,784,1523,502,198959,4373,108464,3711,67598,3384,20426,1841,2471,559,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1675678,13165,206532,7331,77046,4199,89706,5081,32546,3005,7234,1545,1469146,13060,755361,10789,570125,10346,128507,6510,15153,2269,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6520909,27610,798190,15347,239047,8001,340971,11115,175629,6865,42543,3999,5722719,26365,2467341,21596,2391685,24686,750690,16412,113003,5987,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,693181,7268,57256,3722,18819,2178,22196,2553,12862,1651,3379,984,635925,7914,249112,6051,235977,6666,121618,5287,29218,2319,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,152379,3273,8912,1168,3682,736,3604,850,1301,489,325,345,143467,2916,78638,2726,53324,2505,10355,1205,1150,394,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2054857,14080,160045,6032,61037,4097,71368,4450,23355,2833,4285,1176,1894812,14830,891546,14468,784665,11347,192960,5568,25641,2730,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1760593,11977,139098,5130,55930,3584,52954,3805,24106,2710,6108,1528,1621495,12003,800459,11099,633402,10118,161223,5899,26411,2527,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,471947,7328,63524,3937,28142,2521,26749,2842,7723,1380,910,452,408423,7921,223701,5707,152080,6402,29516,2960,3126,901,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1469666,10643,115875,4715,47308,3089,46701,3337,17185,1772,4681,857,1353791,10277,710367,7995,500596,7134,127772,4505,15056,1800,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,145470,3828,9677,1579,3547,898,4008,1197,1516,678,606,408,135793,3745,71682,3525,48024,3037,13878,1583,2209,752,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,844538,9291,359206,7147,148589,4689,171542,5601,35033,2996,4042,1029,485332,7669,221796,6211,225723,5866,35244,2458,2569,755,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
