GEO_ID,B20017C_001E,B20017C_001M,B20017C_002E,B20017C_002M,B20017C_003E,B20017C_003M,B20017C_004E,B20017C_004M,B20017C_005E,B20017C_005M,B20017C_006E,B20017C_006M,B20017C_007E,B20017C_007M,NAME,B20017C_001EA,B20017C_001MA,B20017C_002EA,B20017C_002MA,B20017C_003MA,B20017C_003EA,B20017C_004MA,B20017C_004EA,B20017C_005MA,B20017C_005EA,B20017C_006EA,B20017C_006MA,B20017C_007EA,B20017C_007MA,state
0400000US01,30248,11417,36321,15435,45617,20085,10529,3536,26841,6754,42480,12367,8061,3740,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20331,1265,19391,1548,40960,1596,11265,1367,21299,1817,37228,4717,9311,2223,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,23080,1198,24990,1722,32058,2323,9379,1907,22046,1232,32133,1923,9593,1070,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22663,3897,27119,4875,32226,11612,16210,15310,18151,7255,29399,6687,7727,3967,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24120,1357,25896,1371,36401,1589,11631,781,21848,1232,40317,2456,11210,739,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25928,5470,31606,1846,39897,5506,12174,2159,20940,1844,32216,3572,8617,3692,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30164,7570,30966,7800,37308,8639,11049,6026,25916,8851,32082,10251,16917,5600,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23984,17403,30319,15019,31835,6964,4214,91005,13632,11214,46058,52289,11226,3933,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US12,25526,4542,27027,5690,31231,3736,9971,4601,21887,6808,40290,7244,10284,1924,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,26699,6409,31231,8688,40247,4579,10784,2621,18080,4677,30152,12186,8383,4977,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,36502,8254,36845,5479,41009,25170,10957,1561,29469,71726,71311,97267,3909,4506,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21674,7508,26779,6289,36027,7704,7342,5890,16075,9724,27216,7062,6247,2425,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,25864,3183,27053,6737,40510,5711,12054,5575,24993,5353,34976,5326,10146,4243,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,28872,2224,29370,2088,31423,10566,14718,10907,24169,9140,31404,1725,6365,3487,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,20345,7960,20396,7312,31802,20623,4813,4294,20250,10022,25260,8394,8634,1598,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20262,4719,22294,9336,37028,6720,8150,1486,17158,5974,34190,7310,11761,1731,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25322,4267,26236,5233,32219,18261,11227,6991,23834,5922,46207,28068,9343,8541,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26168,6183,31870,5429,35644,8631,11913,3314,12477,6214,27946,6518,8596,1691,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25859,2784,15191,13808,40233,30736,4550,5709,27176,5051,30847,13375,15027,17110,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,31914,5817,32400,5412,41732,16041,6554,4899,26855,17403,47093,6923,6914,908,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,25261,12214,27121,17423,46936,9305,8956,7616,22157,15608,51408,11764,10806,5537,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,22752,2718,27370,5325,42212,9184,8966,3051,17982,3055,31781,1859,9189,2422,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
