GEO_ID,B18140_001E,B18140_001M,B18140_002E,B18140_002M,B18140_003E,B18140_003M,B18140_004E,B18140_004M,B18140_005E,B18140_005M,B18140_006E,B18140_006M,B18140_007E,B18140_007M,NAME,B18140_001MA,B18140_001EA,B18140_002MA,B18140_002EA,B18140_003MA,B18140_003EA,B18140_004EA,B18140_004MA,B18140_005EA,B18140_005MA,B18140_006EA,B18140_006MA,B18140_007EA,B18140_007MA,state
0400000US19,30964,262,19607,1333,25482,1647,14359,1783,31464,267,39881,884,25600,343,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31042,278,20877,1153,26139,1405,14631,1745,31563,263,39325,1071,25382,391,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,27997,621,19151,1401,21669,1319,16657,888,29444,662,34561,958,24002,546,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,30326,293,21406,878,30063,3354,16760,963,30767,301,40038,882,24244,715,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,29408,857,17322,1697,18110,2380,16861,1478,30502,385,36166,746,25603,542,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,40905,226,29541,1640,32838,5451,25664,1186,41308,242,47237,602,36145,430,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,38807,746,21939,1449,26173,1669,19662,3167,40144,264,46797,548,32312,270,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,29887,355,18433,947,22092,896,15143,813,30471,161,37305,263,23704,414,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,35246,182,19681,1389,22927,2057,15860,1240,35986,181,41757,230,30410,223,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,27009,353,21612,882,25862,1546,18795,1886,27379,446,32163,374,22847,801,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,30228,181,20546,693,23628,1586,16857,1216,30733,196,36706,342,25464,314,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,27427,695,17969,2919,22349,4176,14922,2422,28481,960,35419,1211,22914,899,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,31080,247,22513,1602,30233,3192,16965,1509,31424,256,37470,990,25776,531,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,30828,245,26309,1122,31203,949,21846,1475,31012,261,34473,1397,27213,459,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,36569,441,21170,1660,24952,5286,18256,4169,37339,564,44833,1515,31213,579,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,39569,666,26158,1294,31212,1543,21896,1143,40281,229,47794,1031,32120,242,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,26294,473,19605,1796,22836,2467,15949,1301,26790,502,31044,487,22279,518,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,35642,173,22871,1009,26439,1190,20364,793,36179,172,41137,184,31293,190,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,29330,349,20075,820,23715,1986,16595,691,30120,155,33649,686,25633,262,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,34661,1339,22486,3302,30116,7105,18994,4424,35393,605,44339,2144,27179,861,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,30725,127,19734,803,24558,1385,15770,696,31255,127,38406,520,25554,199,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,29268,397,22370,843,27384,1961,17502,1173,30081,205,36224,385,23544,480,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
