GEO_ID,C17026_001E,C17026_001M,C17026_002E,C17026_002M,C17026_003E,C17026_003M,C17026_004E,C17026_004M,C17026_005E,C17026_005M,C17026_006E,C17026_006M,C17026_007E,C17026_007M,C17026_008E,C17026_008M,NAME,C17026_001EA,C17026_001MA,C17026_002MA,C17026_002EA,C17026_003MA,C17026_003EA,C17026_004MA,C17026_004EA,C17026_005EA,C17026_005MA,C17026_006EA,C17026_006MA,C17026_007MA,C17026_007EA,C17026_008MA,C17026_008EA,state
0400000US01,1213540,13821,70731,4435,96024,4863,52553,4651,50748,3573,80801,4667,34714,2554,827969,12356,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,3995,904,7535,1180,4020,862,5275,1122,7145,1216,3199,833,132631,2817,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,87565,5124,111536,5346,63086,4046,71594,4170,98967,4910,41592,2940,1124074,12699,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,40211,3311,64346,4161,37998,3101,39616,3147,55426,4182,21387,2553,502510,7684,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,386412,10243,612906,12539,367791,9376,392359,10271,529526,11540,207081,7627,6339831,27413,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,40222,2975,61054,3363,38108,3198,41758,2799,65389,3794,28711,2879,1056619,11431,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,27916,2534,37238,3258,20199,2368,22263,2195,33398,3001,13357,1905,721817,8503,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,8929,1559,11495,1859,6382,1171,9247,1694,10070,1473,4504,975,184758,4586,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,7717,1415,9777,1488,4692,1038,4187,1119,5177,1245,2143,708,91485,3503,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,210073,8550,331269,9338,214388,9115,220687,7927,325720,9970,129513,6236,3374961,28603,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
