GEO_ID,C15002A_001E,C15002A_001M,C15002A_002E,C15002A_002M,C15002A_003E,C15002A_003M,C15002A_004E,C15002A_004M,C15002A_005E,C15002A_005M,C15002A_006E,C15002A_006M,C15002A_007E,C15002A_007M,C15002A_008E,C15002A_008M,C15002A_009E,C15002A_009M,C15002A_010E,C15002A_010M,C15002A_011E,C15002A_011M,NAME,C15002A_001MA,C15002A_001EA,C15002A_002EA,C15002A_002MA,C15002A_003EA,C15002A_003MA,C15002A_004MA,C15002A_004EA,C15002A_005MA,C15002A_005EA,C15002A_006MA,C15002A_006EA,C15002A_007EA,C15002A_007MA,C15002A_008EA,C15002A_008MA,C15002A_009MA,C15002A_009EA,C15002A_010MA,C15002A_010EA,C15002A_011MA,C15002A_011EA,state
0400000US01,2342482,3582,1127952,2605,158430,6512,354466,7610,315091,7473,299965,7405,1214530,2294,156311,6082,359779,6925,373783,7333,324657,7368,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,332742,2055,176839,1396,7706,1372,47350,2847,62188,3329,59595,2951,155903,1209,6661,1211,32330,2634,57592,3070,59320,2734,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3663151,14295,1789250,7837,220559,8564,435240,10596,602733,12231,530718,9191,1873901,7343,212773,7615,457390,8447,668157,10653,535581,9411,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1602976,3594,775232,2442,108456,4919,275358,6552,219284,6014,172134,5536,827744,2555,99789,4234,276879,6057,253994,6478,197082,5151,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16391723,39243,8082516,22256,1284065,17712,1700150,18807,2379446,23088,2718855,19034,8309207,19980,1240064,21224,1718796,16666,2658628,19019,2691719,18988,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3176001,7976,1572202,5102,126538,5872,341371,8035,467197,9938,637096,8889,1603799,4360,110635,5507,335741,9423,491636,9039,665787,8222,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1972537,7786,940979,4814,77905,4492,264780,7805,216851,6436,381443,7774,1031558,4166,74966,4034,269845,6074,264294,6319,422453,6680,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,475992,2685,227575,1689,27078,2957,70588,3400,59093,3069,70816,3175,248417,1510,21920,2000,74194,3483,73459,3715,78844,3589,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,202478,2346,102288,1477,1825,883,2378,708,7544,1357,90541,1933,100190,1388,1264,516,2523,750,5303,1085,91100,1449,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11372215,16864,5484084,9835,640633,14098,1567881,20797,1587399,17709,1688171,21187,5888131,10296,598895,14372,1721600,18722,1864128,17501,1703508,17926,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
