GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001EA,B13002A_001MA,B13002A_002MA,B13002A_002EA,B13002A_003MA,B13002A_003EA,B13002A_004MA,B13002A_004EA,B13002A_005EA,B13002A_005MA,B13002A_006EA,B13002A_006MA,B13002A_007EA,B13002A_007MA,state
0400000US01,751930,4032,36684,3313,26523,2696,10161,2027,715246,5093,359508,7152,355738,7765,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,109872,1714,6693,1335,5720,1236,973,488,103179,2302,49466,2430,53713,2603,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1162511,9791,61719,4291,40662,3271,21057,3108,1100792,10760,458773,8922,642019,8635,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,513268,3336,31208,2896,22081,2464,9127,1424,482060,4421,251233,5915,230827,5985,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5561527,21386,269996,8009,183320,6845,86676,5438,5291531,22127,2251329,18052,3040202,21860,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1093146,5553,53820,4399,41909,3570,11911,1998,1039326,7256,485021,8351,554305,7944,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,608788,4631,24081,2713,17112,2031,6969,1542,584707,5398,246781,5950,337926,6772,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,141541,1830,6303,1139,4726,946,1577,626,135238,2095,57175,2795,78063,3513,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,91982,1580,3508,845,2965,752,543,350,88474,1708,27113,1772,61361,2217,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3247669,10869,143156,7508,94487,5210,48669,4366,3104513,12813,1330722,14470,1773791,16793,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1409166,5993,73464,5307,52817,4568,20647,2902,1335702,7800,663816,11602,671886,10692,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,76115,1516,5338,1049,4818,961,520,313,70777,1841,38097,1984,32680,2080,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,340382,2952,20391,2222,14348,2205,6043,1335,319991,3532,153107,5569,166884,5657,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2120724,8545,107475,4615,78478,3825,28997,2533,2013249,9609,903932,10354,1109317,10632,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1277691,4299,62526,3953,44410,3295,18116,2089,1215165,5879,550290,8213,664875,9679,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,624292,2515,37435,2536,26237,2071,11198,1694,586857,3731,272969,5687,313888,6401,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,550511,3020,30395,2802,21532,2204,8863,1634,520116,4154,249298,5141,270818,5783,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,894881,3547,45033,3921,30826,3027,14207,2146,849848,5096,412526,6689,437322,7294,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,666343,3623,35320,2999,23853,2350,11467,2219,631023,4413,295079,7637,335944,8011,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,271764,1429,10704,1603,6707,1088,3997,1009,261060,2232,112234,3446,148826,3495,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,764753,4672,39095,3341,28614,2596,10481,2001,725658,5481,344283,6326,381375,6758,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1264037,4814,50414,3603,35991,2411,14423,2346,1213623,5613,478525,8620,735098,9607,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1719663,4243,83508,3682,59690,2919,23818,2687,1636155,5719,725285,9071,910870,8879,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1028987,3382,56751,3560,42146,2573,14605,2395,972236,5078,454369,5642,517867,5163,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,388001,3097,17395,1895,11827,1386,5568,1445,370606,3824,185427,5363,185179,6067,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1124715,3669,56752,3390,41783,2801,14969,1521,1067963,5040,506103,8767,561860,8677,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,192753,1446,10495,1633,7816,1488,2679,716,182258,2302,83719,3050,98539,3479,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,375024,2511,23792,2242,16179,1937,7613,1448,351232,3113,170826,3957,180406,3852,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,436381,5103,20996,2455,14376,2082,6620,1413,415385,5721,183198,5332,232187,5877,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,279846,1696,13407,1970,9146,1838,4261,1069,266439,2818,114151,3994,152288,4511,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1329026,7834,62752,3708,47809,3458,14943,1982,1266274,8911,570177,8886,696097,9368,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,327793,4800,17433,2394,10998,2015,6435,1377,310360,5791,134470,5121,175890,5957,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2905395,10791,131064,5494,98810,5119,32254,3272,2774331,12269,1133202,12835,1641129,14578,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1586002,6390,77509,4101,56224,3318,21285,2686,1508493,7469,758826,10230,749667,10305,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,149417,1280,10860,1494,8254,1301,2606,765,138557,1794,66732,3144,71825,3590,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2132563,5169,108108,4950,73856,4237,34252,3665,2024455,7408,914387,9476,1110068,10953,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
