GEO_ID,C17012_001E,C17012_001M,C17012_002E,C17012_002M,C17012_003E,C17012_003M,C17012_004E,C17012_004M,C17012_005E,C17012_005M,C17012_006E,C17012_006M,C17012_007E,C17012_007M,C17012_008E,C17012_008M,C17012_009E,C17012_009M,C17012_010E,C17012_010M,C17012_011E,C17012_011M,NAME,C17012_001MA,C17012_001EA,C17012_002MA,C17012_002EA,C17012_003EA,C17012_003MA,C17012_004EA,C17012_004MA,C17012_005EA,C17012_005MA,C17012_006EA,C17012_006MA,C17012_007MA,C17012_007EA,C17012_008MA,C17012_008EA,C17012_009EA,C17012_009MA,C17012_010EA,C17012_010MA,C17012_011EA,C17012_011MA,state
0400000US01,1213540,13821,166755,6801,40377,2707,87254,4679,35697,2849,3427,1001,1046785,12834,614293,9264,370955,8350,58021,3510,3516,1058,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,11530,1402,1414,410,6090,1111,2881,668,1145,524,152270,3239,77084,2800,58922,3330,13391,1576,2873,619,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,199101,6307,47222,3305,93095,4740,48508,3636,10276,1537,1399313,13718,802163,9047,470390,10234,115505,4522,11255,1512,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,104557,5132,27063,2942,50900,3610,22962,2340,3632,991,656937,9657,382250,7259,227549,6840,44353,3640,2785,841,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,999318,15054,240915,7815,475585,13158,246418,7604,36400,3025,7836588,26834,4138952,23983,3021154,23883,632240,11848,44242,3280,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,101276,4462,23064,2113,52387,3254,21774,2450,4051,957,1230585,10898,659316,9483,462625,9009,101389,4668,7255,1467,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,65154,3905,16760,2104,33354,2814,14310,2065,730,321,811034,9505,465866,8075,291618,5994,51436,3432,2114,836,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,20424,2359,4358,781,9003,1666,6040,1490,1023,608,214961,4577,127550,3910,71321,3666,14736,1954,1354,617,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,17494,2145,3996,1003,9302,1535,3641,1057,555,333,107684,3823,58063,3098,43566,2796,5345,1134,710,492,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,541342,12813,162868,6288,262879,10223,101566,6305,14029,2260,4265269,27423,2639105,21465,1387581,18802,226386,8418,12197,1841,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2466415,18717,321564,10162,76281,4814,159320,6602,74323,5755,11640,1922,2144851,17728,1150767,16133,819817,12039,161794,6420,12473,2786,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309386,5548,21219,2256,7014,1349,8705,1516,4381,1137,1119,505,288167,5332,163472,4676,99400,4107,22611,2164,2684,754,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,400347,7093,43746,3497,12561,2214,20641,2503,9532,1651,1012,447,356601,6930,197844,4869,113526,5106,39382,3103,5849,1166,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3099463,16945,304063,7705,68564,3212,154182,6789,72453,4292,8864,1540,2795400,17541,1552229,12209,1008575,12964,220692,7274,13904,1732,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1633695,12071,166356,6469,33574,2798,86548,5195,40068,2996,6166,1118,1467339,11736,828501,9970,516999,9813,111137,5941,10702,2041,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796799,8505,61086,3406,13224,1277,32201,2791,13980,1569,1681,441,735713,8038,422520,6602,239148,6070,68974,3435,5071,1079,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,720780,8954,60794,3634,11589,1442,31045,2756,14899,1915,3261,969,659986,8919,361081,6754,234392,6358,60492,3195,4021,782,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1131839,10422,158373,6094,42421,3143,80187,4754,30354,2526,5411,1415,973466,9634,573456,7835,333873,7683,62160,3543,3977,1071,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1108586,12393,162872,6472,36999,3107,86242,5085,35048,3170,4583,1233,945714,12281,533019,8608,344006,9254,64743,5199,3946,1165,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,342926,5736,30547,2392,9318,1429,16173,1782,4441,1050,615,331,312379,5283,197084,4117,99995,4234,14087,1583,1213,462,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1454839,12340,97619,5289,23573,2041,50721,3981,19201,2182,4124,1074,1357220,13051,722202,9741,529214,9483,98859,5094,6945,1347,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1613404,12989,128216,5997,34430,3471,67505,4648,24111,3073,2170,710,1485188,13099,837681,11363,551642,10518,92781,4329,3084,872,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2479724,12956,275587,7009,65510,3735,141235,5276,55405,4009,13437,1955,2204137,13236,1313155,10848,718702,9792,159774,6088,12506,1601,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1383950,8949,87426,3585,17680,1282,44158,3197,20824,2360,4764,1021,1296524,9332,720692,6516,450560,6268,115009,3956,10263,1581,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
