GEO_ID,C18106_001E,C18106_001M,C18106_002E,C18106_002M,C18106_003E,C18106_003M,C18106_004E,C18106_004M,C18106_005E,C18106_005M,C18106_006E,C18106_006M,C18106_007E,C18106_007M,C18106_008E,C18106_008M,C18106_009E,C18106_009M,C18106_010E,C18106_010M,C18106_011E,C18106_011M,C18106_012E,C18106_012M,C18106_013E,C18106_013M,C18106_014E,C18106_014M,C18106_015E,C18106_015M,C18106_016E,C18106_016M,C18106_017E,C18106_017M,C18106_018E,C18106_018M,C18106_019E,C18106_019M,C18106_020E,C18106_020M,C18106_021E,C18106_021M,NAME,C18106_001MA,C18106_001EA,C18106_002EA,C18106_002MA,C18106_003EA,C18106_003MA,C18106_004MA,C18106_004EA,C18106_005MA,C18106_005EA,C18106_006MA,C18106_006EA,C18106_007EA,C18106_007MA,C18106_008EA,C18106_008MA,C18106_009EA,C18106_009MA,C18106_010MA,C18106_010EA,C18106_011MA,C18106_011EA,C18106_012EA,C18106_012MA,C18106_013EA,C18106_013MA,C18106_014EA,C18106_014MA,C18106_015MA,C18106_015EA,C18106_016MA,C18106_016EA,C18106_017EA,C18106_017MA,C18106_018EA,C18106_018MA,C18106_019EA,C18106_019MA,C18106_020EA,C18106_020MA,C18106_021MA,C18106_021EA,state
0400000US01,4495948,3557,2152607,5515,418130,3643,5874,1102,412256,3760,1411387,4760,35618,2642,1375769,5466,323090,2063,26209,2071,296881,2746,2343341,4958,403464,3923,3561,864,399903,4070,1519693,3777,42513,3595,1477180,4952,420184,1772,44876,3035,375308,3688,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,658381,1915,339453,2432,67990,1393,533,287,67457,1392,236718,2124,3983,1233,232735,2376,34745,726,3243,877,31502,1205,318928,1641,63226,1063,335,231,62891,1089,220361,1423,4302,839,216059,1753,35341,944,3674,789,31667,1009,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6289916,2305,3075040,3271,605373,1673,6615,1691,598758,2266,1959748,2694,33957,2804,1925791,3786,509919,1267,28560,2402,481359,2602,3214876,2877,584582,1505,4579,1025,580003,1773,2032326,2198,34330,2943,1997996,3892,597968,1577,49569,3465,548399,3822,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2735603,2743,1331525,4224,268330,3427,3491,928,264839,3620,856738,2663,20506,1966,836232,2945,206457,1612,16360,1318,190097,1727,1404078,4102,246667,3315,2090,733,244577,3336,902645,2905,25563,2817,877082,4346,254766,1684,27944,2342,226822,2965,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36142088,5223,17770748,7284,3360700,3749,35546,3134,3325154,5186,12148870,6721,199048,7241,11949822,10140,2261178,3359,177746,5448,2083432,6618,18371340,5663,3234906,2810,21741,2452,3213165,4186,12302981,4246,194935,7190,12108046,8470,2833453,3341,315432,7128,2518021,8339,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5033796,3293,2503714,4760,469564,3019,4749,1006,464815,3231,1715975,4027,22391,2457,1693584,4286,318175,1683,15079,1501,303096,2188,2530082,4461,451697,2405,2930,875,448767,2566,1700463,4150,19814,2294,1680649,4612,377922,1653,28812,2338,349110,2713,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3351455,1440,1624178,2865,294947,1520,3617,850,291330,1728,1091394,2190,16264,2384,1075130,3038,237837,1275,14954,1745,222883,2044,1727277,2263,280446,1346,2345,826,278101,1489,1141256,1700,15740,2185,1125516,2766,305575,1441,28695,2486,276880,2640,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,875758,810,419233,1316,75401,777,1062,535,74339,882,273176,1016,5118,1103,268058,1535,70656,647,3502,765,67154,1007,456525,1157,72925,761,468,279,72457,794,297506,819,5229,1035,292277,1326,86094,634,6113,1018,79981,1156,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,617452,667,289021,1068,37705,418,479,408,37226,556,221903,1297,2458,1144,219445,1686,29413,869,1912,687,27501,1021,328431,986,36480,424,133,133,36347,449,247687,722,3327,901,244360,1199,44264,548,5144,909,39120,1051,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18862358,4761,9091970,7750,1519907,5200,17328,2800,1502579,5925,5826380,5787,103757,6111,5722623,8206,1745683,3300,108730,4983,1636953,6755,9770388,6736,1475683,4010,10640,1796,1465043,4421,6161807,5652,108776,5775,6053031,8184,2132898,3781,183095,7622,1949803,8593,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
