GEO_ID,C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,NAME,C23002B_001MA,C23002B_001EA,C23002B_002MA,C23002B_002EA,C23002B_003MA,C23002B_003EA,C23002B_004EA,C23002B_004MA,C23002B_005EA,C23002B_005MA,C23002B_006MA,C23002B_006EA,C23002B_007MA,C23002B_007EA,C23002B_008MA,C23002B_008EA,C23002B_009EA,C23002B_009MA,C23002B_010EA,C23002B_010MA,C23002B_011EA,C23002B_011MA,C23002B_012MA,C23002B_012EA,C23002B_013MA,C23002B_013EA,C23002B_014EA,C23002B_014MA,C23002B_015EA,C23002B_015MA,C23002B_016EA,C23002B_016MA,C23002B_017MA,C23002B_017EA,C23002B_018MA,C23002B_018EA,C23002B_019EA,C23002B_019MA,C23002B_020EA,C23002B_020MA,C23002B_021EA,C23002B_021MA,C23002B_022EA,C23002B_022MA,C23002B_023MA,C23002B_023EA,C23002B_024EA,C23002B_024MA,C23002B_025EA,C23002B_025MA,C23002B_026EA,C23002B_026MA,C23002B_027EA,C23002B_027MA,state
0400000US01,1005967,4518,456243,2997,399688,3174,245296,4964,826,407,244470,4985,215845,5076,28625,3005,154392,5023,56555,1290,8378,1036,8160,1019,218,176,48177,1568,549724,2904,463896,3114,306935,6819,851,385,306084,6855,270132,6417,35952,3637,156961,6732,85828,1093,10621,1347,9957,1236,664,379,75207,1772,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20599,1011,13064,876,12563,870,8833,1320,1595,582,7238,1289,6837,1267,401,344,3730,1092,501,267,126,178,19,29,107,177,375,235,7535,604,7081,696,5791,970,74,113,5717,955,5638,948,79,110,1290,558,454,305,10,16,10,16,0,149,444,306,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,230104,4210,119518,2590,108286,2559,73790,2839,1004,466,72786,2822,66592,2802,6194,1569,34496,2573,11232,415,2138,737,1570,523,568,635,9094,746,110586,2736,97175,2624,68065,3351,405,484,67660,3354,59305,3363,8355,2035,29110,3013,13411,837,2403,785,2310,791,93,153,11008,910,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,354548,3585,164368,2244,145655,2381,90622,3464,525,610,90097,3510,79267,3339,10830,1696,55033,3146,18713,945,3791,787,3587,806,204,185,14922,1018,190180,3141,163781,3144,107546,4351,888,786,106658,4408,95948,4723,10710,1983,56235,4004,26399,669,3987,744,3839,752,148,143,22412,880,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1841766,10118,910362,6616,794937,6463,525990,8924,10790,1970,515200,9142,448537,8337,66663,3998,268947,7376,115425,1428,23205,1845,21639,1768,1566,575,92220,2457,931404,7405,775397,6756,526964,8365,2237,788,524727,8352,465128,8610,59599,4545,248433,6278,156007,2212,22521,2119,21019,2027,1502,613,133486,2977,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,174299,3949,94018,2888,85351,2834,64147,2660,3205,986,60942,2795,54392,2961,6550,1850,21204,2265,8667,739,1687,576,1687,576,0,193,6980,751,80281,2532,70211,2402,49888,2797,873,477,49015,2813,44612,2894,4403,1157,20323,2323,10070,833,1108,426,1108,426,0,193,8962,928,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,298642,4794,138953,3203,124053,3193,87832,3335,743,473,87089,3375,75753,3326,11336,1970,36221,2884,14900,568,3564,807,3361,804,203,209,11336,1077,159689,2753,136182,2789,103666,3930,108,174,103558,3908,90437,3902,13121,2162,32516,3269,23507,649,5297,909,4536,887,761,380,18210,1076,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159033,1880,72642,1298,63445,1296,46350,2356,123,120,46227,2332,41998,2481,4229,1269,17095,2061,9197,195,2472,718,2429,731,43,70,6725,713,86391,1491,73232,1472,52931,2663,61,100,52870,2676,50068,2586,2802,813,20301,2447,13159,140,2256,606,2256,606,0,190,10903,627,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,257351,2726,114586,1526,97560,1533,65397,2577,449,328,64948,2575,55916,2606,9032,1431,32163,2568,17026,200,3205,674,2800,627,405,438,13821,715,142765,1899,114591,1880,76835,2764,249,312,76586,2778,66440,2732,10146,1657,37756,2690,28174,236,4524,738,4387,764,137,135,23650,738,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2510789,11339,1181564,7687,1041627,7441,710888,9255,6106,1666,704782,9443,610052,9395,94730,5717,330739,10073,139937,2145,24515,2205,22753,2247,1762,723,115422,3155,1329225,7163,1129392,6640,802075,9568,2205,757,799870,9617,719536,11106,80334,5959,327317,9589,199833,3088,27426,2590,25341,2485,2085,648,172407,3992,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
