GEO_ID,B13010_001E,B13010_001M,B13010_002E,B13010_002M,B13010_003E,B13010_003M,B13010_004E,B13010_004M,B13010_005E,B13010_005M,B13010_006E,B13010_006M,B13010_007E,B13010_007M,B13010_008E,B13010_008M,B13010_009E,B13010_009M,B13010_010E,B13010_010M,B13010_011E,B13010_011M,B13010_012E,B13010_012M,B13010_013E,B13010_013M,B13010_014E,B13010_014M,B13010_015E,B13010_015M,B13010_016E,B13010_016M,B13010_017E,B13010_017M,B13010_018E,B13010_018M,B13010_019E,B13010_019M,NAME,B13010_001MA,B13010_001EA,B13010_002EA,B13010_002MA,B13010_003EA,B13010_003MA,B13010_004MA,B13010_004EA,B13010_005MA,B13010_005EA,B13010_006MA,B13010_006EA,B13010_007EA,B13010_007MA,B13010_008EA,B13010_008MA,B13010_009EA,B13010_009MA,B13010_010MA,B13010_010EA,B13010_011MA,B13010_011EA,B13010_012MA,B13010_012EA,B13010_013MA,B13010_013EA,B13010_014EA,B13010_014MA,B13010_015MA,B13010_015EA,B13010_016EA,B13010_016MA,B13010_017MA,B13010_017EA,B13010_018EA,B13010_018MA,B13010_019EA,B13010_019MA,state
0400000US01,1127281,5692,59119,4329,33138,2802,4996,1276,7362,1617,20780,2610,25981,3056,13940,2051,4190,1072,7851,2082,1068162,6737,464722,8020,54673,3974,78649,4778,331400,7625,603440,9361,178480,7199,140095,7679,284865,8281,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,171398,1890,10929,1570,7451,1299,537,221,1406,559,5508,1087,3478,931,1466,663,693,425,1319,507,160469,2455,72071,2945,3898,830,7577,1234,60596,2678,88398,3384,13998,1829,14750,1891,59650,2940,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1549502,3662,85586,4853,53769,3707,9834,1515,11594,1906,32341,2595,31817,3539,16353,2613,7824,1496,7640,1484,1463916,6556,600090,9647,71966,4885,104236,5691,423888,10003,863826,9793,219293,9289,196621,7179,447912,9409,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,670459,4606,41604,3913,25717,2661,5551,1373,7106,1497,13060,1441,15887,2681,10486,2466,4077,1102,1324,666,628855,5880,304341,6968,34351,3357,57643,3871,212347,6403,324514,8209,100147,5549,81228,5619,143139,7212,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9531462,10333,477789,12106,316716,8659,42737,3477,66947,3678,207032,6346,161073,7654,71918,5132,41929,3962,47226,3355,9053673,15658,3848626,21538,409319,12293,668453,12839,2770854,17788,5205047,21246,1153599,18996,1073070,18501,2978378,24199,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1295546,4770,65429,4689,48757,3647,5550,1301,9466,1836,33741,3073,16672,2289,7356,1549,4088,1301,5228,1069,1230117,6917,575197,9392,34959,2959,74873,4976,465365,7752,654920,8781,128948,6781,125588,6556,400384,8799,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,811611,3315,34555,3404,22762,2326,1238,707,2837,842,18687,2230,11793,2016,5260,1141,2821,916,3712,1201,777056,4732,322014,7101,15786,2088,29364,2788,276864,6673,455042,8010,78784,5525,69455,5161,306803,8165,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,211843,1877,9685,1623,6510,1148,549,366,986,510,4975,998,3175,1018,1223,583,650,397,1302,683,202158,2477,81334,3474,5002,1471,8904,1556,67428,3522,120824,4225,25372,3051,22449,2901,73003,4188,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,189656,1828,8479,1456,4381,926,41,67,101,125,4239,910,4098,1040,1323,597,1406,899,1369,478,181177,2359,49915,2901,3322,1233,4178,1103,42415,2671,131262,3245,27886,3181,19883,2668,83493,4535,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4496913,8203,207976,8471,122476,5716,21419,2869,27888,3047,73169,4816,85500,5368,38574,3779,23038,2966,23888,2872,4288937,11940,1732105,17503,181112,8109,323493,10740,1227500,15714,2556832,19004,590290,14747,602070,15073,1364472,19045,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
