GEO_ID,B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,NAME,B24091_001MA,B24091_001EA,B24091_002MA,B24091_002EA,B24091_003EA,B24091_003MA,B24091_004MA,B24091_004EA,B24091_005MA,B24091_005EA,B24091_006EA,B24091_006MA,B24091_007MA,B24091_007EA,B24091_008MA,B24091_008EA,B24091_009MA,B24091_009EA,state
0400000US01,40222,307,38141,987,37543,824,50822,1762,40204,955,41108,670,44084,2334,68366,4427,30312,2186,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,51674,787,47369,3635,46264,2402,58917,8008,50772,2270,60724,3511,63392,3123,61423,4885,40935,13035,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,41052,242,40535,302,40100,353,60544,3039,42456,1811,42240,764,41782,845,57720,3078,31738,843,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36663,388,35966,465,35570,459,51887,4982,40126,2839,35668,1845,40088,1258,56875,4943,30811,1756,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,47767,367,45229,244,43765,617,67479,4535,51986,331,61395,336,62049,544,62135,505,35761,594,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47350,411,46649,455,46128,479,60528,2396,47549,2079,49245,1267,48917,2023,65758,3027,39431,4007,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56915,620,56080,722,55497,773,76996,4874,56447,2908,63739,3681,67008,1961,61112,2315,41605,1453,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,48154,1696,47101,951,46813,916,52869,5873,51517,2334,45928,2013,48933,2937,65582,8227,45866,5479,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68171,2437,60132,3581,58975,4040,71163,28535,65340,3565,67068,5334,70477,4935,91369,1247,70221,19528,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,38183,398,36779,204,36343,204,47479,2445,41691,603,43447,1066,41864,462,61104,669,26759,740,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41172,191,40598,241,40267,273,51431,1192,46467,1014,40887,520,41534,568,60778,892,31562,800,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,43399,1665,40936,541,40488,572,61654,2506,48772,3736,51820,2662,48377,2106,58763,4688,40233,3334,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38792,1257,37060,699,36429,674,52310,5774,46344,3317,40921,2669,40937,1391,58255,4137,35112,3458,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
