GEO_ID,C17001G_001E,C17001G_001M,C17001G_002E,C17001G_002M,C17001G_003E,C17001G_003M,C17001G_004E,C17001G_004M,C17001G_005E,C17001G_005M,C17001G_006E,C17001G_006M,C17001G_007E,C17001G_007M,C17001G_008E,C17001G_008M,C17001G_009E,C17001G_009M,C17001G_010E,C17001G_010M,C17001G_011E,C17001G_011M,C17001G_012E,C17001G_012M,C17001G_013E,C17001G_013M,C17001G_014E,C17001G_014M,C17001G_015E,C17001G_015M,C17001G_016E,C17001G_016M,C17001G_017E,C17001G_017M,C17001G_018E,C17001G_018M,C17001G_019E,C17001G_019M,NAME,C17001G_001MA,C17001G_001EA,C17001G_002MA,C17001G_002EA,C17001G_003MA,C17001G_003EA,C17001G_004EA,C17001G_004MA,C17001G_005EA,C17001G_005MA,C17001G_006MA,C17001G_006EA,C17001G_007MA,C17001G_007EA,C17001G_008MA,C17001G_008EA,C17001G_009EA,C17001G_009MA,C17001G_010EA,C17001G_010MA,C17001G_011EA,C17001G_011MA,C17001G_012MA,C17001G_012EA,C17001G_013MA,C17001G_013EA,C17001G_014EA,C17001G_014MA,C17001G_015EA,C17001G_015MA,C17001G_016EA,C17001G_016MA,C17001G_017MA,C17001G_017EA,C17001G_018MA,C17001G_018EA,C17001G_019EA,C17001G_019MA,state
0400000US01,85001,6359,17497,3129,8174,1791,4746,1295,3311,1283,117,137,9323,1964,4520,1283,4363,1079,440,298,67504,5618,34119,3413,14159,1997,18394,2364,1566,544,33385,3299,13685,2196,16560,1966,3140,762,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,61060,4717,6799,1716,3274,980,2007,792,1142,462,125,145,3525,994,1620,599,1799,622,106,102,54261,4670,27228,2640,12141,1731,14193,1712,894,360,27033,2863,12227,1956,13635,1491,1171,434,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,215516,10685,36018,4675,15769,2485,9290,1978,6183,1447,296,258,20249,3005,8637,1722,11151,1667,461,304,179498,10161,93478,6697,46017,4658,42796,3758,4665,966,86020,5175,40965,3537,40320,3244,4735,1043,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63141,5617,16620,3068,8988,2066,5644,1627,2910,1092,434,259,7632,1618,3311,978,3471,1027,850,437,46521,4974,24054,2850,10904,1991,11377,1931,1773,573,22467,2970,10934,1894,9121,1913,2412,746,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1710330,30476,245712,12632,115432,7676,57947,5262,53210,4281,4275,1032,130280,7303,52953,4600,70918,4367,6409,1227,1464618,27570,725548,16777,317751,9443,371633,10361,36164,2607,739070,15636,317245,9760,378965,9516,42860,3028,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,189667,9620,26490,3995,14052,2899,6045,1728,7877,1886,130,106,12438,2135,5409,1446,6559,1318,470,327,163177,8924,83108,5376,38755,3430,41495,3331,2858,809,80069,5375,35966,3344,40991,3025,3112,783,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,111581,7666,20056,3322,9911,2063,5576,1662,4009,1300,326,410,10145,2158,5181,1641,4521,1213,443,306,91525,6531,44271,3733,21776,2524,21682,2916,813,429,47254,4293,23542,2397,21913,2980,1799,641,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27822,3926,6178,1989,3273,1320,1715,1040,1523,996,35,65,2905,1116,1575,766,1330,677,0,190,21644,3460,11949,2122,6849,1700,4549,1017,551,292,9695,1882,4955,1319,4263,1050,477,310,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20054,2553,2350,1132,1444,783,552,460,858,611,34,57,906,629,273,259,495,361,138,188,17704,2212,8433,1540,3160,919,5008,1366,265,203,9271,1203,2260,645,6324,1081,687,363,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,489315,20274,83456,8264,37876,5273,22283,4527,13739,2275,1854,706,45580,4793,20797,3472,22644,2880,2139,730,405859,19024,207380,10911,84288,6718,109575,6517,13517,1711,198479,10754,82580,5903,101567,6921,14332,1889,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,227517,14462,48380,7593,22212,4020,14078,3242,7872,1936,262,189,26168,4511,14604,3539,10717,2101,847,406,179137,11194,89759,6289,44936,4364,41976,4096,2847,773,89378,6930,38512,4121,45359,4679,5507,1213,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,343367,11523,41686,6541,20013,3808,10760,3063,8164,1634,1089,534,21673,3513,8761,2079,12069,2021,843,439,301681,10656,152782,5917,57673,3306,84570,4424,10539,1481,148899,6686,55468,3412,80948,4544,12483,1375,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46789,3937,9694,2156,4531,1423,2136,1112,2293,966,102,131,5163,1379,2686,913,2247,961,230,299,37095,3512,19459,2231,9793,1517,8607,1729,1059,530,17636,2776,8859,1736,7646,1601,1131,689,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,286452,10834,52160,5746,25373,3527,15561,2533,9456,1786,356,354,26787,3175,13572,2159,12429,1810,786,405,234292,9596,113830,5595,57211,3823,51767,3786,4852,987,120462,6181,59218,4243,55222,3912,6022,1034,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,148891,9015,38902,4837,19952,3128,15801,3038,4059,790,92,103,18950,2738,11348,2090,6875,1315,727,413,109989,7503,54129,4396,26474,2668,24880,3299,2775,729,55860,5038,27553,3051,24463,3793,3844,836,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,56341,4466,9829,2212,4264,1058,2209,866,1999,645,56,77,5565,1472,2994,946,2551,975,20,45,46512,4463,20979,2560,11309,1791,8683,1742,987,388,25533,2897,14721,2083,9962,1820,850,385,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,88933,6002,23179,3772,10584,1704,6702,1302,3671,923,211,221,12595,2835,7718,1897,4697,1418,180,156,65754,4872,33161,2968,16842,1980,14918,2011,1401,519,32593,2947,16418,2131,13888,1857,2287,641,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
