GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001EA,B25055_001MA,B25055_002EA,B25055_002MA,B25055_003MA,B25055_003EA,B25055_004MA,B25055_004EA,B25055_005EA,B25055_005MA,B25055_006EA,B25055_006MA,B25055_007MA,B25055_007EA,B25055_008EA,B25055_008MA,B25055_009MA,B25055_009EA,B25055_010EA,B25055_010MA,B25055_011EA,B25055_011MA,B25055_012EA,B25055_012MA,B25055_013EA,B25055_013MA,state
0400000US01,525412,10849,391840,8983,1314,589,390526,8979,67540,4205,104,121,67436,4201,39641,3077,337,223,39304,3079,26391,2028,5024,1073,21367,1937,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83117,3288,66995,2847,365,262,66630,2814,10126,1602,8,15,10118,1601,4065,783,217,221,3848,755,1931,434,370,226,1561,390,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,889617,12695,666256,11656,4057,1162,662199,11657,112391,4828,1452,797,110939,4834,61972,3271,1236,504,60736,3393,48998,2729,16572,1667,32426,2440,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,361300,8114,268621,7694,1041,681,267580,7655,45311,3073,476,244,44835,3105,25779,2614,568,498,25211,2601,21589,1760,5522,1385,16067,1470,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5791091,27078,4272412,24375,18196,2569,4254216,24872,764610,13431,4799,1099,759811,13179,425869,10695,9796,1697,416073,10670,328200,8987,63627,3756,264573,8196,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,727840,9142,560816,8748,2421,978,558395,8877,82978,4538,1475,767,81503,4473,44007,3131,1350,895,42657,3050,40039,2547,14704,1695,25335,2216,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,436615,8363,301427,6444,990,465,300437,6489,60783,4037,218,254,60565,4003,36607,2458,1010,635,35597,2459,37798,2411,7160,1173,30638,2295,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,96117,3999,68742,3566,355,333,68387,3520,12742,1559,0,190,12742,1559,8103,1386,328,288,7775,1317,6530,1180,1052,510,5478,1164,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,163821,4174,121274,3963,443,310,120831,3968,22298,1852,137,151,22161,1855,12687,1480,296,216,12391,1412,7562,1136,886,429,6676,1005,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2581105,23195,1860189,20663,7699,1701,1852490,20468,345714,7948,2422,880,343292,7885,202790,7825,5670,1354,197120,7727,172412,5911,45277,3268,127135,5683,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
