GEO_ID,C24090_001E,C24090_001M,C24090_002E,C24090_002M,C24090_003E,C24090_003M,C24090_004E,C24090_004M,C24090_005E,C24090_005M,C24090_006E,C24090_006M,C24090_007E,C24090_007M,C24090_008E,C24090_008M,C24090_009E,C24090_009M,C24090_010E,C24090_010M,C24090_011E,C24090_011M,C24090_012E,C24090_012M,C24090_013E,C24090_013M,C24090_014E,C24090_014M,C24090_015E,C24090_015M,C24090_016E,C24090_016M,C24090_017E,C24090_017M,C24090_018E,C24090_018M,C24090_019E,C24090_019M,NAME,C24090_001MA,C24090_001EA,C24090_002MA,C24090_002EA,C24090_003MA,C24090_003EA,C24090_004MA,C24090_004EA,C24090_005MA,C24090_005EA,C24090_006EA,C24090_006MA,C24090_007MA,C24090_007EA,C24090_008MA,C24090_008EA,C24090_009MA,C24090_009EA,C24090_010MA,C24090_010EA,C24090_011EA,C24090_011MA,C24090_012MA,C24090_012EA,C24090_013MA,C24090_013EA,C24090_014MA,C24090_014EA,C24090_015MA,C24090_015EA,C24090_016EA,C24090_016MA,C24090_017EA,C24090_017MA,C24090_018EA,C24090_018MA,C24090_019MA,C24090_019EA,state
0400000US01,1462180,14418,827353,10388,641620,9867,610604,10160,31016,2520,32422,3126,46486,3496,32618,3339,34278,2623,39929,3138,634827,11124,433617,9814,422798,9822,10819,1731,59539,4003,51093,3277,51927,3822,22847,2134,15804,1808,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,225583,5428,129431,3675,81179,3429,75196,3266,5983,1102,8186,1472,8369,1109,9775,1367,14860,1778,7062,1263,96152,3484,50217,3101,47491,3086,2726,743,14157,1500,8673,1275,12746,1539,6533,1214,3826,922,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2043387,18177,1169857,12211,912062,12769,855744,12366,56318,4107,46998,3245,67082,3959,44863,3693,41741,3421,57111,4002,873530,11973,618232,10286,599322,10555,18910,2377,80309,4740,68200,3817,54581,3732,25968,2429,26240,2531,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,908156,10674,511451,7996,391850,8228,370613,8004,21237,2031,21878,2302,26015,2654,26956,2395,12599,1905,32153,3409,396705,8032,253855,7017,248619,6990,5236,1128,41491,3916,27023,2584,51367,3606,9994,1382,12975,2083,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12153335,46674,7158555,34592,5537372,34210,5228705,33525,308667,8167,315835,8347,403978,9780,223583,6716,169445,6860,508342,12910,4994780,28870,3426078,25626,3314832,25479,111246,5269,459440,11022,477635,9697,268155,7966,104240,6083,259232,8864,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1909842,16658,1120867,11438,878164,11109,812737,10799,65427,3787,54934,3364,59917,4082,34705,2963,36504,2721,56643,4491,788975,10959,527482,10194,500587,10008,26895,2524,91579,5303,65815,3833,47428,3433,25679,2543,30992,2914,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1215730,10876,689030,8502,526540,9355,493209,8980,33331,2752,39570,2895,39940,2864,27556,2557,13406,1995,42018,3147,526700,8067,349948,7878,339078,7708,10870,1474,73932,3896,43662,3595,32996,2836,7295,1540,18867,2283,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,313631,7236,167820,4717,128638,4481,119281,4421,9357,1270,10088,1484,6144,1618,11483,1976,5088,1004,6379,1406,145811,4758,98745,4302,95769,4172,2976,971,16199,1929,4772,1244,19355,1971,3375,852,3365,944,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,267893,5138,136570,3774,75954,3694,71297,3909,4657,947,20276,1889,5719,1159,2612,1044,26825,2412,5184,1315,131323,3737,56764,3658,54892,3487,1872,695,30736,2811,8406,1535,2764,917,28276,2620,4377,990,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6309433,33826,3480552,24772,2775303,25389,2493734,26557,281569,7708,140135,7874,215317,8031,78213,4370,92423,5267,179161,8817,2828881,21757,2062134,21180,1965474,21289,96660,5051,244150,8389,249300,8676,117872,5509,57260,3896,98165,5238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3302807,23109,1831359,15848,1432856,15118,1332136,14378,100720,5673,74518,4754,96661,5944,61411,4650,70712,5612,95201,5300,1471448,15863,1002106,14049,969562,13748,32544,3221,120884,6767,141460,6476,111663,6713,52686,4214,42649,3879,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,478335,7344,264358,4988,172738,4818,162154,4473,10584,1560,13936,1753,13729,1656,17683,2164,30440,3240,15832,2054,213977,5262,133244,5478,127755,5333,5489,1172,22812,2369,6530,1253,29937,2263,12703,1446,8751,1284,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,487556,8254,294897,5982,218942,6414,202566,6187,16376,2288,14852,2136,17567,1922,12224,2008,10295,2129,21017,2439,192659,6310,123976,5424,119486,5418,4490,1012,22256,2631,15865,2317,13905,1898,5741,1205,10916,1929,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4323469,22594,2472766,13745,1991812,13821,1874783,14311,117029,4763,132311,5795,136969,4714,69880,3437,44345,3070,97449,4060,1850703,15302,1302491,15726,1262990,15717,39501,3067,229231,7666,138534,6582,89767,3901,40109,3368,50571,3791,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2164886,16800,1251627,10963,1024185,10791,969823,11147,54362,3648,61996,3815,56967,3491,36433,2738,20062,2217,51984,3176,913259,12314,658095,12468,641184,12771,16911,1909,113068,4912,59159,3744,41838,3261,17573,2174,23526,2250,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1118021,11216,644636,7687,501214,6910,470498,6965,30716,2417,28953,2367,31882,2359,26251,2355,10975,1232,45361,2714,473385,7826,312446,6483,303487,6616,8959,1276,63009,3387,34281,2755,35345,2945,8108,1021,20196,1854,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1001405,11010,580415,7609,443023,7127,413091,7115,29932,2720,25438,2324,35512,2346,24181,2500,14641,1813,37620,2944,420990,7924,278548,6563,268703,6618,9845,1384,48592,2932,35740,2747,32483,2287,11389,1345,14238,1344,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
