GEO_ID,C14003_001E,C14003_001M,C14003_002E,C14003_002M,C14003_003E,C14003_003M,C14003_004E,C14003_004M,C14003_005E,C14003_005M,C14003_006E,C14003_006M,C14003_007E,C14003_007M,C14003_008E,C14003_008M,C14003_009E,C14003_009M,C14003_010E,C14003_010M,C14003_011E,C14003_011M,C14003_012E,C14003_012M,C14003_013E,C14003_013M,C14003_014E,C14003_014M,C14003_015E,C14003_015M,C14003_016E,C14003_016M,C14003_017E,C14003_017M,C14003_018E,C14003_018M,C14003_019E,C14003_019M,C14003_020E,C14003_020M,C14003_021E,C14003_021M,C14003_022E,C14003_022M,C14003_023E,C14003_023M,C14003_024E,C14003_024M,C14003_025E,C14003_025M,C14003_026E,C14003_026M,C14003_027E,C14003_027M,C14003_028E,C14003_028M,NAME,C14003_001MA,C14003_001EA,C14003_002EA,C14003_002MA,C14003_003EA,C14003_003MA,C14003_004EA,C14003_004MA,C14003_005MA,C14003_005EA,C14003_006MA,C14003_006EA,C14003_007EA,C14003_007MA,C14003_008EA,C14003_008MA,C14003_009EA,C14003_009MA,C14003_010MA,C14003_010EA,C14003_011EA,C14003_011MA,C14003_012MA,C14003_012EA,C14003_013EA,C14003_013MA,C14003_014EA,C14003_014MA,C14003_015EA,C14003_015MA,C14003_016MA,C14003_016EA,C14003_017MA,C14003_017EA,C14003_018EA,C14003_018MA,C14003_019EA,C14003_019MA,C14003_020EA,C14003_020MA,C14003_021MA,C14003_021EA,C14003_022MA,C14003_022EA,C14003_023MA,C14003_023EA,C14003_024EA,C14003_024MA,C14003_025EA,C14003_025MA,C14003_026EA,C14003_026MA,C14003_027MA,C14003_027EA,C14003_028MA,C14003_028EA,state
0400000US01,4690508,4324,1026506,11318,27911,2843,264885,7063,269446,7433,166447,3570,90529,4485,114258,6435,53334,4367,39696,3136,164737,7270,23817,2362,35846,3224,31524,2517,23642,2360,9950,1697,16800,2208,10370,1724,12788,1916,3499265,11110,64923,3327,17441,2713,7511,2033,6544,1243,35112,3019,201670,6277,560768,7323,2605296,7500,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,705529,1597,163984,4218,4869,818,40616,2682,43260,2533,26214,1061,11554,1566,14960,1767,13276,2069,9235,1575,25896,3111,2873,672,6063,1401,4084,951,2677,673,1119,461,2166,1073,3250,1262,3664,1100,515649,4349,14116,1469,5623,1392,1406,654,1687,675,7126,1089,45593,2437,102252,2402,337846,2714,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6574211,4651,1553050,12977,40252,3041,397131,6998,420452,7638,248383,2847,124302,4208,157242,7214,94615,5540,70673,3726,186771,8187,25476,2216,35138,3826,29492,3004,14880,1957,11443,1857,20199,2696,22881,2553,27262,2640,4834390,12979,110278,4319,23886,2447,10110,1872,12196,2181,53610,3788,302787,7318,797265,6648,3524258,5192,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2865367,3720,658109,8183,25741,2994,171721,5195,180223,5173,103540,3131,51902,3326,60893,3794,35847,2938,28242,2623,83995,5814,11871,1723,15998,2198,13828,1833,8171,1314,6143,1280,14751,2816,5821,1193,7412,1309,2123263,8212,38255,2901,11335,1718,5414,1389,7010,1712,26229,2869,124523,4753,343723,5413,1566774,5613,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37667270,13424,9067500,25865,299488,7833,2222309,18932,2284017,18573,1403419,6260,715176,7806,1124839,16689,610782,14629,407470,9656,1417207,21849,204411,5979,234220,8689,202972,8026,111473,5372,99852,4994,202168,8410,195211,5899,166900,6958,27182563,27681,526202,11176,84184,5110,32727,2993,33448,3469,243392,7332,1557710,15624,5026719,16656,19678181,12943,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5257168,5530,1218406,11817,45533,3876,308834,7851,320924,6943,181871,2633,97152,3891,128516,5853,78349,4467,57227,3605,177023,8596,24139,2068,32665,3218,28174,2525,15599,2041,11190,1919,16805,2265,24048,2875,24403,2766,3861739,10925,64461,4390,18385,2404,7933,1561,8848,1507,37234,3542,237052,5877,724740,6912,2763086,6057,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3482076,3642,729896,8564,27921,2671,183584,5727,199390,6038,125757,2008,55704,2898,71476,4195,36588,3948,29476,2586,183911,7342,21816,2150,19195,2137,22002,2555,14389,1709,28720,2568,40859,3046,21562,2590,15368,1958,2568269,7354,27981,2791,4964,932,3274,852,4242,923,21592,2153,134492,4601,384626,5064,1987098,3522,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,914137,2037,196231,4767,6081,1215,44622,3482,52053,3341,29036,1085,17650,1640,23174,2274,11777,1944,11838,1959,37117,3299,4995,1107,5639,1246,8028,1457,3915,841,2641,816,4420,1152,3094,1035,4385,1122,680789,4780,12572,1805,2381,607,1235,1026,1846,587,5628,1330,35585,2297,109477,2805,512065,2576,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,645020,2047,93357,3903,9695,1645,26855,2157,19874,2022,12193,729,5784,1166,6059,1488,6961,1271,5936,1250,73583,3942,2250,754,4205,1155,6216,1220,2818,771,14243,1829,25147,2946,12388,1819,6316,1425,478080,4298,4077,1195,1502,679,400,299,545,290,2942,742,27331,2604,133138,2320,308145,1922,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19624613,9472,3898402,24966,124798,7335,941650,15018,988615,14546,626039,5781,325585,7429,449331,12881,251683,8920,190701,7773,808531,19294,106191,6776,147637,7613,132332,6591,65003,3877,46524,3792,103863,7079,107296,5398,99685,5874,14917680,22684,220625,8930,48373,4628,25213,3186,29854,3680,117558,6076,731141,12856,2234274,14542,11510642,11114,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
