C08526_022E,C08526_022M,C08526_023E,C08526_023M,C08526_024E,C08526_024M,C08526_025E,C08526_025M,C08526_026E,C08526_026M,C08526_027E,C08526_027M,C08526_028E,C08526_028M,C08526_029E,C08526_029M,C08526_030E,C08526_030M,C08526_031E,C08526_031M,C08526_032E,C08526_032M,C08526_033E,C08526_033M,C08526_034E,C08526_034M,C08526_035E,C08526_035M,C08526_036E,C08526_036M,C08526_037E,C08526_037M,C08526_038E,C08526_038M,C08526_039E,C08526_039M,C08526_040E,C08526_040M,C08526_041E,C08526_041M,C08526_042E,C08526_042M,C08526_043E,C08526_043M,C08526_044E,C08526_044M,C08526_045E,C08526_045M,C08526_046E,C08526_046M,C08526_047E,C08526_047M,C08526_048E,C08526_048M,C08526_049E,C08526_049M,C08526_050E,C08526_050M,C08526_051E,C08526_051M,C08526_052E,C08526_052M,C08526_053E,C08526_053M,C08526_054E,C08526_054M,C08526_055E,C08526_055M,C08526_056E,C08526_056M,C08526_057E,C08526_057M,C08526_058E,C08526_058M,C08526_059E,C08526_059M,C08526_060E,C08526_060M,C08526_061E,C08526_061M,C08526_062E,C08526_062M,C08526_063E,C08526_063M,C08526_064E,C08526_064M,C08526_065E,C08526_065M,C08526_066E,C08526_066M,C08526_067E,C08526_067M,C08526_068E,C08526_068M,C08526_069E,C08526_069M,C08526_070E,C08526_070M,C08526_071E,C08526_071M,C08526_072E,C08526_072M,C08526_073E,C08526_073M,C08526_074E,C08526_074M,C08526_075E,C08526_075M,C08526_076E,C08526_076M,C08526_077E,C08526_077M,C08526_078E,C08526_078M,C08526_079E,C08526_079M,C08526_080E,C08526_080M,C08526_081E,C08526_081M,C08526_082E,C08526_082M,C08526_083E,C08526_083M,C08526_084E,C08526_084M,GEO_ID,C08526_001E,C08526_001M,C08526_002E,C08526_002M,C08526_003E,C08526_003M,C08526_004E,C08526_004M,C08526_005E,C08526_005M,C08526_006E,C08526_006M,C08526_007E,C08526_007M,C08526_008E,C08526_008M,C08526_009E,C08526_009M,C08526_010E,C08526_010M,C08526_011E,C08526_011M,C08526_012E,C08526_012M,C08526_013E,C08526_013M,C08526_014E,C08526_014M,C08526_015E,C08526_015M,C08526_016E,C08526_016M,C08526_017E,C08526_017M,C08526_018E,C08526_018M,C08526_019E,C08526_019M,C08526_020E,C08526_020M,C08526_021E,C08526_021M,C08526_022MA,C08526_022EA,C08526_023MA,C08526_023EA,C08526_024MA,C08526_024EA,C08526_025MA,C08526_025EA,C08526_026MA,C08526_026EA,C08526_027MA,C08526_027EA,C08526_028MA,C08526_028EA,C08526_029EA,C08526_029MA,C08526_030MA,C08526_030EA,C08526_031MA,C08526_031EA,C08526_032MA,C08526_032EA,C08526_033MA,C08526_033EA,C08526_034EA,C08526_034MA,C08526_035MA,C08526_035EA,C08526_036MA,C08526_036EA,C08526_037MA,C08526_037EA,C08526_038MA,C08526_038EA,C08526_039EA,C08526_039MA,C08526_040EA,C08526_040MA,C08526_041MA,C08526_041EA,C08526_042MA,C08526_042EA,C08526_043MA,C08526_043EA,C08526_044EA,C08526_044MA,C08526_045EA,C08526_045MA,C08526_046MA,C08526_046EA,C08526_047MA,C08526_047EA,C08526_048EA,C08526_048MA,C08526_049MA,C08526_049EA,C08526_050MA,C08526_050EA,C08526_051EA,C08526_051MA,C08526_052EA,C08526_052MA,C08526_053EA,C08526_053MA,C08526_054MA,C08526_054EA,C08526_055MA,C08526_055EA,C08526_056MA,C08526_056EA,C08526_057EA,C08526_057MA,C08526_058EA,C08526_058MA,C08526_059MA,C08526_059EA,C08526_060MA,C08526_060EA,C08526_061MA,C08526_061EA,C08526_062EA,C08526_062MA,C08526_063EA,C08526_063MA,C08526_064MA,C08526_064EA,C08526_065MA,C08526_065EA,C08526_066MA,C08526_066EA,C08526_067MA,C08526_067EA,C08526_068EA,C08526_068MA,C08526_069MA,C08526_069EA,C08526_070MA,C08526_070EA,C08526_071MA,C08526_071EA,C08526_072MA,C08526_072EA,C08526_073EA,C08526_073MA,C08526_074MA,C08526_074EA,C08526_075MA,C08526_075EA,C08526_076MA,C08526_076EA,C08526_077MA,C08526_077EA,C08526_078MA,C08526_078EA,C08526_079MA,C08526_079EA,C08526_080MA,C08526_080EA,C08526_081MA,C08526_081EA,C08526_082MA,C08526_082EA,C08526_083MA,C08526_083EA,C08526_084EA,C08526_084MA,NAME,C08526_001MA,C08526_001EA,C08526_002EA,C08526_002MA,C08526_003EA,C08526_003MA,C08526_004MA,C08526_004EA,C08526_005MA,C08526_005EA,C08526_006MA,C08526_006EA,C08526_007EA,C08526_007MA,C08526_008EA,C08526_008MA,C08526_009MA,C08526_009EA,C08526_010MA,C08526_010EA,C08526_011MA,C08526_011EA,C08526_012MA,C08526_012EA,C08526_013EA,C08526_013MA,C08526_014MA,C08526_014EA,C08526_015MA,C08526_015EA,C08526_016MA,C08526_016EA,C08526_017MA,C08526_017EA,C08526_018EA,C08526_018MA,C08526_019MA,C08526_019EA,C08526_020MA,C08526_020EA,C08526_021MA,C08526_021EA,state
121647,5963,157241,7215,382117,11017,136874,6757,85408,4445,91767,5047,7099,1152,176571,8805,2856,925,20606,3015,27474,3803,3394,1050,16457,2089,7217,1657,6135,1156,15224,2307,39672,3497,21586,3357,9187,1887,6405,1431,358,316,5882,1434,131,165,321,346,623,343,93,106,860,501,140,235,98,111,425,323,1079,529,1786,858,200,136,126,158,0,189,40317,3745,1087,557,2495,1089,3143,1018,2139,924,4424,1249,3299,1054,1579,582,3634,1090,9059,1432,4949,1125,3194,998,1126,573,189,179,63757,4204,3916,1599,4669,1665,6552,1449,2266,645,6425,1579,2742,1038,7694,1398,13886,1719,7497,1126,1888,752,4239,1378,1644,571,339,288,0400000US01,1964105,15947,32264,3247,122625,7075,277470,9233,50557,4313,232085,8053,103753,5875,137153,5998,190410,7755,439424,11233,167083,7457,102228,4917,101068,5023,7985,1336,1677578,18087,24274,2506,94534,5190,239678,8529,42665,3846,203919,7933,90355,5464,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
15242,2082,20534,2600,55555,3347,21240,2400,12240,1895,28402,2416,12546,1853,46229,3668,1979,511,2217,707,981,501,2148,892,5600,1608,2734,765,2101,712,2590,779,10960,1646,5015,1200,2097,768,5624,1344,2183,658,5676,1240,546,391,332,281,39,64,53,91,986,527,365,234,233,310,810,424,1079,640,797,562,90,122,317,220,29,52,53861,3148,8192,1375,2788,638,4246,1174,588,285,4769,977,4069,1107,1226,554,3901,963,9374,1408,5009,962,1683,456,5302,763,2714,838,16095,2050,1133,799,1436,637,1099,601,225,244,1111,505,583,245,820,388,2770,841,3450,965,1621,838,686,245,913,456,248,193,0400000US02,371382,5372,21013,2222,25605,2313,12550,1941,7537,1249,38236,3279,27040,2258,19622,2372,30605,3044,80418,3906,33682,2982,16796,1912,40558,2686,17720,1799,249521,5701,9163,1482,18832,2064,6185,1288,4523,805,25770,2751,19289,1889,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
223652,7697,243741,8393,496249,10586,230858,9224,104189,5264,119232,5295,13257,1724,304761,9793,6505,1380,28665,3395,24052,3336,7232,1349,33424,3117,9897,1558,24881,2859,42257,4195,60222,4548,38046,3895,13643,2437,14401,2141,1536,497,58998,4747,2647,1762,1206,545,3019,1225,577,357,9297,1519,2458,875,3655,976,8378,1710,9621,1703,12538,1994,2996,979,2335,713,271,232,133894,6032,2398,825,5795,1506,6233,1279,1219,549,19786,2717,7620,1342,8639,1466,14248,1824,28968,2941,26098,2737,5273,1130,5849,1196,1768,709,159681,5505,1916,707,8287,2243,9646,1473,4991,1117,12357,1626,5394,1310,31161,3144,40186,3449,24422,2403,8523,1788,8048,1411,4266,1142,484,241,0400000US04,2872284,18674,39914,3596,187262,8348,202563,9013,66539,4678,359475,9135,142640,6177,291988,8800,348810,9532,619482,12312,316063,10848,134149,6497,146083,6109,17316,1828,2214950,18622,26448,2849,143309,6620,159613,7997,52520,4148,284611,8739,117271,5591,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
66067,4223,69084,4536,251510,7387,76168,4869,46068,3583,51509,3473,3876,1181,133098,6612,5285,1237,14690,2139,21991,1966,2808,1073,14115,2085,5049,1206,5414,1135,9648,1939,30508,2882,11436,1839,6709,1333,4928,1207,517,375,5537,1325,85,111,0,189,640,519,62,105,654,435,81,94,388,430,51,78,2459,913,699,379,333,267,85,114,0,189,37380,3531,1804,807,2292,951,3261,965,599,417,5117,1429,2699,847,1897,722,1819,721,8763,1533,5286,1209,2941,884,751,376,151,190,38370,2875,6315,1325,2073,812,2541,885,679,340,3138,782,1174,557,3489,961,7376,1619,6332,1192,1100,402,3525,905,628,448,0,189,0400000US05,1249200,11927,39260,3327,78427,5249,181032,7121,29658,2879,170954,6184,68354,4335,77255,4710,87978,4986,299572,7853,94689,5425,59576,4174,57901,3818,4544,1212,1034815,13127,25771,2305,59372,4338,152599,7247,25510,2566,147930,5883,59351,4404,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1134497,15016,1571308,20195,2761232,22360,1310655,20171,668043,13870,591436,12656,73233,5175,1770645,23375,98248,5619,161716,7201,190544,7585,48445,3683,169584,7556,73707,4897,112126,5044,224770,7787,328860,9627,187226,7257,98270,5971,68757,3712,8392,1445,923092,17850,7589,1942,29448,2853,68781,4995,14615,2028,107235,5334,33228,2695,97865,4496,168527,6178,151228,7222,138413,7513,59478,4467,43004,2664,3681,997,935758,16903,42024,4378,35381,3190,60676,4433,17363,1831,113398,5909,35701,3298,83728,5070,111733,6783,182487,7294,147426,7985,53802,4389,26507,2623,25532,3576,970039,14583,16781,2061,41031,3531,57634,4050,30708,2897,62085,4563,24273,3075,147506,6324,247334,9088,179924,7836,62935,4650,50860,3502,37728,3166,11240,2786,0400000US06,17630992,45581,427316,12605,1076675,18770,1675089,20790,517753,11961,1896649,22231,867767,16635,1575722,17334,2323672,24179,3603731,29621,1846655,24518,930453,16408,767432,13943,122078,4758,13031458,44167,262674,8984,809099,14212,1297454,17505,406622,11346,1444347,17768,700858,14114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
204556,6434,253815,8423,440255,10095,203649,7802,104787,5875,99102,4832,20911,2512,230890,9577,7199,1522,31151,3606,14165,1808,4512,1102,23780,2930,10239,1934,15694,2048,30533,2955,45679,3328,26136,3293,10829,1892,8674,1594,2299,714,80556,5086,1597,515,2617,810,3377,961,1147,537,9174,1763,3514,1122,9553,1703,14474,2030,11808,1637,15605,2016,2869,1007,4821,1035,0,189,135378,5469,3473,970,4953,1071,8464,1444,2269,869,16186,2540,5000,1147,9171,1460,16133,1787,26848,2662,25904,3141,6102,1319,4126,858,6749,846,194904,7005,8317,1552,9233,1778,12388,1458,5444,1288,15422,1851,3756,1021,27008,2816,59562,3975,28798,2825,10850,1745,10418,1616,3357,1027,351,401,0400000US08,2731235,18274,69263,4652,214379,9822,185116,6912,70304,4328,306025,10296,124722,6307,265982,7163,374517,9753,553388,10809,282144,10200,135005,6777,120080,5414,30310,2609,2089507,15608,48677,3507,166425,7950,146722,6118,56932,4076,241463,9239,102213,5189,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
156173,6236,144336,5960,376262,9748,105097,5613,59786,4249,58952,3369,3775,1020,136424,8492,620,431,13270,2569,17045,2332,1844,693,16661,2326,4483,1455,9283,1730,16285,2967,30374,3270,16520,2788,6749,1189,2777,811,513,364,60388,4654,214,313,1448,653,3475,1027,873,538,11516,2185,2136,759,8190,1741,6799,1405,13099,1997,8553,1627,2531,915,1554,725,0,189,69717,4494,262,210,1718,822,5025,1144,604,304,9411,1893,1685,651,5117,1140,6378,1299,22481,2454,10748,1558,3038,760,1387,681,1863,991,84879,4806,918,591,3948,963,6462,1140,2578,871,5143,1194,2328,846,16585,2082,24210,2344,12570,1795,3450,888,4261,1132,670,410,1756,812,0400000US09,1741224,12778,7295,1547,100020,6183,188091,7098,43160,3586,191128,8300,69408,4821,195348,6862,198008,6764,454786,10547,144368,6359,76365,4675,65340,3771,7907,1138,1389816,14284,5281,1255,79636,5435,156084,6500,37261,3252,148397,6693,58776,4168,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
47313,3863,34150,2848,91400,4962,31840,2722,15321,2188,18540,1993,2362,758,36013,3538,309,266,3125,942,2809,1086,954,524,3969,1047,1494,866,2999,938,4392,1489,7507,1301,5526,1623,1672,724,986,384,271,231,9432,1593,0,189,0,189,303,266,48,63,2505,901,239,197,792,366,616,282,2249,790,1625,677,444,398,611,334,0,189,14785,1936,308,321,576,349,967,665,89,117,2368,757,861,463,753,343,1684,809,2528,732,2850,1035,714,368,963,792,124,228,20878,2186,605,425,2281,879,1471,518,467,325,565,292,788,471,3411,792,5642,1211,3273,812,725,409,1180,531,432,427,38,65,0400000US10,440156,7251,4146,982,27468,2651,36595,3198,8164,1465,52938,3735,15912,1740,55268,3978,46484,3697,106957,4975,42566,3509,19331,2312,21532,2608,2795,774,359048,8389,2924,817,21486,2243,31045,2798,6606,1333,43531,3839,12530,1678,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
28054,2163,57369,4219,70414,4424,24614,2916,22590,2035,82161,4328,6594,1363,73586,4271,0,189,6546,1483,1130,630,786,450,1575,607,1973,672,5680,1371,13258,1721,10809,1661,4801,1132,6072,1329,19727,2316,1229,431,319153,8187,1048,558,5661,1260,2201,599,1425,659,8659,1465,8075,1574,26749,2411,76067,4091,43676,3086,28366,3502,27514,2534,87465,4561,2247,600,74313,5118,0,189,839,499,1166,733,148,158,2582,906,2716,1190,7896,1679,17946,2202,10702,1733,7940,1651,6571,1362,14799,2230,1008,839,21529,2463,0,189,799,609,229,203,195,174,598,354,675,409,3740,1267,6591,1247,3115,723,1723,738,2068,799,1643,785,153,174,0400000US11,839206,12936,1364,612,36314,3549,10346,1472,4669,1148,24735,2516,30427,3478,72119,4288,171231,6562,138716,5151,67444,4975,64815,4124,205795,6758,11231,2008,350625,9708,316,236,22469,2561,5620,1017,2115,667,11321,2127,16988,2451,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
690979,15777,840316,16749,1543067,20665,839863,20074,355101,11260,330861,9790,38775,3631,792524,18247,17461,2632,88490,7044,36385,3613,19016,2873,102458,6455,31952,3571,54759,4466,109386,7097,152614,6765,111713,8450,43799,4372,21596,2512,2895,914,192889,8964,8602,2967,11247,2520,5583,1554,2903,1093,30637,4058,5680,1665,9800,2010,19049,3056,30396,3513,47691,3512,14962,2655,4702,1133,1637,944,306435,10125,6709,1730,18262,3147,14525,2452,6569,1239,46323,4760,15711,2475,23140,2493,34595,3206,40435,3722,71644,5156,17739,2401,5772,1042,5011,1254,493307,15108,6638,1342,35180,4660,24543,2837,21932,2933,35016,3742,19807,2795,91248,5502,134842,7294,56634,4321,29163,4120,27311,3449,7225,1425,3768,1596,0400000US12,8827805,36427,96250,7329,627047,16833,452080,12105,247778,8955,1152101,21602,440061,13676,869926,18275,1138188,19858,1823146,22263,1100074,20928,458912,13881,370156,10129,52086,3731,7042650,36939,56840,5231,473868,12760,371044,11001,197358,8021,937667,17341,366911,11774,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
