GEO_ID,B17020G_001E,B17020G_001M,B17020G_002E,B17020G_002M,B17020G_003E,B17020G_003M,B17020G_004E,B17020G_004M,B17020G_005E,B17020G_005M,B17020G_006E,B17020G_006M,B17020G_007E,B17020G_007M,B17020G_008E,B17020G_008M,B17020G_009E,B17020G_009M,B17020G_010E,B17020G_010M,B17020G_011E,B17020G_011M,B17020G_012E,B17020G_012M,B17020G_013E,B17020G_013M,B17020G_014E,B17020G_014M,B17020G_015E,B17020G_015M,B17020G_016E,B17020G_016M,B17020G_017E,B17020G_017M,NAME,B17020G_001EA,B17020G_001MA,B17020G_002EA,B17020G_002MA,B17020G_003MA,B17020G_003EA,B17020G_004EA,B17020G_004MA,B17020G_005EA,B17020G_005MA,B17020G_006EA,B17020G_006MA,B17020G_007EA,B17020G_007MA,B17020G_008MA,B17020G_008EA,B17020G_009EA,B17020G_009MA,B17020G_010EA,B17020G_010MA,B17020G_011EA,B17020G_011MA,B17020G_012EA,B17020G_012MA,B17020G_013MA,B17020G_013EA,B17020G_014MA,B17020G_014EA,B17020G_015EA,B17020G_015MA,B17020G_016EA,B17020G_016MA,B17020G_017EA,B17020G_017MA,state
0400000US01,85001,6359,17497,3129,3979,1219,2748,1004,2539,934,7183,1863,636,467,217,175,195,222,67504,5618,10488,2093,7947,1389,9409,1630,33125,3244,4982,1125,1366,545,187,163,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,61060,4717,6799,1716,1046,467,1306,608,1275,680,2913,740,146,104,113,144,0,149,54261,4670,8827,1587,8071,1630,7470,1268,26662,2316,2189,538,748,377,294,333,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,215516,10685,36018,4675,8669,1810,5570,1449,3688,1151,16112,2183,1789,791,38,66,152,165,179498,10161,31942,3441,29908,3510,25132,3364,79549,5625,9693,1535,2167,706,1107,654,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63141,5617,16620,3068,4287,1385,2730,987,1938,930,5929,1628,1221,492,439,359,76,147,46521,4974,8202,1626,6778,1720,6858,1668,19304,2860,3805,981,1251,464,323,279,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1710330,30476,245712,12632,41177,4421,36839,3706,32884,3490,118181,6611,11201,1425,3791,968,1639,671,1464618,27570,239527,8516,212135,8640,183334,7138,708809,15748,92373,5278,19674,2074,8766,1368,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,189667,9620,26490,3995,4922,1221,3415,1195,3117,1151,13549,2245,1188,548,143,156,156,209,163177,8924,28139,3009,24359,2841,22223,2796,79859,4860,6673,1040,1279,555,645,309,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,111581,7666,20056,3322,3618,1079,4255,1307,2884,1081,8248,1565,538,339,83,109,430,437,91525,6531,15459,2248,16315,2017,13544,1781,41338,4480,3947,890,800,532,122,140,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27822,3926,6178,1989,1781,833,1171,1020,338,371,2756,1182,132,171,0,190,0,190,21644,3460,4895,1470,3423,1030,3486,1095,8291,1478,1212,474,337,223,0,190,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20054,2553,2350,1132,227,208,352,375,246,231,1245,710,246,222,34,57,0,200,17704,2212,3282,845,1286,517,852,492,10795,1903,994,471,306,335,189,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,489315,20274,83456,8264,18481,3240,14959,3331,9640,2420,34683,3749,3783,1097,1206,505,704,436,405859,19024,61237,5384,54311,4914,51320,5462,198041,10728,30676,2717,8740,1536,1534,612,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
