GEO_ID,B16008_001E,B16008_001M,B16008_002E,B16008_002M,B16008_003E,B16008_003M,B16008_004E,B16008_004M,B16008_005E,B16008_005M,B16008_006E,B16008_006M,B16008_007E,B16008_007M,B16008_008E,B16008_008M,B16008_009E,B16008_009M,B16008_010E,B16008_010M,B16008_011E,B16008_011M,B16008_012E,B16008_012M,B16008_013E,B16008_013M,B16008_014E,B16008_014M,B16008_015E,B16008_015M,B16008_016E,B16008_016M,B16008_017E,B16008_017M,B16008_018E,B16008_018M,B16008_019E,B16008_019M,B16008_020E,B16008_020M,B16008_021E,B16008_021M,B16008_022E,B16008_022M,B16008_023E,B16008_023M,B16008_024E,B16008_024M,B16008_025E,B16008_025M,B16008_026E,B16008_026M,B16008_027E,B16008_027M,B16008_028E,B16008_028M,B16008_029E,B16008_029M,B16008_030E,B16008_032E,B16008_030M,B16008_031E,B16008_031M,B16008_032M,B16008_033E,B16008_033M,B16008_034E,B16008_034M,B16008_035E,B16008_035M,B16008_036E,B16008_036M,B16008_037E,B16008_037M,B16008_038E,B16008_038M,B16008_039E,B16008_039M,B16008_040E,B16008_040M,B16008_041E,B16008_041M,B16008_042E,B16008_042M,B16008_043E,B16008_043M,B16008_044E,B16008_044M,B16008_045E,B16008_045M,B16008_046E,B16008_046M,B16008_047E,B16008_047M,B16008_048E,B16008_048M,B16008_049E,B16008_049M,B16008_050E,B16008_050M,B16008_051E,B16008_051M,B16008_052E,B16008_052M,B16008_053E,B16008_053M,NAME,B16008_001EA,B16008_001MA,B16008_002EA,B16008_002MA,B16008_003MA,B16008_003EA,B16008_004MA,B16008_004EA,B16008_005MA,B16008_005EA,B16008_006MA,B16008_006EA,B16008_007EA,B16008_007MA,B16008_008EA,B16008_008MA,B16008_009MA,B16008_009EA,B16008_010MA,B16008_010EA,B16008_011MA,B16008_011EA,B16008_012EA,B16008_012MA,B16008_013EA,B16008_013MA,B16008_014MA,B16008_014EA,B16008_015EA,B16008_015MA,B16008_016MA,B16008_016EA,B16008_017MA,B16008_017EA,B16008_018EA,B16008_018MA,B16008_019EA,B16008_019MA,B16008_020EA,B16008_020MA,B16008_021EA,B16008_021MA,B16008_022MA,B16008_022EA,B16008_023EA,B16008_023MA,B16008_024EA,B16008_024MA,B16008_025EA,B16008_025MA,B16008_026EA,B16008_026MA,B16008_027EA,B16008_027MA,B16008_028MA,B16008_028EA,B16008_029EA,B16008_029MA,B16008_030EA,B16008_030MA,B16008_032EA,B16008_032MA,B16008_031EA,B16008_031MA,B16008_033MA,B16008_033EA,B16008_034EA,B16008_034MA,B16008_035EA,B16008_035MA,B16008_036EA,B16008_036MA,B16008_037EA,B16008_037MA,B16008_038MA,B16008_038EA,B16008_039MA,B16008_039EA,B16008_040EA,B16008_040MA,B16008_041EA,B16008_041MA,B16008_042EA,B16008_042MA,B16008_043MA,B16008_043EA,B16008_044MA,B16008_044EA,B16008_045EA,B16008_045MA,B16008_046EA,B16008_046MA,B16008_047EA,B16008_047MA,B16008_048MA,B16008_048EA,B16008_049MA,B16008_049EA,B16008_050MA,B16008_050EA,B16008_051EA,B16008_051MA,B16008_052EA,B16008_052MA,B16008_053MA,B16008_053EA,state
0400000US01,4573857,3059,4405953,7860,809526,4742,767752,4416,34852,3320,24390,2667,10462,2518,6922,1263,5115,1202,1807,696,3596427,6251,3537675,6344,40358,4036,31907,3266,8451,1988,18394,2520,15715,2339,2679,815,167904,6956,61397,4085,4443,1276,2953,998,239,184,239,184,0,192,1251,762,947,703,304,306,56954,3641,18206,7924,2437,15003,2931,2724,7079,1572,23745,2097,15249,2029,8496,1362,106507,6389,9317,2075,1020,606,5441,1549,3230,1024,2211,1013,2856,900,1326,533,1530,854,97190,5234,12956,2249,53683,3740,12362,1761,41321,3486,30551,3471,15498,2662,15053,2529,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683671,934,625348,4302,127724,1615,112898,2599,4557,1272,4020,1265,537,494,10269,1527,7557,1231,2712,976,497624,3593,449047,4119,13166,1881,11576,1801,1590,697,35411,2408,27820,2346,7591,889,58323,4024,32160,3023,1536,560,1054,495,167,153,167,153,0,149,315,212,315,212,0,149,30624,2885,6327,3812,1320,6017,1402,1312,2205,761,18280,2107,10514,1782,7766,1242,26163,2740,2370,908,381,320,307,475,307,475,0,149,1682,790,1174,641,508,464,23793,2351,3535,1066,2855,855,1198,592,1657,750,17403,1948,7425,1250,9978,1743,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6398205,1329,5489667,15580,1148949,4388,843094,10374,264937,8263,227018,7660,37919,3502,40918,3931,34362,3704,6556,1511,4340718,14545,3682682,15941,507073,12031,449916,11476,57157,3957,150963,5828,119664,5499,31299,1952,908538,15538,379581,9812,9851,1674,3771,911,3422,880,2638,883,784,361,2658,1193,2150,877,508,466,369730,9544,76626,86230,5027,169508,6606,5154,83278,4906,123596,5965,75809,4812,47787,3658,528957,15839,32868,4189,3794,1388,21255,2991,15779,2664,5476,1392,7819,2175,5092,1757,2727,1284,496089,14191,55414,4327,350831,12301,95740,6342,255091,10863,89844,6512,46796,4401,43048,4054,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2789500,2398,2647634,5507,506406,2708,464631,3446,36231,3134,28692,3909,7539,1992,5544,1518,4392,1298,1152,611,2141228,5231,2095929,5069,32445,3193,27447,2998,4998,1169,12854,1634,10508,1468,2346,1080,141866,5501,47192,4160,2696,1002,1113,728,539,434,380,319,159,211,1044,595,934,565,110,188,44496,3784,11433,6582,1791,16618,2337,1557,10036,1641,16445,2135,7814,1437,8631,1899,94674,5696,8138,1903,1630,780,4036,1513,2071,960,1965,1210,2472,1000,1609,909,863,629,86536,5085,12435,2619,55249,4406,11514,1975,43735,4026,18852,2042,8443,1654,10409,1801,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36637169,2615,25999361,47405,6209419,12142,3603690,23218,2128033,21750,1798436,22729,329597,11762,477696,12733,403976,12072,73720,4312,19789942,42631,15630961,45166,3324559,32429,2944417,30492,380142,11625,834422,16568,724172,16421,110250,5754,10637808,47221,5305094,35592,92224,5494,24488,2977,22326,2892,16881,2418,5445,1131,45410,3581,36060,3409,9350,1520,5212870,33571,665960,744720,12565,1803975,24326,15527,1059255,17924,2742935,25497,1372994,23410,1369941,20373,5332714,44647,307126,10698,26272,3071,162716,8613,107039,7030,55677,5070,118138,7184,70585,5686,47553,4150,5025588,40103,359994,10105,3204402,33195,651090,15992,2553312,28095,1461192,22766,651163,16181,810029,17188,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5123035,2020,4589586,13771,889692,3753,729984,8176,133524,6080,111352,6396,22172,2836,26184,3386,22953,3366,3231,845,3699894,12297,3420745,12061,219895,7863,188355,7066,31540,3303,59254,4673,51447,4508,7807,1434,533449,13399,207554,8054,10462,1710,5372,1033,1154,459,831,391,323,258,3936,1421,3297,1413,639,554,197092,7541,50653,31751,3870,61986,4863,3261,30235,3179,84453,4120,49798,3613,34655,3065,325895,11672,23079,2853,2829,1088,13007,2763,10618,2467,2389,863,7243,1516,4141,1326,3102,1119,302816,10863,32304,2946,193838,9242,53133,5226,140705,7873,76674,4934,38036,3642,38638,3636,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3404358,998,2887730,14010,547007,3037,445714,6042,66786,4124,59947,4347,6839,1505,34507,3524,30853,3409,3654,805,2340723,13074,2079163,10746,190232,6692,138069,6289,52163,3479,71328,4160,62668,3805,8660,1349,516628,14042,253184,8162,9023,1791,5313,1221,1231,666,1231,666,0,198,2479,995,2326,1003,153,140,244161,7815,70108,22784,4757,45293,3601,3067,22509,2334,128760,6255,76880,4395,51880,4640,263444,12243,20767,2530,3326,1062,8433,2053,4991,1404,3442,1519,9008,1774,6002,1339,3006,1026,242677,11019,38346,3787,88830,7954,22117,3492,66713,6400,115501,6617,55781,4637,59720,5190,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890489,219,803850,5359,144131,1106,126186,2224,14086,1805,12721,1761,1365,846,3859,968,3222,824,637,433,659719,4841,627319,4979,22621,2805,16796,2469,5825,1280,9779,1840,8214,1811,1565,655,86639,5355,39153,3169,1724,671,964,455,451,465,451,465,0,190,309,337,43,84,266,332,37429,3039,12139,4606,1744,6941,1368,1211,2335,836,18349,1915,13320,1574,5029,1269,47486,4315,2900,887,737,510,934,533,865,520,69,97,1229,624,693,520,536,326,44586,3852,6137,1868,19161,2441,5226,1360,13935,2117,19288,2296,11610,2129,7678,1705,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,628998,6,534576,5506,71085,1108,59930,1500,8286,897,5887,1375,2399,1342,2869,837,2786,827,83,138,463491,5205,432839,5994,18435,2703,14718,2173,3717,1302,12217,2052,11703,1924,514,369,94422,5506,41645,3967,894,509,431,329,72,84,72,84,0,200,391,340,322,288,69,105,40751,3831,15007,5090,2416,10379,1902,1343,5289,1429,15365,1983,11360,1764,4005,1074,52777,4977,2629,1075,410,334,899,659,339,264,560,531,1320,734,1185,708,135,139,50148,4778,10831,1794,18100,3378,7091,1781,11009,2599,21217,2964,15258,2614,5959,1230,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19172999,3447,15108810,42374,2807707,10702,2114632,19030,550616,13503,485154,12817,65462,5081,142459,9607,128685,8642,13774,2463,12301103,36129,10762050,32651,1290858,20527,1032854,18280,258004,11840,248195,10713,224182,10033,24013,3385,4064189,41567,2190589,25623,49815,4964,13172,2439,24475,3451,20154,3259,4321,1270,12168,2280,10805,1922,1363,734,2140774,23570,456942,522714,12768,1101485,17739,15336,578771,14052,582347,15105,349419,12144,232928,10930,1873600,39543,147194,9065,15497,2717,89920,6259,54943,4565,34977,4651,41777,4975,25688,3630,16089,2687,1726406,34730,257894,12258,1033934,24855,237390,11622,796544,21838,434578,15156,196592,9520,237986,11509,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
