GEO_ID,B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,NAME,B18101D_001MA,B18101D_001EA,B18101D_002MA,B18101D_002EA,B18101D_003EA,B18101D_003MA,B18101D_004EA,B18101D_004MA,B18101D_005MA,B18101D_005EA,B18101D_006MA,B18101D_006EA,B18101D_007MA,B18101D_007EA,B18101D_008EA,B18101D_008MA,B18101D_009EA,B18101D_009MA,B18101D_010MA,B18101D_010EA,state
0400000US01,59159,2329,13539,1410,411,310,13128,1471,40542,1779,1437,560,39105,1734,5078,905,1428,578,3650,657,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46347,2554,11819,1498,363,259,11456,1495,31160,1494,1917,683,29243,1552,3368,379,1598,359,1770,481,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,215571,5390,43749,2930,1292,574,42457,2990,148687,3574,8029,1310,140658,3368,23135,1069,6858,1325,16277,1360,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42067,2513,9247,1407,96,131,9151,1412,29424,1954,1192,591,28232,1979,3396,772,857,402,2539,705,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5521956,20257,1023042,10254,17796,2056,1005246,10204,3722209,12529,172105,6240,3550104,14327,776705,3749,249477,6873,527228,7560,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,161665,5050,36256,3091,793,462,35463,2923,110785,3329,5131,926,105654,3309,14624,849,4248,910,10376,1168,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156062,2733,33885,1586,923,514,32962,1543,110041,1899,4087,956,105954,2250,12136,546,3031,837,9105,977,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36061,1602,7811,801,245,205,7566,819,24352,1197,876,432,23476,1278,3898,392,518,317,3380,578,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25901,1029,2389,529,0,200,2389,529,21811,940,771,393,21040,1019,1701,152,925,453,776,417,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,542341,8943,107080,4276,1931,723,105149,4382,368335,6108,18003,3272,350332,6839,66926,2670,19017,2145,47909,2762,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
