GEO_ID,C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,NAME,C17010I_001MA,C17010I_001EA,C17010I_002MA,C17010I_002EA,C17010I_003MA,C17010I_003EA,C17010I_004EA,C17010I_004MA,C17010I_005EA,C17010I_005MA,C17010I_006EA,C17010I_006MA,C17010I_007MA,C17010I_007EA,C17010I_008MA,C17010I_008EA,C17010I_009MA,C17010I_009EA,C17010I_010EA,C17010I_010MA,C17010I_011EA,C17010I_011MA,C17010I_012EA,C17010I_012MA,C17010I_013MA,C17010I_013EA,C17010I_014MA,C17010I_014EA,C17010I_015MA,C17010I_015EA,C17010I_016EA,C17010I_016MA,C17010I_017EA,C17010I_017MA,state
0400000US01,32812,1867,8736,1293,4917,1005,4849,986,3819,1095,749,378,700,371,3070,978,3013,986,24076,1856,17258,1774,9986,1478,6818,1429,2432,814,1441,666,4386,1227,3236,1121,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9272,1184,909,614,42,68,42,68,867,608,44,51,44,51,823,617,823,617,8363,1073,5496,1192,3303,876,2867,907,884,461,658,409,1983,823,1778,814,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,421642,7177,101076,5004,39572,3344,32322,3073,61504,4319,10536,1979,8525,1735,50968,3815,46802,3649,320566,7182,208126,6804,123828,5532,112440,5023,44054,3835,27037,3093,68386,3838,44112,3282,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42189,2762,11453,2179,5630,1690,4529,1352,5823,1447,1074,518,1045,528,4749,1363,4230,1337,30736,2609,24364,2492,15659,1878,6372,1550,3574,1089,2367,887,2798,1010,2079,946,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3002542,14595,565428,11197,241527,6883,197712,6502,323901,8930,64528,4741,54168,4618,259373,7590,226405,7190,2437114,14921,1671543,16026,1036822,13417,765571,14372,285091,8686,159628,6304,480480,10941,285416,8706,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,238455,4890,41463,3464,17082,2219,13113,1967,24381,2528,2788,902,2238,821,21593,2314,19371,2215,196992,4925,140437,4291,86359,3922,56555,3368,22957,2451,15055,2245,33598,2751,22353,2459,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,119031,3848,27917,3031,5908,1299,3784,1116,22009,2636,3382,1013,2587,922,18627,2282,16292,2261,91114,3715,55830,3451,31870,2913,35284,3032,10336,1950,5877,1346,24948,2510,17032,2215,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17747,1415,5036,1106,2168,784,1580,671,2868,771,336,236,167,163,2532,786,2480,792,12711,1438,9616,1365,6486,1239,3095,905,984,535,640,432,2111,743,1326,629,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12431,1388,1511,952,394,375,314,360,1117,886,659,662,541,607,458,626,458,626,10920,1421,7548,1351,4929,1169,3372,947,1070,520,286,220,2302,808,1198,531,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1069184,11740,187440,8368,80500,5883,53065,4745,106940,5797,20572,2532,15246,2094,86368,5798,72579,5355,881744,12339,605672,10489,295110,9064,276072,8312,90832,5486,44758,3817,185240,7954,99837,5096,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,191097,5037,46924,4435,25442,3570,22860,3330,21482,2959,4462,1164,4117,1047,17020,2763,15346,2645,144173,5060,106900,5435,70491,4159,37273,3237,15662,2159,9536,2002,21611,2535,16324,2374,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,25359,1743,2517,795,587,383,541,337,1930,682,197,248,66,114,1733,644,1667,636,22842,1819,17036,1892,10942,1579,5806,1178,2117,803,1137,607,3689,963,2455,861,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35511,2292,6944,1420,3059,978,2356,933,3885,1315,340,323,340,323,3545,1287,3247,1225,28567,2073,20400,1885,13943,1771,8167,1527,3042,828,1859,755,5125,1348,4160,1334,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,442994,6929,76548,4521,35043,3456,29836,3138,41505,3635,7061,1325,5672,1264,34444,3399,31704,3224,366446,7650,256819,7246,161167,5603,109627,5664,45308,3502,27372,2878,64319,4593,43197,3864,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,83479,3525,19568,1970,7552,1236,6773,1173,12016,1823,2168,925,1616,722,9848,1771,9213,1719,63911,3160,44522,3040,27193,2508,19389,1903,8073,1265,4537,1128,11316,1746,7394,1379,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
