GEO_ID,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M,NAME,B15002_001EA,B15002_001MA,B15002_002MA,B15002_002EA,B15002_003MA,B15002_003EA,B15002_004EA,B15002_004MA,B15002_005EA,B15002_005MA,B15002_006EA,B15002_006MA,B15002_007MA,B15002_007EA,B15002_008MA,B15002_008EA,B15002_009EA,B15002_009MA,B15002_010EA,B15002_010MA,B15002_011EA,B15002_011MA,B15002_012MA,B15002_012EA,B15002_013MA,B15002_013EA,B15002_014MA,B15002_014EA,B15002_015EA,B15002_015MA,B15002_016EA,B15002_016MA,B15002_017MA,B15002_017EA,B15002_018MA,B15002_018EA,B15002_019MA,B15002_019EA,B15002_020EA,B15002_020MA,B15002_021EA,B15002_021MA,B15002_022MA,B15002_022EA,B15002_023MA,B15002_023EA,B15002_024MA,B15002_024EA,B15002_025MA,B15002_025EA,B15002_026EA,B15002_026MA,B15002_027EA,B15002_027MA,B15002_028MA,B15002_028EA,B15002_029EA,B15002_029MA,B15002_030MA,B15002_030EA,B15002_031MA,B15002_031EA,B15002_032EA,B15002_032MA,B15002_033EA,B15002_033MA,B15002_034EA,B15002_034MA,B15002_035EA,B15002_035MA,state
0400000US01,3282252,5930,1551470,4646,20318,2156,7279,1479,16305,1912,41454,4183,37548,3306,48184,3823,52642,4354,29100,2517,504353,10506,86224,4478,239077,7903,102785,4792,237072,8143,81433,4650,28988,2492,18708,2326,1730782,3778,18722,2005,7228,1392,12197,1754,35327,2797,37034,3232,49939,3186,54847,3252,28758,2968,513710,9517,108290,4575,274388,8931,163667,6348,267554,7128,126334,5790,18516,1913,14271,1879,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,469523,1628,244336,1642,1205,561,1224,438,1138,612,2728,710,1872,549,2528,550,4186,821,2625,715,73672,3322,16383,2189,49860,3096,19072,2132,42968,3020,15928,1653,6212,1179,2735,695,225187,1309,1629,623,1249,505,1004,461,1944,460,1433,456,2190,496,3636,1022,4025,1058,54380,3258,17896,1684,45187,2683,19041,2313,44901,2778,20332,1865,4602,1008,1738,626,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4536954,2797,2215766,1876,30509,2611,19924,2470,39000,3357,42278,3260,41890,3663,45222,3859,54723,4223,46450,4361,549720,11989,158379,6126,396317,11414,169877,6319,384998,9221,157394,5698,46362,2873,32723,2384,2321188,2161,34903,2729,18534,2520,42697,3849,43471,3288,37242,3783,37654,2951,48770,4375,47706,3431,561151,10303,182092,6167,418767,9768,212229,6627,403935,8258,181983,6396,28321,2552,21733,2298,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1987819,4624,954538,3323,12195,1838,6351,1341,10957,1707,22112,2356,21947,2404,24438,2607,32301,3097,17935,2390,342205,7816,62356,3461,153158,6400,50244,3540,128621,5363,42881,3071,15189,1781,11648,1416,1033281,3491,13172,1720,6072,1349,12189,1732,22897,2410,18692,2167,24403,2477,28477,2707,15933,2110,336247,6897,75009,4524,160363,5492,84785,4601,150354,5231,66508,3874,10070,1674,8110,1563,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26085263,4915,12749155,3805,327073,7423,205563,7599,474960,13468,226784,9386,266137,8542,183413,7552,272207,8216,359306,11276,2716755,22112,696678,13051,2006540,20378,890702,15482,2557226,22405,996986,13739,318771,6867,250054,7026,13336108,4247,383176,8661,233025,8811,501099,12291,231077,7562,267910,8421,169990,7265,242329,8172,299461,7533,2713326,23236,785558,12778,2114503,19371,1102001,15072,2728528,24504,1119448,14616,274805,7295,169872,5759,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3671853,3754,1822253,3767,14901,1994,9150,1662,22946,2420,20872,2664,20185,2705,24031,2977,28793,2536,27320,2679,407358,8613,111842,5228,291356,8354,138424,5337,443990,9004,180207,5968,46435,2985,34443,2891,1849600,2098,18030,2106,9478,1776,21987,2861,18209,2659,18459,2263,22531,2662,24602,2514,22359,2344,389626,9820,120051,5688,285788,7291,162779,6001,465042,7731,210758,6180,35295,2718,24606,2089,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2474718,1882,1179027,1575,13486,2175,7563,1715,14000,2436,16767,2143,15356,2204,18151,2104,19117,2936,18407,1978,337500,8384,54308,3302,143180,5402,71860,4247,259511,7313,126782,4834,39129,2383,23910,2211,1295691,1713,14937,1682,7219,1298,13464,2263,17336,2195,15299,2393,16700,2037,19030,1996,15436,1707,341416,6850,69264,3544,150768,6009,116110,5041,276422,6153,174226,4885,30713,2460,17351,1898,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,652636,1396,308965,1048,3494,954,2145,945,2204,772,4744,1302,4336,1264,7523,1287,8428,1591,5953,1250,95001,4042,18005,1709,42556,2761,20160,2018,56692,3591,23992,2119,7571,1254,6161,1066,343671,957,3948,1001,1659,656,2875,855,3623,921,4283,1102,5424,1285,6950,1406,4766,1043,99809,4527,23117,2615,47308,3078,32396,2691,60889,3026,36236,2647,6011,1105,4377,878,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,472884,163,222420,451,2549,867,2240,1128,2202,1119,3226,943,3237,1030,4167,1253,3989,1102,2475,809,34623,2310,7117,1316,20622,2411,5677,1392,57480,3447,41993,2663,18738,2097,12085,1430,250464,418,2291,681,1547,856,2445,916,3727,1062,2518,943,4218,1090,4793,1148,2625,751,47558,3255,7898,1391,24470,2050,8325,1340,55149,3359,55452,3041,18991,2349,8457,1404,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14394281,8274,6891352,6924,101700,5851,55613,4813,93869,5931,113169,7450,120824,6297,135711,7140,140517,6203,151589,6889,2014906,22672,410921,10123,969804,18538,594730,14057,1261281,19506,452334,10535,174612,6431,99772,4984,7502929,4841,112609,6825,53958,4027,109534,6495,109601,6277,95435,6327,117965,6251,129649,5654,139509,5599,2186973,23281,492143,10920,1062379,16947,788835,14250,1359058,16898,559840,11859,115789,5923,69652,4545,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
