GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001EA,B17020D_001MA,B17020D_002EA,B17020D_002MA,B17020D_003EA,B17020D_003MA,B17020D_004MA,B17020D_004EA,B17020D_005EA,B17020D_005MA,B17020D_006EA,B17020D_006MA,B17020D_007EA,B17020D_007MA,B17020D_008EA,B17020D_008MA,B17020D_009MA,B17020D_009EA,B17020D_010MA,B17020D_010EA,B17020D_011EA,B17020D_011MA,B17020D_012EA,B17020D_012MA,B17020D_013EA,B17020D_013MA,B17020D_014MA,B17020D_014EA,B17020D_015MA,B17020D_015EA,B17020D_016EA,B17020D_016MA,B17020D_017EA,B17020D_017MA,state
0400000US01,58394,2339,7985,2002,703,474,788,577,430,332,5577,1323,474,371,13,25,0,192,50409,2648,2849,821,5056,938,3615,907,31309,1729,5731,945,1342,498,507,382,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46758,2564,5159,2358,887,610,701,490,777,506,2420,1025,288,241,86,144,0,149,41599,2898,2567,802,3452,991,3435,1014,26129,1528,4556,726,1305,442,155,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,212749,5491,28255,4680,1696,1059,1744,866,1331,769,19254,2665,3127,989,695,487,408,306,184494,5979,12252,1438,13670,1617,12601,1551,115303,3874,23000,1855,5771,945,1897,708,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41458,2472,6098,1650,211,185,211,185,555,402,4505,1234,375,291,182,262,59,97,35360,2501,2069,739,3143,740,3009,1074,22907,1946,3607,634,548,297,77,110,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5468030,19502,623644,21246,34812,4156,35629,3511,45405,4083,369066,13320,88480,5276,33619,2948,16633,2134,4844386,24965,288109,7510,310999,6984,298883,6467,2976642,17937,696296,9165,201613,5249,71844,4488,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,160327,5056,23349,3434,1397,706,1761,865,2061,760,14002,2111,3031,1098,737,500,360,303,136978,5368,10083,1461,11271,2062,9430,1381,87488,3729,14688,1375,2942,802,1076,459,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,150621,2713,10951,2202,396,358,755,433,1599,837,6856,1349,863,440,482,362,0,198,139670,3248,9647,775,10348,1474,10969,1286,91230,2359,14178,1488,2510,784,788,523,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35493,1649,2117,1089,83,141,98,156,300,275,1437,799,153,237,46,74,0,190,33376,1731,2803,506,2439,671,1983,452,21166,1246,3427,718,1257,471,301,284,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24129,1066,2969,981,0,200,24,42,0,200,2248,926,576,394,121,221,0,200,21160,1355,976,461,703,291,600,288,16729,1247,1745,447,313,243,94,124,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,536639,8757,65766,7305,3722,1323,4460,1538,4251,1372,43136,4786,6770,1448,2404,689,1023,571,470873,10562,27921,2400,33333,3224,32002,2576,292089,7411,64506,3456,16237,1991,4785,1209,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
