GEO_ID,C23002G_001E,C23002G_001M,C23002G_002E,C23002G_002M,C23002G_003E,C23002G_003M,C23002G_004E,C23002G_004M,C23002G_005E,C23002G_005M,C23002G_006E,C23002G_006M,C23002G_007E,C23002G_007M,C23002G_008E,C23002G_008M,C23002G_009E,C23002G_009M,C23002G_010E,C23002G_010M,C23002G_011E,C23002G_011M,C23002G_012E,C23002G_012M,C23002G_013E,C23002G_013M,C23002G_014E,C23002G_014M,C23002G_015E,C23002G_015M,C23002G_016E,C23002G_016M,C23002G_017E,C23002G_017M,C23002G_018E,C23002G_018M,C23002G_019E,C23002G_019M,C23002G_020E,C23002G_020M,C23002G_021E,C23002G_021M,C23002G_022E,C23002G_022M,C23002G_023E,C23002G_023M,C23002G_024E,C23002G_024M,C23002G_025E,C23002G_025M,C23002G_026E,C23002G_026M,C23002G_027E,C23002G_027M,NAME,C23002G_001MA,C23002G_001EA,C23002G_002MA,C23002G_002EA,C23002G_003EA,C23002G_003MA,C23002G_004MA,C23002G_004EA,C23002G_005MA,C23002G_005EA,C23002G_006MA,C23002G_006EA,C23002G_007MA,C23002G_007EA,C23002G_008MA,C23002G_008EA,C23002G_009MA,C23002G_009EA,C23002G_010MA,C23002G_010EA,C23002G_011MA,C23002G_011EA,C23002G_012MA,C23002G_012EA,C23002G_013MA,C23002G_013EA,C23002G_014MA,C23002G_014EA,C23002G_015MA,C23002G_015EA,C23002G_016MA,C23002G_016EA,C23002G_017MA,C23002G_017EA,C23002G_018MA,C23002G_018EA,C23002G_019MA,C23002G_019EA,C23002G_020MA,C23002G_020EA,C23002G_021MA,C23002G_021EA,C23002G_022MA,C23002G_022EA,C23002G_023MA,C23002G_023EA,C23002G_024MA,C23002G_024EA,C23002G_025MA,C23002G_025EA,C23002G_026MA,C23002G_026EA,C23002G_027MA,C23002G_027EA,state
0400000US01,53619,4394,26758,2989,25075,2905,16448,2073,169,150,16279,2094,14179,2099,2100,881,8627,1949,1683,587,392,250,392,250,0,192,1291,531,26861,2484,23281,2327,14406,1775,10,20,14396,1777,12130,1778,2266,775,8875,1512,3580,825,348,232,348,232,0,192,3232,771,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,36913,2726,18906,1900,17886,1879,13394,1529,638,357,12756,1435,10438,1273,2318,755,4492,813,1020,386,80,85,80,85,0,149,940,362,18007,1708,16730,1656,11351,1532,377,436,10974,1485,9813,1347,1161,593,5379,1177,1277,398,32,44,32,44,0,149,1245,410,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,125261,7303,61381,4473,56390,4285,40577,3902,559,392,40018,3897,34961,3392,5057,1408,15813,2349,4991,990,1362,564,1216,543,146,159,3629,919,63880,4246,58572,4054,38579,3279,50,81,38529,3264,35246,3064,3283,935,19993,2340,5308,1074,766,433,726,422,40,64,4542,908,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,35480,4045,18266,2386,16059,2230,10622,1663,243,248,10379,1638,9551,1505,828,513,5437,1441,2207,631,197,194,197,194,0,190,2010,602,17214,2637,13952,2400,9074,1854,0,190,9074,1854,8514,1787,560,359,4878,1224,3262,815,404,266,404,266,0,190,2858,805,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1071664,21355,524974,13815,483872,12750,341944,10193,3262,838,338682,10071,303113,10247,35569,2980,141928,6223,41102,2692,9648,1386,8536,1349,1112,420,31454,2433,546690,11946,496600,11592,335419,8907,1338,572,334081,8877,304824,8169,29257,2673,161181,6650,50090,3347,7483,992,6924,997,559,353,42607,3260,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,113303,6257,58670,4607,55590,4486,42881,3687,1288,567,41593,3746,38890,3560,2703,1096,12709,2389,3080,791,614,306,528,281,86,107,2466,783,54633,3615,51041,3407,36202,2979,76,98,36126,2975,33623,3073,2503,890,14839,1775,3592,848,660,391,660,391,0,193,2932,753,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65552,5442,32039,3451,30900,3493,21437,2917,236,146,21201,2910,18450,2612,2751,1069,9463,1639,1139,611,306,222,306,222,0,198,833,560,33513,3544,31235,3435,21960,3098,69,151,21891,3108,18563,2744,3328,1344,9275,1496,2278,676,299,212,299,212,0,198,1979,675,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14289,2222,7773,1593,7187,1612,4957,1146,87,102,4870,1120,4578,1065,292,275,2230,1071,586,299,200,188,181,183,19,33,386,260,6516,1282,6029,1278,4017,1039,35,62,3982,1041,3724,1017,258,206,2012,706,487,310,94,120,94,120,0,190,393,284,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15153,2123,6675,1451,6376,1418,5132,1328,183,206,4949,1328,4689,1292,260,253,1244,658,299,209,51,84,51,84,0,200,248,195,8478,1199,7653,1227,6324,1109,72,147,6252,1129,5689,1074,563,337,1329,544,825,408,356,296,294,280,62,101,469,282,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,307338,12803,153238,8322,137768,7611,103408,6247,1466,561,101942,6260,92409,5773,9533,1818,34360,3606,15470,1750,3160,767,2825,701,335,306,12310,1648,154100,7675,137509,7287,93328,6432,478,363,92850,6416,83233,5878,9617,1912,44181,3638,16591,1967,2968,950,2764,936,204,175,13623,1704,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,129559,9665,60796,5509,57687,5296,42125,4235,2542,972,39583,4170,34951,3975,4632,1487,15562,2528,3109,764,853,462,798,454,55,94,2256,705,68763,5715,62339,5632,40576,4141,233,247,40343,4179,36250,3944,4093,1059,21763,2803,6424,1242,952,572,873,568,79,90,5472,1052,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,229334,9007,114281,5082,102652,4773,78404,4401,2068,740,76336,4499,71604,4378,4732,1282,24248,2102,11629,1501,2174,576,2130,584,44,72,9455,1398,115053,5615,101601,5228,72878,4221,401,232,72477,4224,68556,4051,3921,1086,28723,2785,13452,1440,2261,615,2190,619,71,84,11191,1415,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26245,2923,13816,2001,12655,1935,9197,1847,107,183,9090,1884,7542,1707,1548,1084,3458,1032,1161,537,114,148,114,148,0,193,1047,519,12429,2203,11068,2000,6329,1371,33,61,6296,1360,5765,1321,531,359,4739,1300,1361,763,210,227,124,182,86,134,1151,701,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,158955,6809,76984,4347,71734,4272,53630,3715,690,540,52940,3761,47533,3639,5407,1264,18104,2426,5250,929,1495,615,1495,615,0,182,3755,824,81971,4656,75043,4733,53545,3925,30,47,53515,3927,49058,3820,4457,929,21498,2309,6928,1148,1305,486,1112,469,193,176,5623,1061,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,79421,5519,38650,3681,35649,3583,25429,3063,284,205,25145,3029,22141,2860,3004,1089,10220,1539,3001,742,857,394,814,388,43,72,2144,597,40771,3787,36058,3673,24253,3443,0,189,24253,3443,21931,3430,2322,805,11805,1841,4713,967,624,382,624,382,0,189,4089,876,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,29873,3345,14093,2005,13031,1938,9249,1731,37,66,9212,1732,8527,1694,685,389,3782,802,1062,396,256,201,252,201,4,8,806,346,15780,2184,14739,2127,11047,1627,0,155,11047,1627,9594,1580,1453,685,3692,913,1041,395,74,106,74,106,0,155,967,386,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
