B27018_089E,B27018_089M,B27018_090E,B27018_090M,B27018_091E,B27018_091M,GEO_ID,B27018_001E,B27018_001M,B27018_002E,B27018_002M,B27018_003E,B27018_003M,B27018_004E,B27018_004M,B27018_005E,B27018_005M,B27018_006E,B27018_006M,B27018_007E,B27018_007M,B27018_008E,B27018_008M,B27018_009E,B27018_009M,B27018_010E,B27018_010M,B27018_011E,B27018_011M,B27018_012E,B27018_012M,B27018_013E,B27018_013M,B27018_014E,B27018_014M,B27018_015E,B27018_015M,B27018_016E,B27018_016M,B27018_017E,B27018_017M,B27018_018E,B27018_018M,B27018_019E,B27018_019M,B27018_020E,B27018_020M,B27018_021E,B27018_021M,B27018_022E,B27018_022M,B27018_023E,B27018_023M,B27018_024E,B27018_024M,B27018_025E,B27018_025M,B27018_026E,B27018_026M,B27018_027E,B27018_027M,B27018_028E,B27018_028M,B27018_029E,B27018_029M,B27018_030E,B27018_030M,B27018_031E,B27018_031M,B27018_032E,B27018_032M,B27018_033E,B27018_033M,B27018_034E,B27018_034M,B27018_035E,B27018_035M,B27018_036E,B27018_036M,B27018_037E,B27018_037M,B27018_038E,B27018_038M,B27018_039E,B27018_039M,B27018_040E,B27018_040M,B27018_041E,B27018_041M,B27018_042E,B27018_042M,B27018_043E,B27018_043M,B27018_044E,B27018_044M,B27018_045E,B27018_045M,B27018_046E,B27018_046M,B27018_047E,B27018_047M,B27018_048E,B27018_048M,B27018_049E,B27018_049M,B27018_050E,B27018_050M,B27018_051E,B27018_051M,B27018_052E,B27018_052M,B27018_053E,B27018_053M,B27018_054E,B27018_054M,B27018_055E,B27018_055M,B27018_056E,B27018_056M,B27018_057E,B27018_057M,B27018_058E,B27018_058M,B27018_059E,B27018_059M,B27018_060E,B27018_060M,B27018_061E,B27018_061M,B27018_062E,B27018_062M,B27018_063E,B27018_063M,B27018_064E,B27018_064M,B27018_065E,B27018_065M,B27018_066E,B27018_066M,B27018_067E,B27018_067M,B27018_068E,B27018_068M,B27018_069E,B27018_069M,B27018_070E,B27018_070M,B27018_071E,B27018_071M,B27018_072E,B27018_072M,B27018_073E,B27018_073M,B27018_074E,B27018_074M,B27018_075E,B27018_075M,B27018_076E,B27018_076M,B27018_077E,B27018_077M,B27018_078E,B27018_078M,B27018_079E,B27018_079M,B27018_080E,B27018_080M,B27018_081E,B27018_081M,B27018_082E,B27018_082M,B27018_083E,B27018_083M,B27018_084E,B27018_084M,B27018_085E,B27018_085M,B27018_086E,B27018_086M,B27018_087E,B27018_087M,B27018_088E,B27018_088M,B27018_089MA,B27018_089EA,B27018_090MA,B27018_090EA,B27018_091EA,B27018_091MA,NAME,B27018_001EA,B27018_001MA,B27018_002EA,B27018_002MA,B27018_003MA,B27018_003EA,B27018_004MA,B27018_004EA,B27018_005EA,B27018_005MA,B27018_006MA,B27018_006EA,B27018_007MA,B27018_007EA,B27018_008MA,B27018_008EA,B27018_009MA,B27018_009EA,B27018_010EA,B27018_010MA,B27018_011EA,B27018_011MA,B27018_012MA,B27018_012EA,B27018_013MA,B27018_013EA,B27018_014MA,B27018_014EA,B27018_015EA,B27018_015MA,B27018_016MA,B27018_016EA,B27018_017MA,B27018_017EA,B27018_018MA,B27018_018EA,B27018_019MA,B27018_019EA,B27018_020MA,B27018_020EA,B27018_021EA,B27018_021MA,B27018_022EA,B27018_022MA,B27018_023MA,B27018_023EA,B27018_024MA,B27018_024EA,B27018_025MA,B27018_025EA,B27018_026EA,B27018_026MA,B27018_027MA,B27018_027EA,B27018_028MA,B27018_028EA,B27018_029MA,B27018_029EA,B27018_030MA,B27018_030EA,B27018_031EA,B27018_031MA,B27018_032EA,B27018_032MA,B27018_033EA,B27018_033MA,B27018_034MA,B27018_034EA,B27018_035MA,B27018_035EA,B27018_036EA,B27018_036MA,B27018_037EA,B27018_037MA,B27018_038MA,B27018_038EA,B27018_039MA,B27018_039EA,B27018_040MA,B27018_040EA,B27018_041EA,B27018_041MA,B27018_042EA,B27018_042MA,B27018_043EA,B27018_043MA,B27018_044EA,B27018_044MA,B27018_045MA,B27018_045EA,B27018_046EA,B27018_046MA,B27018_047EA,B27018_047MA,B27018_048EA,B27018_048MA,B27018_049MA,B27018_049EA,B27018_050MA,B27018_050EA,B27018_051EA,B27018_051MA,B27018_052EA,B27018_052MA,B27018_053MA,B27018_053EA,B27018_054EA,B27018_054MA,B27018_055EA,B27018_055MA,B27018_056MA,B27018_056EA,B27018_057MA,B27018_057EA,B27018_058MA,B27018_058EA,B27018_059EA,B27018_059MA,B27018_060EA,B27018_060MA,B27018_061MA,B27018_061EA,B27018_062MA,B27018_062EA,B27018_063MA,B27018_063EA,B27018_064MA,B27018_064EA,B27018_065EA,B27018_065MA,B27018_066EA,B27018_066MA,B27018_067MA,B27018_067EA,B27018_068MA,B27018_068EA,B27018_069MA,B27018_069EA,B27018_070EA,B27018_070MA,B27018_071MA,B27018_071EA,B27018_072MA,B27018_072EA,B27018_073MA,B27018_073EA,B27018_074MA,B27018_074EA,B27018_075MA,B27018_075EA,B27018_076EA,B27018_076MA,B27018_077EA,B27018_077MA,B27018_078MA,B27018_078EA,B27018_079MA,B27018_079EA,B27018_080MA,B27018_080EA,B27018_081EA,B27018_081MA,B27018_082MA,B27018_082EA,B27018_083MA,B27018_083EA,B27018_084MA,B27018_084EA,B27018_085MA,B27018_085EA,B27018_086EA,B27018_086MA,B27018_087EA,B27018_087MA,B27018_088EA,B27018_088MA,state
244293,6458,237049,6418,7244,1257,0400000US01,4729118,2647,385733,15876,138381,9123,121124,8711,17257,3134,226647,8737,74377,5525,152270,6689,20705,2521,19309,2487,1396,507,490147,18489,152444,8639,133712,8144,18732,3414,284828,11760,123795,6451,161033,8433,52875,3469,51874,3465,1001,545,381696,19902,106402,8638,71823,7086,34579,4989,208827,11902,69425,5599,139402,9888,66467,3809,65926,3833,541,340,104240,8129,26042,3909,16149,2870,9893,2364,55661,4877,16033,1892,39628,4183,22537,2398,22151,2325,386,357,488997,18091,118347,7882,59887,5262,58460,6389,284762,11668,62055,4712,222707,10355,85888,4321,84994,4363,894,511,421704,19515,97256,6453,35768,4637,61488,5691,247156,12205,37177,3918,209979,10427,77292,5262,75508,5121,1784,740,372017,16693,81056,6991,20247,2874,60809,6305,224329,10872,31241,3379,193088,9385,66632,3955,65817,3930,815,373,652316,21367,135696,8584,21915,3429,113781,7466,410035,14424,39842,3514,370193,13838,106585,4758,104594,4592,1991,805,1432268,26345,237334,9808,16482,2623,220852,9024,950641,18423,61454,3997,889187,17967,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
37417,1786,35464,1746,1953,541,0400000US02,708439,1880,30067,3654,10253,2239,6270,1589,3983,1349,19289,2086,6806,1301,12483,1943,525,297,457,274,68,81,44300,4876,17596,2854,14396,2705,3200,1036,24091,2456,10928,1783,13163,1552,2613,723,2514,712,99,114,39151,5062,13104,2694,7753,1949,5351,2135,21760,2926,9455,1683,12305,1938,4287,897,4171,888,116,98,17349,4529,6667,2587,5625,2480,1042,534,9814,2084,3033,1125,6781,1519,868,378,848,377,20,33,51155,5802,16375,2801,9333,2250,7042,1968,28571,3569,7181,1756,21390,2719,6209,1025,6143,1023,66,67,65136,6288,20847,3104,7967,2287,12880,2137,39112,3660,6618,1735,32494,3231,5177,1130,5060,1133,117,162,49755,5192,15042,2462,3788,1004,11254,2331,30460,3440,4652,1336,25808,2984,4253,1011,3910,961,343,226,90226,7364,25519,3127,4559,1443,20960,2902,55970,4829,6253,1598,49717,4483,8737,1280,8327,1268,410,276,321300,9957,57836,3767,5618,1323,52218,3348,226047,7362,16391,2042,209656,6703,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
421700,8400,403935,8087,17765,2750,0400000US04,6658326,4172,547557,22500,178353,13049,145903,12606,32450,4115,331353,13651,160998,10204,170355,8515,37851,3114,30739,2571,7112,1693,610841,24867,215505,13032,166080,11606,49425,5937,333971,13636,182236,9789,151735,8263,61365,4427,59883,4368,1482,611,522979,19277,170395,9250,106084,8106,64311,6205,277858,11445,124551,7357,153307,9549,74726,4025,72506,4035,2220,754,157266,11926,47300,5214,21463,3334,25837,4423,84910,7313,30652,3425,54258,6261,25056,2810,24804,2793,252,288,651854,27215,175019,12910,70154,7746,104865,9694,366095,15236,104843,6941,261252,12458,110740,5438,108428,5303,2312,775,630058,19370,165192,10307,42204,5819,122988,8021,360864,11786,71056,5176,289808,10509,104002,4322,101383,4164,2619,842,536990,18639,116679,7850,18211,3119,98468,6893,312955,12858,50891,5045,262064,11311,107356,6141,104199,5955,3157,1381,895917,26872,190598,11366,22256,3921,168342,10488,540228,17771,64203,5402,476025,17396,165091,7133,161025,6871,4066,1143,2104864,30948,336543,9311,22528,2906,314015,8693,1346621,22047,97424,6032,1249197,20993,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
135099,5688,131031,5653,4068,963,0400000US05,2883167,3370,227954,12760,78086,6856,64577,6216,13509,2859,136152,7386,59394,3794,76758,6084,13716,1842,12742,1704,974,540,322404,15413,109607,8858,95056,8569,14551,3091,179230,9210,92184,6044,87046,6380,33567,2862,33074,2908,493,425,260159,12810,70940,6774,54140,5423,16800,3351,143242,7331,66542,4480,76700,5561,45977,3109,45315,3071,662,514,82158,7996,22546,3922,14869,3396,7677,2136,43448,4777,15759,2561,27689,3498,16164,2046,15639,2009,525,508,308327,15946,84029,7666,54223,6512,29806,4199,171914,9183,48265,5133,123649,6765,52384,3757,51787,3689,597,420,287238,13029,64203,5498,27697,3612,36506,3828,168423,8740,35168,3355,133255,7492,54612,4177,53267,4105,1345,657,234248,13426,50687,5677,15160,2518,35527,4678,140543,8491,22013,2783,118530,7889,43018,3543,42149,3508,869,655,386348,12749,81929,5116,18118,2756,63811,4402,237733,8809,29240,3426,208493,7925,66686,4042,65182,3875,1504,766,774331,16977,127854,6244,14070,2149,113784,6156,511378,11912,40861,3117,470517,11499,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2184369,18736,2030166,19046,154203,5766,0400000US06,38330324,7381,2568466,47874,795846,23983,676577,23471,119269,8955,1621528,31693,803905,21308,817623,19634,151092,6452,130284,6170,20808,2500,3321711,59943,1105659,29022,960509,27498,145150,8992,1861185,34225,1101644,25584,759541,19663,354867,9321,344631,9059,10236,2031,2875298,55525,896222,25944,696654,23425,199568,11114,1588759,33973,799509,22014,789250,22195,390317,9461,378851,9522,11466,2398,890643,27401,256652,12043,183344,11054,73308,7003,519774,17813,225017,11874,294757,11312,114217,5954,110840,5750,3377,1020,3606920,60059,962543,26669,567803,18553,394740,18239,2180559,36426,745977,20192,1434582,28460,463818,11822,447255,11709,16563,2615,3231132,54985,772270,24125,353841,17466,418429,16439,2017241,35907,519386,17714,1497855,26658,441621,9074,425721,9052,15900,2049,2726826,44866,627897,19383,213594,10698,414303,18428,1723736,28315,366249,15911,1357487,22409,375193,10364,360382,10342,14811,1904,4498245,63820,985975,23937,204985,9903,780990,22823,2893133,43359,432903,14602,2460230,39874,619137,11876,592799,11118,26338,2726,14611083,79956,2578817,27649,203100,10767,2375717,28577,9847897,53797,689795,16520,9158102,51172,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
312239,6575,295574,6479,16665,1753,0400000US08,5318474,3712,273387,13872,77207,7375,64736,6638,12471,2502,180373,9104,84347,6254,96026,5869,15807,1905,14109,1841,1698,725,339510,14807,105334,7819,89042,7413,16292,3649,201005,8393,100711,6143,100294,7389,33171,2716,31778,2676,1393,658,304914,18343,97053,9325,71420,7558,25633,4250,168316,10818,74859,6851,93457,6894,39545,3052,39024,3058,521,328,97296,9016,29086,4257,20756,3851,8330,1881,54243,5134,22788,3348,31455,4057,13967,1894,13563,1945,404,361,442828,19359,123031,9125,66811,6282,56220,6479,258245,10998,70557,5279,187688,9399,61552,4012,59315,3864,2237,1101,458825,17529,110938,7510,46866,5356,64072,5575,284074,11556,61602,5508,222472,9159,63813,4300,62376,4281,1437,577,398336,16545,97410,7504,27809,3698,69601,6615,244526,10714,45463,4727,199063,9460,56400,3925,55081,3914,1319,547,742953,22055,174460,10254,28677,4170,145783,9252,468890,13100,49965,4371,418925,12684,99603,4876,96363,4833,3240,729,2260425,23489,425350,9729,27396,3225,397954,9713,1522836,16431,88859,5298,1433977,14934,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
271170,6744,251939,6825,19231,1942,0400000US09,3476503,2451,174638,10487,51920,6012,41198,5445,10722,2718,111133,5986,62856,4739,48277,4611,11585,1771,10519,1540,1066,575,192223,12102,57373,6012,49489,5421,7884,2641,107063,7881,68285,5414,38778,4419,27787,3182,27444,3139,343,243,166909,11821,46797,6347,38729,5479,8068,2351,93000,6553,50707,4970,42293,4184,27112,2655,26463,2677,649,376,51622,4774,12621,2431,10321,2268,2300,928,27296,2903,16983,2590,10313,1941,11705,2023,11506,1998,199,197,213405,12058,51828,5228,31328,3964,20500,3562,117150,7246,47038,4512,70112,5810,44427,3007,43267,2876,1160,626,239472,14354,57060,6253,29396,4636,27664,4167,136287,9266,37971,4903,98316,7914,46125,3374,45059,3314,1066,460,204585,12551,42133,4458,12654,2514,29479,3967,127089,9302,26406,4155,100683,7074,35363,3252,34647,3210,716,402,424709,16371,88894,7295,17924,2887,70970,6924,267677,11004,40458,4560,227219,10535,68138,4457,66453,4466,1685,637,1808940,21789,343255,9349,18291,2740,324964,9395,1194515,15532,58533,4253,1135982,15763,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
71175,3638,67642,3637,3533,1026,0400000US10,917940,1178,53449,6143,15438,3544,12473,2998,2965,1465,33543,3580,17862,2474,15681,2388,4468,1008,3692,956,776,498,60911,8429,23534,5109,21666,5001,1868,951,32079,4328,20970,3318,11109,2379,5298,1010,4864,934,434,385,54993,5649,16711,3063,9990,2791,6721,2232,29490,3079,13656,2266,15834,2080,8792,1361,8784,1362,8,14,18639,4680,6025,2442,5040,2243,985,765,9812,2816,3670,1281,6142,2166,2802,926,2802,926,0,190,68456,7461,16799,3245,9455,2403,7344,2279,38970,4872,13589,2880,25381,3646,12687,1516,12172,1521,515,469,72620,8422,16934,3466,5720,1980,11214,2750,39817,4832,9525,1849,30292,4157,15869,2054,15598,2071,271,312,69256,8435,17132,3565,4661,1954,12471,2479,39612,5266,7276,1623,32336,4382,12512,1933,12463,1923,49,68,132564,9653,28338,3338,4444,1599,23894,3238,81079,6462,11608,2511,69471,5530,23147,2590,22743,2567,404,348,387052,13520,60365,4540,4253,1276,56112,4417,255512,9634,19760,3181,235752,8701,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
35874,2082,32394,2116,3480,805,0400000US11,635682,789,58611,6805,15141,2809,13850,2699,1291,1194,40097,4697,19931,3193,20166,3316,3373,985,2953,916,420,313,51889,5964,14588,3273,12907,3341,1681,1164,29507,3374,20641,2533,8866,1837,7794,1447,7489,1311,305,427,37715,5403,11247,2543,10462,2503,785,542,21333,3368,14247,2582,7086,1629,5135,1094,5092,1095,43,71,10139,2833,2296,1311,2036,1300,260,262,6758,1917,3367,1162,3391,1274,1085,577,1085,577,0,200,36375,4897,8691,2078,6136,1710,2555,1044,22972,3372,11777,2492,11195,1835,4712,909,4589,898,123,119,33337,4854,5041,1631,3204,1262,1837,1054,23633,3352,7432,1851,16201,2544,4663,1448,4233,1194,430,614,26586,4135,3728,1377,1377,760,2351,1163,19099,2903,4242,1427,14857,2250,3759,854,3347,853,412,281,67568,6608,10965,2275,3298,1237,7667,1773,49321,4706,9379,1987,39942,4292,7282,1226,6797,1210,485,269,313462,9335,44361,3173,3393,1187,40968,2879,233227,6667,14019,2313,219208,6177,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1411498,18322,1356274,18464,55224,3576,0400000US12,19810220,6712,1329741,34089,384662,18534,310983,17542,73679,7141,813480,18906,271157,10824,542323,15265,131599,6569,107388,5293,24211,2855,1786464,36384,546939,19621,439206,18779,107733,8547,971968,22231,376035,13360,595933,18344,267557,8483,257757,8272,9800,2013,1615067,37652,447752,18717,316954,15283,130798,10596,866430,22722,265313,11444,601117,19775,300885,9682,289454,9282,11431,2486,504326,23919,120628,9746,77009,7937,43619,6133,283781,15463,69426,5818,214355,12937,99917,4753,97705,4872,2212,833,2081720,43181,480066,16950,250566,11719,229500,11448,1203044,29377,230713,12104,972331,23989,398610,11516,385626,11368,12984,2319,1919256,36180,384197,15350,150932,11521,233265,11582,1147186,25551,164669,8543,982517,23110,387873,12362,372675,11555,15198,3037,1667259,36147,315816,12097,87981,6968,227835,10641,1001497,26296,118941,8786,882556,23939,349946,11282,338918,11078,11028,2129,2625032,45178,465797,16617,88445,7367,377352,15066,1628539,30374,158571,8655,1469968,28261,530696,13539,511844,13251,18852,2821,6281355,50827,888345,17807,75413,5837,812932,18545,3981512,35378,227441,10094,3754071,35302,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
