GEO_ID,B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,NAME,B05003D_001EA,B05003D_001MA,B05003D_002EA,B05003D_002MA,B05003D_003EA,B05003D_003MA,B05003D_004MA,B05003D_004EA,B05003D_005MA,B05003D_005EA,B05003D_006EA,B05003D_006MA,B05003D_007EA,B05003D_007MA,B05003D_008EA,B05003D_008MA,B05003D_009EA,B05003D_009MA,B05003D_010MA,B05003D_010EA,B05003D_011MA,B05003D_011EA,B05003D_012EA,B05003D_012MA,B05003D_013EA,B05003D_013MA,B05003D_014EA,B05003D_014MA,B05003D_015MA,B05003D_015EA,B05003D_016MA,B05003D_016EA,B05003D_017EA,B05003D_017MA,B05003D_018EA,B05003D_018MA,B05003D_019EA,B05003D_019MA,B05003D_020EA,B05003D_020MA,B05003D_021MA,B05003D_021EA,B05003D_022MA,B05003D_022EA,B05003D_023EA,B05003D_023MA,state
0400000US01,59393,2341,27880,1768,6815,1136,4823,1016,1992,808,933,744,1059,535,21065,1400,3605,1110,17460,1337,8743,1371,8717,1429,31513,1975,6724,1101,4303,963,2421,823,936,596,1485,632,24789,1406,4281,936,20508,1393,10350,1162,10158,1395,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47295,2541,22741,1382,6496,1041,5141,999,1355,668,247,181,1108,603,16245,890,3377,947,12868,1057,7011,1170,5857,1110,24554,1522,5323,849,3782,814,1541,610,946,478,595,383,19231,953,3270,890,15961,1029,7725,1123,8236,1263,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,217556,5352,100680,3165,20575,1949,16187,1990,4388,1098,958,396,3430,1017,80105,2263,19649,2378,60456,2536,31940,2175,28516,2513,116876,3227,23253,1659,17134,1774,6119,1223,2666,1023,3453,1024,93623,2327,16693,2166,76930,2867,45198,2452,31732,2353,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42404,2472,21428,1540,4834,900,3012,871,1822,636,675,354,1147,577,16594,1206,3480,883,13114,1168,6519,1123,6595,1239,20976,1811,4413,1070,2600,898,1813,698,730,488,1083,558,16563,1431,2431,783,14132,1366,7798,1219,6334,1099,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5548936,20371,2625314,12117,526728,6275,446938,7253,79790,5034,24701,2525,55089,4509,2098586,8234,561650,11619,1536936,12894,1009410,12150,527526,11528,2923622,11550,496687,6408,421094,7236,75593,4225,27814,2501,47779,3587,2426935,8008,547015,9759,1879920,10315,1249814,11230,630106,12314,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,162880,5083,74545,3042,17371,1903,13377,1996,3994,956,1307,668,2687,717,57174,1941,16725,1821,40449,1910,20877,1886,19572,2034,88335,3209,19020,1899,12372,1747,6648,1209,3790,1017,2858,833,69315,2158,16262,1906,53053,2566,28597,1858,24456,2365,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156249,2710,75630,1967,17349,1107,12383,1410,4966,1124,881,326,4085,1075,58281,1437,8416,1334,49865,1838,23029,1644,26836,1999,80619,2075,16536,1074,12324,1347,4212,920,2028,662,2184,726,64083,1641,11126,1491,52957,1978,27152,2019,25805,2340,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36114,1597,16970,1069,3479,533,2334,592,1145,480,354,263,791,494,13491,887,1794,752,11697,876,5514,842,6183,1079,19144,1000,4332,614,3301,576,1031,366,323,253,708,336,14812,584,1999,568,12813,734,6547,927,6266,855,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25944,1021,10694,844,1418,491,957,430,461,341,198,226,263,285,9276,770,3391,683,5885,818,3235,740,2650,677,15250,700,971,328,841,330,130,143,71,116,59,88,14279,633,4266,898,10013,918,5314,872,4699,1009,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,544068,8941,247716,5840,52342,3112,41205,3061,11137,2165,2760,1354,8377,1835,195374,4159,38849,3350,156525,4302,96696,3996,59829,4348,296352,5772,54738,3365,42389,3204,12349,2257,5302,1564,7047,1710,241614,4138,39056,3191,202558,4461,127262,4617,75296,5285,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
