GEO_ID,C17021_001E,C17021_001M,C17021_002E,C17021_002M,C17021_003E,C17021_003M,C17021_004E,C17021_004M,C17021_005E,C17021_005M,C17021_006E,C17021_006M,C17021_007E,C17021_007M,C17021_008E,C17021_008M,C17021_009E,C17021_009M,C17021_010E,C17021_010M,C17021_011E,C17021_011M,C17021_012E,C17021_012M,C17021_013E,C17021_013M,C17021_014E,C17021_014M,C17021_015E,C17021_015M,NAME,C17021_001EA,C17021_001MA,C17021_002MA,C17021_002EA,C17021_003EA,C17021_003MA,C17021_004EA,C17021_004MA,C17021_005EA,C17021_005MA,C17021_006MA,C17021_006EA,C17021_007EA,C17021_007MA,C17021_008EA,C17021_008MA,C17021_009EA,C17021_009MA,C17021_010EA,C17021_010MA,C17021_011EA,C17021_011MA,C17021_012EA,C17021_012MA,C17021_013MA,C17021_013EA,C17021_014EA,C17021_014MA,C17021_015EA,C17021_015MA,state
0400000US01,4736333,2309,876016,23918,644620,22356,208912,13774,435708,17429,64351,7526,371357,16612,231396,9302,3860317,23932,3322023,26515,2529054,28851,792969,25712,200999,12177,591970,23929,538294,12872,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,720765,857,74532,5835,53375,5074,19000,3118,34375,4264,11985,2073,22390,3767,21157,2313,646233,5969,536879,7811,407282,9899,129597,8609,48094,5474,81503,6811,109354,5391,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6671705,3550,1159043,29822,864292,28320,347695,20959,516597,22770,117315,10732,399282,19308,294751,10380,5512662,29567,4637837,35265,3476953,41946,1160884,32363,394946,20432,765938,24356,874825,17022,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2887337,2988,550508,17473,406628,17041,162996,11705,243632,14868,49115,6446,194517,13870,143880,7629,2336829,17428,2008320,19701,1578359,21656,429961,19689,117673,11603,312288,17673,328509,9571,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38398057,6625,5891678,66827,4434696,61178,1985615,48382,2449081,43561,586843,27348,1862238,39327,1456982,24825,32506379,67593,28127791,68819,21101974,99717,7025817,81759,2367185,46812,4658632,66262,4378588,35458,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5339618,2635,613549,20501,401738,17508,178387,13456,223351,13362,42713,5568,180638,12667,211811,8149,4726069,20499,3913739,24762,3155349,25305,758390,24050,266802,14324,491588,21548,812330,16092,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3480932,2053,366909,15789,249604,14446,71013,8457,178591,11913,29679,5647,148912,12162,117305,5773,3114023,16430,2625266,20824,2035270,26293,589996,22282,162584,12056,427412,18686,488757,11018,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920355,878,114360,9567,82917,9176,24235,4861,58682,8000,10210,3089,48472,7538,31443,2924,805995,9555,683676,11481,515882,13952,167794,11540,44929,5822,122865,10413,122319,6471,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,638027,441,110500,8628,64189,7121,9887,4321,54302,5885,5704,2391,48598,6130,46311,4033,527527,8607,343453,9824,215903,11262,127550,10051,28394,5104,99156,9323,184074,6873,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19850054,6121,3116886,47330,2239314,48386,839189,33210,1400125,40041,287631,18577,1112494,36065,877572,19205,16733168,46952,14058498,60745,10232269,64356,3826229,56376,1088413,33074,2737816,53993,2674670,30971,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
