GEO_ID,C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,NAME,C15010_001EA,C15010_001MA,C15010_002EA,C15010_002MA,C15010_003EA,C15010_003MA,C15010_004MA,C15010_004EA,C15010_005MA,C15010_005EA,C15010_006EA,C15010_006MA,state
0400000US01,792876,14677,232948,8287,79424,5268,182750,6860,135842,5341,161912,6679,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,139416,4807,50587,3236,12854,1848,22495,2692,20385,1882,33095,2889,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1257449,16239,416610,8494,119456,5995,271892,8680,183272,6180,266219,7537,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,433381,7690,126510,5599,42437,3668,95297,4341,83480,4081,85657,4444,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8415690,37555,3427565,24175,674278,12956,1586921,21296,563581,12039,2163345,19011,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1440776,13555,553496,11265,121176,5206,286139,7612,147138,5571,332827,8498,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,948044,12782,342674,7512,80873,4260,187022,6751,100734,4290,236741,8495,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,201929,5995,70332,4338,21046,2371,44771,3688,28364,2772,37416,2986,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268345,4913,125167,4335,11869,1898,33555,2832,11676,1723,86078,3857,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4092338,35512,1283693,20278,414601,12735,995869,17850,589792,12672,808383,14407,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
