GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001EA,C21001I_001MA,C21001I_002MA,C21001I_002EA,C21001I_003MA,C21001I_003EA,C21001I_004EA,C21001I_004MA,C21001I_005EA,C21001I_005MA,C21001I_006EA,C21001I_006MA,C21001I_007MA,C21001I_007EA,C21001I_008MA,C21001I_008EA,C21001I_009MA,C21001I_009EA,C21001I_010EA,C21001I_010MA,C21001I_011EA,C21001I_011MA,C21001I_012EA,C21001I_012MA,C21001I_013MA,C21001I_013EA,C21001I_014MA,C21001I_014EA,C21001I_015MA,C21001I_015EA,state
0400000US01,116228,2893,62822,3183,60653,3135,2923,987,57730,3259,2169,792,1035,510,1134,558,53406,2027,50061,2247,594,350,49467,2197,3345,892,85,144,3260,877,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31731,857,15774,1075,15248,1134,2848,1029,12400,1384,526,333,257,318,269,187,15957,668,14587,778,537,369,14050,751,1370,471,22,34,1348,465,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1390219,910,691817,855,631880,882,31651,2682,600229,2794,59937,468,19385,1825,40552,1775,698402,322,623525,608,4040,945,619485,1248,74877,443,407,245,74470,522,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,125857,1549,64977,1324,61705,1225,1787,592,59918,1257,3272,731,728,390,2544,638,60880,1467,56793,1387,806,493,55987,1373,4087,1101,0,190,4087,1101,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10424625,2434,5205321,2584,4773576,2509,150830,6206,4622746,6870,431745,947,83704,3114,348041,3294,5219304,1077,4648344,1282,19348,2199,4628996,2574,570960,851,2492,677,568468,1126,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,766644,1311,389094,1617,355983,1767,20163,2064,335820,2709,33111,799,13316,1317,19795,1348,377550,1055,337774,1218,3864,917,333910,1503,39776,1093,469,294,39307,1095,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,378751,361,187457,593,174446,659,7391,1601,167055,1676,13011,446,1872,567,11139,630,191294,581,173839,702,1390,667,172449,941,17455,485,107,139,17348,490,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,54800,132,28787,274,26585,355,2117,784,24468,747,2202,425,340,275,1862,470,26013,261,24114,280,514,554,23600,615,1899,270,0,190,1899,270,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52824,420,26613,388,25485,810,887,535,24598,972,1128,697,57,81,1071,695,26211,201,23868,201,42,70,23826,214,2343,-555555555,0,200,2343,4,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,11
0400000US12,3730610,2160,1813926,2621,1577213,2668,71545,5863,1505668,6406,236713,1686,32104,2754,204609,2791,1916684,1985,1583184,2105,13381,2098,1569803,3105,333500,1831,1444,586,332056,1930,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,592526,2430,310628,2414,297594,2317,13076,2257,284518,2715,13034,1312,3205,837,9829,1203,281898,2412,263025,2434,3575,1157,259450,2908,18873,1595,585,446,18288,1570,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,86869,1159,43022,1106,39762,1112,5299,1097,34463,1503,3260,159,1299,435,1961,405,43847,264,40225,380,1232,500,38993,654,3622,245,7,13,3615,243,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,121190,1031,61456,1235,57979,1168,3205,1170,54774,1635,3477,850,709,373,2768,852,59734,1024,55012,1195,111,200,54901,1196,4722,824,0,193,4722,824,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1446028,1805,742765,1848,688725,1779,16828,2369,671897,2919,54040,1070,7865,1317,46175,1613,703263,1464,640893,1595,1632,533,639261,1698,62370,856,255,262,62115,907,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,271989,2007,141420,2420,132799,2417,4587,1337,128212,2478,8621,961,2743,736,5878,812,130569,2325,120340,2281,1004,565,119336,2341,10229,1231,40,70,10189,1222,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,104459,1381,54939,1646,52249,1690,2019,690,50230,1713,2690,682,680,341,2010,585,49520,1379,47201,1525,310,229,46891,1541,2319,617,91,158,2228,588,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,202475,1198,103686,1414,97753,1469,4977,1170,92776,1754,5933,769,1885,459,4048,668,98789,1350,91008,1497,652,463,90356,1498,7781,807,108,151,7673,795,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,86548,2327,45351,1861,43274,1857,2867,1236,40407,1903,2077,428,749,371,1328,467,41197,2162,38178,1930,674,326,37504,1937,3019,755,46,88,2973,747,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,158608,2651,84737,2193,77198,2203,3515,1215,73683,2537,7539,987,1838,555,5701,938,73871,2330,64458,2463,1043,572,63415,2386,9413,954,0,204,9413,954,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12660,705,5448,688,5053,644,526,368,4527,678,395,268,132,111,263,215,7212,670,6536,685,32,57,6504,701,676,324,0,163,676,324,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,382113,883,200001,1504,189736,1505,8556,1684,181180,2289,10265,670,2055,578,8210,695,182112,1419,168040,1502,2332,752,165708,1686,14072,760,110,143,13962,727,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,517402,589,253546,651,236546,811,6109,1535,230437,1717,17000,522,1936,539,15064,673,263856,482,239909,711,961,509,238948,822,23947,561,0,200,23947,561,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,306026,888,154824,1242,142694,1339,7159,1124,135535,1620,12130,843,3598,682,8532,841,151202,1098,136005,1232,921,479,135084,1352,15197,945,205,197,14992,940,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,172335,1128,90362,1448,86936,1494,2795,789,84141,1679,3426,750,1356,407,2070,661,81973,1456,77434,1453,727,421,76707,1505,4539,602,23,54,4516,595,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,56418,2173,33436,2449,31879,2477,1246,521,30633,2461,1557,647,638,464,919,425,22982,1775,21101,1637,249,332,20852,1651,1881,760,32,55,1849,755,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,148863,2558,75736,2014,71523,2005,5104,1212,66419,1973,4213,784,1746,714,2467,542,73127,1835,66241,1856,401,305,65840,1861,6886,937,0,182,6886,937,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,22953,829,11719,991,10674,1066,1155,428,9519,1006,1045,425,293,185,752,387,11234,892,9481,871,560,395,8921,934,1753,600,16,30,1737,598,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,117683,656,60930,1119,57980,1243,2646,734,55334,1305,2950,585,612,294,2338,613,56753,1112,52860,1033,365,222,52495,1017,3893,553,37,61,3856,560,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,539655,425,272362,576,252815,676,8243,1422,244572,1516,19547,499,5215,990,14332,1034,267293,500,242306,624,2031,838,240275,940,24987,639,291,242,24696,679,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,29425,673,14165,586,13211,616,1048,393,12163,706,954,379,299,234,655,322,15260,850,14636,851,254,247,14382,882,624,277,0,184,624,277,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1246578,650,622222,708,568692,820,14311,2078,554381,2143,53530,406,5570,1013,47960,1064,624356,458,551003,592,1941,706,549062,892,73353,505,287,255,73066,579,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,704551,611,346156,577,298543,1010,21328,2285,277215,2581,47613,711,20503,1912,27110,2002,358395,161,299191,488,3029,1312,296162,1464,59204,471,939,513,58265,606,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2701532,1375,1317266,1507,1190789,1537,33073,2870,1157716,3240,126477,843,16358,1729,110119,1936,1384266,1435,1194478,1643,5126,1242,1189352,2014,189788,796,853,375,188935,895,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,548616,3343,285062,3847,274441,3701,14395,1849,260046,3691,10621,1285,3404,1068,7217,1195,263554,2939,246374,2840,3011,811,243363,2809,17180,1744,150,198,17030,1745,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
