GEO_ID,C27002_001E,C27002_001M,C27002_002E,C27002_002M,C27002_003E,C27002_003M,C27002_004E,C27002_004M,C27002_005E,C27002_005M,C27002_006E,C27002_006M,C27002_007E,C27002_007M,C27002_008E,C27002_008M,C27002_009E,C27002_009M,C27002_010E,C27002_010M,C27002_011E,C27002_011M,C27002_012E,C27002_012M,C27002_013E,C27002_013M,C27002_014E,C27002_014M,C27002_015E,C27002_015M,C27002_016E,C27002_016M,C27002_017E,C27002_017M,C27002_018E,C27002_018M,C27002_019E,C27002_019M,C27002_020E,C27002_020M,C27002_021E,C27002_021M,NAME,C27002_001EA,C27002_001MA,C27002_002EA,C27002_002MA,C27002_003MA,C27002_003EA,C27002_004MA,C27002_004EA,C27002_005MA,C27002_005EA,C27002_006EA,C27002_006MA,C27002_007EA,C27002_007MA,C27002_008MA,C27002_008EA,C27002_009MA,C27002_009EA,C27002_010MA,C27002_010EA,C27002_011EA,C27002_011MA,C27002_012EA,C27002_012MA,C27002_013EA,C27002_013MA,C27002_014MA,C27002_014EA,C27002_015MA,C27002_015EA,C27002_016EA,C27002_016MA,C27002_017EA,C27002_017MA,C27002_018EA,C27002_018MA,C27002_019MA,C27002_019EA,C27002_020MA,C27002_020EA,C27002_021EA,C27002_021MA,state
0400000US01,4781070,1376,2299014,5729,564537,3993,315690,7582,248847,7738,1411387,4760,1007539,11237,403848,10806,323090,2063,218083,3713,105007,3503,2482056,5719,542179,4781,296039,7138,246140,6778,1519693,3777,1098763,11557,420930,11247,420184,1772,261954,5125,158230,5238,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713082,1787,367289,2444,95826,1441,56138,2941,39688,2959,236718,2124,166504,4318,70214,3789,34745,726,22844,1521,11901,1381,345793,1921,90091,1323,53072,2688,37019,2803,220361,1423,157311,3207,63050,3215,35341,944,22104,1449,13237,1342,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6719354,1844,3293746,3484,824079,2002,474190,8448,349889,8337,1959748,2694,1301346,12285,658402,12158,509919,1267,293190,5324,216729,5409,3425608,3038,795314,1956,449790,8400,345524,8147,2032326,2198,1369650,14328,662676,14124,597968,1577,333969,5367,263999,5412,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2924307,1290,1426441,4241,363246,3433,170883,6302,192363,6577,856738,2663,575039,7654,281699,8390,206457,1612,125473,3500,80984,3177,1497866,4230,340455,3778,157728,5506,182727,6177,902645,2905,611007,8464,291638,7803,254766,1684,152910,3560,101856,3614,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38649621,4947,19053168,7752,4643120,3854,2554413,21306,2088707,20830,12148870,6721,8235929,31168,3912941,30759,2261178,3359,1201924,11087,1059254,10856,19596453,6021,4460019,3338,2451461,19833,2008558,20620,12302981,4246,8272910,30815,4030071,31019,2833453,3341,1421223,12350,1412230,12722,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5367335,2710,2673619,4748,639469,3086,406526,7613,232943,7654,1715975,4027,1285372,9403,430603,8548,318175,1683,192950,3881,125225,4129,2693716,4738,615331,3057,390443,7305,224888,7519,1700463,4150,1268163,9218,432300,9031,377922,1653,234910,4574,143012,4602,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3537983,1086,1719257,2740,390026,1522,258963,5378,131063,5346,1091394,2190,830032,7937,261362,8308,237837,1275,149755,3687,88082,3388,1818726,2437,371895,1473,250919,5805,120976,5858,1141256,1700,864554,7026,276702,7092,305575,1441,191245,3683,114330,3640,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,931203,797,447682,1407,103850,875,67441,3137,36409,3272,273176,1016,206029,4522,67147,4416,70656,647,48741,1761,21915,1815,483521,1246,99921,829,62484,3169,37437,3038,297506,819,220901,4015,76605,3857,86094,634,57942,1895,28152,1869,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660682,666,311147,1154,59831,613,32867,2226,26964,2137,221903,1297,170960,3612,50943,3646,29413,869,21003,1324,8410,1356,349535,1105,57584,610,28684,2326,28900,2300,247687,722,183586,3689,64101,3702,44264,548,28461,1417,15803,1500,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19960169,3766,9652725,8224,2080662,5282,1057849,16060,1022813,16301,5826380,5787,3915818,26826,1910562,25501,1745683,3300,946894,8990,798789,9449,10307444,7951,2012739,5698,1033578,17006,979161,16171,6161807,5652,4276988,25099,1884819,25266,2132898,3781,1105549,11865,1027349,11953,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
