GEO_ID,B07403_001E,B07403_001M,B07403_002E,B07403_002M,B07403_003E,B07403_003M,B07403_004E,B07403_004M,B07403_005E,B07403_005M,B07403_006E,B07403_006M,B07403_007E,B07403_007M,B07403_008E,B07403_008M,B07403_009E,B07403_009M,B07403_010E,B07403_010M,B07403_011E,B07403_011M,B07403_012E,B07403_012M,B07403_013E,B07403_013M,B07403_014E,B07403_014M,B07403_015E,B07403_015M,NAME,B07403_001EA,B07403_001MA,B07403_002MA,B07403_002EA,B07403_003MA,B07403_003EA,B07403_004MA,B07403_004EA,B07403_005EA,B07403_005MA,B07403_006EA,B07403_006MA,B07403_007EA,B07403_007MA,B07403_008MA,B07403_008EA,B07403_009MA,B07403_009EA,B07403_010EA,B07403_010MA,B07403_011EA,B07403_011MA,B07403_012EA,B07403_012MA,B07403_013MA,B07403_013EA,B07403_014MA,B07403_014EA,B07403_015MA,B07403_015EA,state
0400000US01,4775773,13693,2307912,10420,2467861,8155,4113945,22379,1983636,15023,2130309,12034,410330,17741,193043,10332,217287,9387,150689,9422,80760,5409,69929,5755,100809,7872,50473,4181,50336,4804,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,729230,6958,382753,4334,346477,4209,582909,9527,307069,6037,275840,5019,86474,8425,44483,4685,41991,4868,19295,2193,10593,1237,8702,1509,40552,5584,20608,3177,19944,3106,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6631474,16409,3289895,10009,3341579,9778,5536087,26178,2729171,15099,2806916,15140,798972,24968,399070,13990,399902,14035,111939,7650,64519,4745,47420,4079,184476,10448,97135,6047,87341,6002,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2924384,10256,1432844,7064,1491540,7526,2440359,17443,1198768,10864,1241591,9433,292271,16473,138258,8357,154013,9590,115081,8813,58522,5189,56559,4684,76673,5961,37296,3360,39377,3778,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38467701,30330,19096282,17357,19371419,19429,33446324,47467,16550551,31478,16895773,23239,3314066,42939,1650723,26347,1663343,22789,1063601,25940,564373,15234,499228,16025,643710,19315,330635,11095,313075,11198,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5315080,16545,2669961,10041,2645119,9612,4404058,21899,2191921,13518,2212137,12425,464316,16451,240283,10071,224033,9106,263761,11832,142279,7628,121482,6922,182945,10538,95478,6182,87467,5796,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3553049,10133,1731973,6201,1821076,5889,3109580,17815,1509759,9482,1599821,10625,262279,13041,129786,7173,132493,8226,77847,8338,40164,4251,37683,4911,103343,7858,52264,4490,51079,4534,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,917591,7172,446458,3751,471133,4493,800701,9561,389776,5001,410925,5850,73579,6942,35060,3941,38519,3992,12430,2521,5741,1077,6689,1910,30881,3868,15881,2435,15000,2378,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,656948,8472,317695,4615,339253,5687,525024,7553,248569,4563,276455,4610,67188,5688,35540,3418,31648,3363,0,189,0,189,0,189,64736,6061,33586,3309,31150,3497,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19716522,31132,9613513,20316,10103009,18102,16832374,48927,8164528,28829,8667846,27380,1806706,41989,888268,23754,918438,22821,632122,20497,333274,12106,298848,11806,445320,18347,227443,10771,217877,9625,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9997998,22463,4866047,13878,5131951,15371,8489689,34028,4111995,20927,4377694,19509,782139,28132,377436,15946,404703,16121,476868,15082,247770,9435,229098,8807,249302,12286,128846,6979,120456,7868,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
