GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,NAME,C02003_001MA,C02003_001EA,C02003_002MA,C02003_002EA,C02003_003MA,C02003_003EA,C02003_004EA,C02003_004MA,C02003_005EA,C02003_005MA,C02003_006EA,C02003_006MA,C02003_007MA,C02003_007EA,C02003_008MA,C02003_008EA,C02003_009MA,C02003_009EA,C02003_010EA,C02003_010MA,C02003_011EA,C02003_011MA,C02003_012MA,C02003_012EA,C02003_013MA,C02003_013EA,C02003_014MA,C02003_014EA,C02003_015EA,C02003_015MA,C02003_016EA,C02003_016MA,C02003_017EA,C02003_017MA,C02003_018MA,C02003_018EA,C02003_019MA,C02003_019EA,state
0400000US01,4858979,-555555555,4771660,6593,3329913,5703,1303298,5731,20503,2947,59393,2341,4448,2823,54105,6092,87319,6593,6354,1637,80965,6196,81369,6306,26487,3717,28321,2572,13276,2400,3193,1350,10092,2398,5486,1572,464,420,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,738432,-555555555,675147,4721,481314,3176,26176,1808,101133,3272,47295,2541,6762,1818,12467,3116,63285,4721,3171,1450,60114,4492,59512,4301,6450,1718,34838,2758,8043,2161,1946,861,8235,2317,3609,1080,164,196,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6828065,-555555555,6605619,10813,5285994,24068,300685,6487,308469,7402,217556,5352,11284,1274,481631,21623,222446,10813,45251,4852,177195,10284,207530,10451,49829,5388,48119,5273,44757,4612,4804,1097,60021,4757,12883,2247,2033,955,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2978204,-555555555,2913984,5652,2308047,6642,469555,5093,20797,2908,42404,2472,7639,907,65542,6352,64220,5652,6149,1913,58071,5445,61951,5290,20015,3108,25870,3528,7429,1715,837,383,7800,1983,2013,884,256,449,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39144818,-555555555,37391047,30465,23824254,64923,2277229,14769,282777,13225,5548936,20371,157554,6508,5300297,63956,1753771,30465,375682,14299,1378089,26810,1598073,28946,238914,10987,280388,12204,513885,15460,37869,6622,527017,17414,144749,8955,10949,1927,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5456574,-555555555,5263243,9623,4607390,13594,224809,6222,49138,4089,162880,5083,9136,1514,209890,13025,193331,9623,30981,3713,162350,8271,178780,9138,40681,4816,45952,3577,45940,3976,2946,946,43261,4781,13460,2315,1091,525,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3590886,-555555555,3474282,7769,2747943,12766,380571,6628,8893,1859,156249,2710,519,229,180107,12856,116604,7769,28025,4047,88579,6347,104952,7262,30375,3956,14682,2467,22228,2626,4800,1598,32867,4775,11025,2367,627,580,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,945934,-555555555,917493,3973,654904,4740,203863,3106,3121,1020,36114,1597,334,285,19157,3844,28441,3973,3500,1309,24941,3875,26348,3846,13733,2868,2962,695,3201,1228,1743,1136,4709,1492,2093,841,0,190,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,672228,-555555555,650851,2579,269143,3524,318831,2822,1661,1142,25944,1021,475,358,34797,4077,21377,2579,3583,1304,17794,2019,19163,2356,4912,1351,1405,479,6474,1006,1560,802,4812,1508,2214,742,0,200,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20271272,-555555555,19769416,20371,15357374,27705,3280778,15532,47032,5060,544068,8941,11898,2694,528266,22821,501856,20371,87649,9010,414207,18395,465608,18930,161212,10908,75338,5070,93120,7723,12040,2636,123898,11240,33903,5074,2345,1184,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
