GEO_ID,B21001H_001E,B21001H_001M,B21001H_002E,B21001H_002M,B21001H_003E,B21001H_003M,B21001H_004E,B21001H_004M,B21001H_005E,B21001H_005M,B21001H_006E,B21001H_006M,B21001H_007E,B21001H_007M,B21001H_008E,B21001H_008M,B21001H_009E,B21001H_009M,B21001H_010E,B21001H_010M,B21001H_011E,B21001H_011M,B21001H_012E,B21001H_012M,B21001H_013E,B21001H_013M,B21001H_014E,B21001H_014M,B21001H_015E,B21001H_015M,B21001H_016E,B21001H_016M,B21001H_017E,B21001H_017M,B21001H_018E,B21001H_018M,B21001H_019E,B21001H_019M,B21001H_020E,B21001H_020M,B21001H_021E,B21001H_021M,B21001H_022E,B21001H_022M,B21001H_023E,B21001H_023M,B21001H_024E,B21001H_024M,B21001H_025E,B21001H_025M,B21001H_026E,B21001H_026M,B21001H_027E,B21001H_027M,B21001H_028E,B21001H_028M,B21001H_029E,B21001H_029M,B21001H_030E,B21001H_030M,B21001H_031E,B21001H_031M,B21001H_032E,B21001H_032M,B21001H_033E,B21001H_033M,NAME,B21001H_001EA,B21001H_001MA,B21001H_002MA,B21001H_002EA,B21001H_003EA,B21001H_003MA,B21001H_004EA,B21001H_004MA,B21001H_005MA,B21001H_005EA,B21001H_006EA,B21001H_006MA,B21001H_007MA,B21001H_007EA,B21001H_008EA,B21001H_008MA,B21001H_009MA,B21001H_009EA,B21001H_010EA,B21001H_010MA,B21001H_011MA,B21001H_011EA,B21001H_012EA,B21001H_012MA,B21001H_013MA,B21001H_013EA,B21001H_014MA,B21001H_014EA,B21001H_015EA,B21001H_015MA,B21001H_016MA,B21001H_016EA,B21001H_017EA,B21001H_017MA,B21001H_018MA,B21001H_018EA,B21001H_019EA,B21001H_019MA,B21001H_020MA,B21001H_020EA,B21001H_021EA,B21001H_021MA,B21001H_022MA,B21001H_022EA,B21001H_023EA,B21001H_023MA,B21001H_024MA,B21001H_024EA,B21001H_025MA,B21001H_025EA,B21001H_026EA,B21001H_026MA,B21001H_027MA,B21001H_027EA,B21001H_028EA,B21001H_028MA,B21001H_029EA,B21001H_029MA,B21001H_030MA,B21001H_030EA,B21001H_031MA,B21001H_031EA,B21001H_032MA,B21001H_032EA,B21001H_033EA,B21001H_033MA,state
0400000US01,2553350,1619,1230026,1469,331837,1643,14496,1973,317341,2292,412705,1302,46241,3425,366464,3474,220112,394,39502,3031,180610,3045,164491,625,69507,2774,94984,2829,100881,522,58193,2230,42688,2151,1323324,584,332464,821,2423,933,330041,1302,421170,938,6675,1288,414495,1573,233916,73,3951,935,229965,945,185812,224,1827,581,183985,587,149962,222,2534,824,147428,833,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,347995,1764,183388,1543,56600,1504,5883,1254,50717,1702,62468,404,12915,1712,49553,1748,36317,113,9165,1235,27152,1255,20018,158,10955,872,9063,882,7985,158,5194,639,2791,630,164607,613,49552,649,1259,612,48293,835,56372,283,2191,575,54181,630,32416,80,1454,655,30962,655,17127,142,496,301,16631,333,9140,113,183,138,8957,165,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3141012,2188,1535740,1727,372168,1498,22055,2568,350113,2835,468054,1111,66220,4023,401834,4274,273703,154,55620,2758,218083,2770,246748,575,108866,3101,137882,3111,175067,361,108771,3362,66296,3352,1605272,1136,356526,790,2920,886,353606,1207,464117,992,9653,1667,454464,1810,300835,236,7941,1217,292894,1259,271983,463,4718,822,267265,834,211811,262,4668,729,207143,759,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1723237,1351,835141,865,228487,1447,11248,1849,217239,2348,276899,1235,32638,2858,244261,2955,144363,221,27841,2152,116522,2130,112071,162,47086,2519,64985,2507,73321,103,42082,1855,31239,1855,888096,777,227002,1004,2101,740,224901,1300,278069,1026,5807,1134,272262,1596,154182,194,2484,617,151698,702,126129,91,1285,440,124844,453,102714,219,1021,365,101693,390,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12369642,6722,6117735,4541,1587962,3917,64333,4824,1523629,5549,1994628,2172,168726,6029,1825902,6046,1162551,954,156364,5998,1006187,6180,816204,624,307221,6798,508983,6779,556390,352,312203,5781,244187,5776,6251907,3665,1493943,2603,11777,1851,1482166,3172,1913061,1655,23567,2314,1889494,2665,1181564,767,14647,1511,1166917,1833,890698,577,9006,1472,881692,1605,772641,360,13453,1816,759188,1858,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3010304,3446,1491456,2852,441645,2173,25860,2614,415785,3174,508812,1580,64047,3063,444765,3123,268522,516,48945,3293,219577,3351,174855,265,75790,2940,99065,2945,97622,228,61445,2006,36177,2032,1518848,1356,414486,1166,5969,1067,408517,1531,499962,840,11894,1853,488068,1984,280598,245,5072,925,275526,965,188346,540,2742,777,185604,931,135456,473,2099,595,133357,754,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2001178,2343,960271,1742,235372,1475,5204,1235,230168,1894,321373,710,21286,2405,300087,2544,194011,321,21015,2115,172996,2169,123408,99,43236,2389,80172,2384,86107,167,51113,1856,34994,1862,1040907,1344,231066,957,829,482,230237,1043,333507,485,2436,706,331071,939,203547,122,1502,453,202045,487,138673,279,1126,472,137547,532,134114,140,1640,625,132474,669,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,491102,1221,234277,817,59169,717,2362,754,56807,955,72254,415,6278,1102,65976,1205,44682,29,7537,1266,37145,1269,35636,190,16444,1112,19192,1112,22536,39,13371,1004,9165,1002,256825,707,60167,619,329,239,59838,643,76270,122,1003,571,75267,593,49372,293,729,347,48643,435,40130,190,614,595,39516,595,30886,35,412,273,30474,269,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,213744,1078,105780,742,49026,626,752,486,48274,554,34466,319,1878,610,32588,724,10379,60,791,362,9588,365,7456,200,1659,547,5797,547,4453,200,2387,483,2066,483,107964,782,55691,773,436,315,55255,833,29163,161,316,201,28847,283,9540,200,335,251,9205,251,8064,200,220,177,7844,177,5506,200,83,173,5423,173,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9370989,5406,4541009,4022,1015924,3632,52159,4168,963765,5543,1337342,2558,170476,6597,1166866,6587,829234,784,164616,5900,664618,5925,763063,681,328339,5751,434724,5819,595446,485,359081,5559,236365,5616,4829980,3443,993717,1900,11450,1913,982267,2833,1342797,1603,28463,2864,1314334,3220,901862,840,19330,2028,882532,2217,843578,1721,10058,1315,833520,2033,748026,724,12998,1809,735028,1957,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
