GEO_ID,B17004_001E,B17004_001M,B17004_002E,B17004_002M,B17004_003E,B17004_003M,B17004_004E,B17004_004M,B17004_005E,B17004_005M,B17004_006E,B17004_006M,B17004_007E,B17004_007M,B17004_008E,B17004_008M,B17004_009E,B17004_009M,B17004_010E,B17004_010M,B17004_011E,B17004_011M,B17004_012E,B17004_012M,B17004_013E,B17004_013M,B17004_014E,B17004_014M,B17004_015E,B17004_015M,B17004_016E,B17004_016M,B17004_017E,B17004_017M,B17004_018E,B17004_018M,B17004_019E,B17004_019M,NAME,B17004_001EA,B17004_001MA,B17004_002EA,B17004_002MA,B17004_003MA,B17004_003EA,B17004_004MA,B17004_004EA,B17004_005MA,B17004_005EA,B17004_006MA,B17004_006EA,B17004_007EA,B17004_007MA,B17004_008EA,B17004_008MA,B17004_009EA,B17004_009MA,B17004_010EA,B17004_010MA,B17004_011MA,B17004_011EA,B17004_012MA,B17004_012EA,B17004_013EA,B17004_013MA,B17004_014MA,B17004_014EA,B17004_015EA,B17004_015MA,B17004_016EA,B17004_016MA,B17004_017MA,B17004_017EA,B17004_018MA,B17004_018EA,B17004_019MA,B17004_019EA,state
0400000US01,3769608,4673,613855,16120,248498,8189,27227,2971,69367,4394,151904,6530,365357,10063,30515,3070,98931,5991,235911,8146,3155753,16417,1539705,8747,809769,10113,260610,8482,469326,8032,1616048,11209,610003,11103,333721,10182,672324,11732,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,556829,1425,49203,3547,22889,2258,1706,556,10476,1413,10707,1816,26314,2236,2144,649,12155,1752,12015,1324,507626,3791,267407,2659,137859,3293,82858,4002,46690,2924,240219,2380,96364,3500,75416,3150,68439,2889,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5260981,3928,804030,19633,354575,11648,50198,4630,111820,6104,192557,9463,449455,11762,36910,2841,126124,5094,286421,9571,4456951,19648,2203614,12366,1133639,13041,417188,9027,652787,8409,2253337,11648,842369,11865,513367,11472,897601,10173,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2276901,3327,379798,11656,159329,6208,19726,2432,48211,3544,91392,5019,220469,8583,17205,2504,67161,4142,136103,6835,1897103,11627,935220,6646,497191,7787,168014,5597,270015,6199,961883,9222,383050,8207,196508,5942,382325,6978,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30444018,10097,4196083,48131,1848556,25316,254953,8495,585760,14390,1007843,19688,2347527,29524,149692,7500,683226,13172,1514609,20738,26247935,48896,13061855,27109,6992378,33501,2786564,28884,3282913,22202,13186080,30119,4880967,29287,3356014,25499,4949099,27378,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4231870,3366,448930,13857,201934,8125,24958,2555,83647,5335,93329,5566,246996,9071,20472,2913,92729,5122,133795,6826,3782940,14160,1900131,9308,1119433,11316,406376,8253,374322,7087,1882809,10057,776364,10739,525575,10719,580870,9196,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2822745,2831,268752,11099,113173,6108,6696,1475,36399,3591,70078,4255,155579,7388,6259,1353,51500,4312,97820,5897,2553993,11497,1246010,6361,688519,8678,269446,8067,288045,7271,1307983,7244,522801,8105,362085,8042,423097,7863,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,742025,1687,78652,6070,31229,3337,2814,929,10658,1860,17757,2386,47423,4166,3425,1058,16025,2265,27973,2978,663373,6311,321567,3815,167364,4635,64450,3881,89753,3141,341806,4097,143155,4594,78349,3422,120302,3495,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,531380,1235,83501,5987,36543,3701,2349,977,12737,2488,21457,2704,46958,3924,2346,882,14895,2503,29717,3145,447879,6267,212575,4040,136303,3785,38687,3240,37585,3113,235304,3826,129701,3908,50819,3200,54784,2796,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16282585,7905,2279177,33392,965604,21333,107782,6616,273648,10059,584174,16659,1313573,19682,101998,6047,367154,9789,844421,16040,14003408,32929,6834969,23744,3424545,26210,1270461,17812,2139963,20599,7168439,20809,2745719,21917,1514541,21992,2908179,20536,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
