GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001MA,C27001I_001EA,C27001I_002MA,C27001I_002EA,C27001I_003MA,C27001I_003EA,C27001I_004MA,C27001I_004EA,C27001I_005MA,C27001I_005EA,C27001I_006MA,C27001I_006EA,C27001I_007MA,C27001I_007EA,C27001I_008MA,C27001I_008EA,C27001I_009MA,C27001I_009EA,C27001I_010MA,C27001I_010EA,state
0400000US01,190034,2214,76335,2703,69250,2893,7085,1691,108231,3149,58430,5103,49801,4144,5468,1280,5056,1257,412,396,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48443,779,17134,434,15502,673,1632,734,29429,1130,23420,1610,6009,1768,1880,593,1880,593,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2060468,2688,703899,240,629528,6909,74371,6911,1223233,2758,920360,11685,302873,11595,133336,814,128744,1723,4592,1465,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,206010,2032,81603,1540,73136,2229,8467,1795,117109,1633,73199,4207,43910,3989,7298,1301,5948,1238,1350,777,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15026275,4659,4729604,650,4532899,10679,196705,10699,9311809,4325,7420606,24711,1891203,24855,984862,2122,949123,4214,35739,4019,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1145184,1987,392101,510,368528,3802,23573,3816,682001,2489,513306,7550,168695,7589,71082,1479,68816,1607,2266,1064,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,546603,959,174019,163,165428,2784,8591,2764,343285,1141,269801,6678,73484,6461,29299,798,28690,907,609,427,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,84636,225,30332,91,28331,1158,2001,1161,50248,531,38489,2151,11759,2095,4056,489,3694,566,362,432,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,70193,577,17571,15,16581,834,990,833,49207,913,41852,2258,7355,1947,3415,703,3025,503,390,611,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4912937,3670,1222238,1026,1118139,7817,104099,7762,3128905,3982,2253399,21394,875506,21577,561794,3146,538867,4494,22927,3068,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
