GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001MA,C01001D_001EA,C01001D_002MA,C01001D_002EA,C01001D_003EA,C01001D_003MA,C01001D_004EA,C01001D_004MA,C01001D_005EA,C01001D_005MA,C01001D_006MA,C01001D_006EA,C01001D_007MA,C01001D_007EA,C01001D_008MA,C01001D_008EA,C01001D_009EA,C01001D_009MA,state
0400000US01,59393,2341,27880,1768,6815,1136,18596,1330,2469,662,31513,1975,6724,1101,22037,1447,2752,539,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47295,2541,22741,1382,6496,1041,14832,870,1413,240,24554,1522,5323,849,17209,985,2022,280,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,217556,5352,100680,3165,20575,1949,71203,2016,8902,804,116876,3227,23253,1659,79278,2367,14345,783,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42404,2472,21428,1540,4834,900,14741,1286,1853,511,20976,1811,4413,1070,15011,1356,1552,546,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5548936,20371,2625314,12117,526728,6275,1762386,7784,336200,2081,2923622,11550,496687,6408,1974642,7795,452293,2355,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,162880,5083,74545,3042,17371,1903,51148,2043,6026,640,88335,3209,19020,1899,60602,2171,8713,508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156249,2710,75630,1967,17349,1107,52681,1438,5600,361,80619,2075,16536,1074,57521,1548,6562,393,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36114,1597,16970,1069,3479,533,11749,895,1742,300,19144,1000,4332,614,12643,587,2169,210,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25944,1021,10694,844,1418,491,8654,775,622,58,15250,700,971,328,13200,662,1079,137,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,544068,8941,247716,5840,52342,3112,167864,3885,27510,1591,296352,5772,54738,3365,202008,4017,39606,1839,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,388457,5862,186221,4359,44122,2361,128517,2815,13582,771,202236,3563,45562,2440,140043,2575,16631,973,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,531268,10112,247461,5388,38477,2808,154991,4320,53993,1098,283807,5728,38112,2767,169191,3756,76504,1297,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21145,2248,7628,1168,1127,550,5588,986,913,427,13517,1835,2194,1036,10213,1291,1110,408,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,674236,6487,324572,4768,70447,2817,220513,3085,33612,840,349664,3162,66111,2115,242441,2138,41112,1178,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,138664,4048,68438,2840,17495,2015,47027,2108,3916,722,70226,2482,15952,1737,49778,1850,4496,977,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,68505,3291,34329,2197,9448,1066,23894,1782,987,406,34176,1932,7740,1183,24582,1469,1854,596,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,84221,2647,40931,1612,9883,1154,28571,1128,2477,411,43290,1901,10650,1348,28646,1242,3994,765,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,59626,2828,26698,1822,6230,873,18388,1515,2080,426,32928,2066,8088,1154,20975,1408,3865,1097,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,81039,1904,39308,1824,8532,1152,28233,1587,2543,550,41731,1594,8970,1097,28251,1146,4510,783,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13291,1358,4626,795,650,424,3508,599,468,299,8665,1282,1735,856,6100,807,830,396,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,385167,4604,185161,2746,43692,1789,121744,1803,19725,660,200006,2827,37785,1733,138189,1883,24032,696,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,430739,4536,205542,3047,44311,1948,145573,1763,15658,630,225197,2786,43022,1929,162954,1921,19221,684,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,293157,3884,142367,2732,34501,1703,97105,2009,10761,553,150790,2331,34010,1507,103541,1925,13239,794,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,258839,4929,126000,3373,36967,1944,82141,2427,6892,631,132839,3192,36514,1910,87780,1954,8545,591,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
