GEO_ID,B27001I_001E,B27001I_001M,B27001I_002E,B27001I_002M,B27001I_003E,B27001I_003M,B27001I_004E,B27001I_004M,B27001I_005E,B27001I_005M,B27001I_006E,B27001I_006M,B27001I_007E,B27001I_007M,B27001I_008E,B27001I_008M,B27001I_009E,B27001I_009M,B27001I_010E,B27001I_010M,B27001I_011E,B27001I_011M,B27001I_012E,B27001I_012M,B27001I_013E,B27001I_013M,B27001I_014E,B27001I_014M,B27001I_015E,B27001I_015M,B27001I_016E,B27001I_016M,B27001I_017E,B27001I_017M,B27001I_018E,B27001I_018M,B27001I_019E,B27001I_019M,B27001I_020E,B27001I_020M,B27001I_021E,B27001I_021M,B27001I_022E,B27001I_022M,B27001I_023E,B27001I_023M,B27001I_024E,B27001I_024M,B27001I_025E,B27001I_025M,B27001I_026E,B27001I_026M,B27001I_027E,B27001I_027M,B27001I_028E,B27001I_028M,NAME,B27001I_001MA,B27001I_001EA,B27001I_002EA,B27001I_002MA,B27001I_003MA,B27001I_003EA,B27001I_004EA,B27001I_004MA,B27001I_005MA,B27001I_005EA,B27001I_006MA,B27001I_006EA,B27001I_007EA,B27001I_007MA,B27001I_008MA,B27001I_008EA,B27001I_009EA,B27001I_009MA,B27001I_010MA,B27001I_010EA,B27001I_011MA,B27001I_011EA,B27001I_012MA,B27001I_012EA,B27001I_013EA,B27001I_013MA,B27001I_014MA,B27001I_014EA,B27001I_015MA,B27001I_015EA,B27001I_016MA,B27001I_016EA,B27001I_017MA,B27001I_017EA,B27001I_018EA,B27001I_018MA,B27001I_019MA,B27001I_019EA,B27001I_020EA,B27001I_020MA,B27001I_021MA,B27001I_021EA,B27001I_022MA,B27001I_022EA,B27001I_023MA,B27001I_023EA,B27001I_024EA,B27001I_024MA,B27001I_025EA,B27001I_025MA,B27001I_026MA,B27001I_026EA,B27001I_027MA,B27001I_027EA,B27001I_028MA,B27001I_028EA,state
0400000US01,190034,2214,27825,2484,26533,2433,1292,641,48510,2461,42717,2546,5793,1386,19375,2828,12288,2335,7087,1806,32692,3145,13548,2223,19144,2703,30034,2815,15471,2660,14563,2264,15314,2489,9668,2011,5646,1432,10816,1902,7455,1347,3361,1791,3415,1011,3003,1011,412,396,2053,720,2053,720,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48443,779,5995,686,5774,692,221,189,11139,735,9728,901,1411,695,6564,906,4753,619,1811,896,9049,1291,7426,914,1623,1082,6753,1238,5789,1193,964,548,3905,905,3135,797,770,504,3158,597,2317,592,841,393,1657,570,1657,570,0,149,223,232,223,232,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2060468,2688,221958,2919,205385,3726,16573,2627,481941,2891,424143,6127,57798,5599,263132,1957,192222,4903,70910,4607,305340,2419,227343,5687,77997,4968,278870,2202,202733,4631,76137,4838,224323,1876,171299,4732,53024,4609,151568,890,126763,2416,24805,2342,83072,1164,80250,1793,2822,1224,50264,1081,48494,1552,1770,894,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,206010,2032,26240,1630,24083,1901,2157,785,55363,2135,49053,2660,6310,1648,26362,2057,18567,2115,7795,1657,32737,2312,16990,2007,15747,1998,27372,1693,15510,1859,11862,2014,20774,1850,14673,1810,6101,1240,9864,1244,7459,1206,2405,795,5539,1331,4189,1140,1350,777,1759,741,1759,741,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15026275,4659,1567554,7837,1526415,8313,41139,3828,3162050,7918,3006484,11828,155566,9093,1839376,3123,1509595,10143,329781,9960,2368525,3270,1810922,12368,557603,12814,2124842,2743,1624608,12825,500234,12460,1793441,2253,1447437,8995,346004,8888,1185625,1851,1028044,5928,157581,6102,595032,1847,568075,3466,26957,3425,389830,2095,381048,2530,8782,1623,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1145184,1987,124726,2632,119345,2838,5381,1673,267375,2739,249183,3946,18192,2845,135150,2268,109274,3612,25876,3148,179734,2506,123523,3967,56211,3549,162140,2129,113513,3999,48627,3874,122799,1729,94898,2752,27901,2696,82178,1497,72098,1824,10080,1551,45280,1342,43408,1403,1872,976,25802,1219,25408,1271,394,317,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,546603,959,55997,1595,53559,1946,2438,1271,118022,1622,111869,2391,6153,1764,67261,1386,55032,2894,12229,2476,89570,1820,65532,3595,24038,3140,82766,1682,63217,3328,19549,2946,64053,1378,51575,2761,12478,2504,39635,704,34445,1474,5190,1196,19014,720,18493,857,521,417,10285,540,10197,567,88,110,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,84636,225,10444,590,9870,968,574,784,19888,577,18461,1055,1427,897,10090,821,8965,1062,1125,652,14121,965,9200,1274,4921,1343,13106,839,9929,1006,3177,1140,8413,911,6865,1054,1548,735,4518,490,3530,627,988,622,2838,618,2760,651,78,130,1218,609,934,488,284,353,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,70193,577,7818,337,7768,316,50,82,9753,337,8813,894,940,827,7567,526,6482,767,1085,666,16770,210,13422,1244,3348,1249,11820,180,10396,714,1424,749,7638,143,6493,791,1145,809,5412,698,5059,759,353,332,2170,851,1780,609,390,611,1245,521,1245,521,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4912937,3670,407965,4818,386885,5392,21080,2437,814273,5055,731254,7488,83019,6751,495326,4376,349844,7226,145482,7434,724759,5093,472567,11303,252192,9948,745952,3932,528120,9789,217832,9912,688623,3811,524326,9091,164297,8263,474245,2510,378542,4951,95703,4979,314857,2877,297464,4013,17393,2771,246937,2595,241403,3090,5534,1256,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
