GEO_ID,C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,NAME,C21001D_001EA,C21001D_001MA,C21001D_002EA,C21001D_002MA,C21001D_003EA,C21001D_003MA,C21001D_004EA,C21001D_004MA,C21001D_005EA,C21001D_005MA,C21001D_006EA,C21001D_006MA,C21001D_007MA,C21001D_007EA,C21001D_008EA,C21001D_008MA,C21001D_009EA,C21001D_009MA,C21001D_010EA,C21001D_010MA,C21001D_011MA,C21001D_011EA,C21001D_012MA,C21001D_012EA,C21001D_013EA,C21001D_013MA,C21001D_014EA,C21001D_014MA,C21001D_015EA,C21001D_015MA,state
0400000US01,45854,1744,21065,1400,18596,1330,977,492,17619,1418,2469,662,179,158,2290,681,24789,1406,22037,1447,86,108,21951,1440,2752,539,0,192,2752,539,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34779,1413,15704,868,14291,843,1091,533,13200,954,1413,240,101,117,1312,247,19075,968,17053,994,344,336,16709,1030,2022,280,0,149,2022,280,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172748,3682,79179,2231,70277,2043,3861,1266,66416,2086,8902,804,1242,515,7660,806,93569,2316,79224,2356,656,382,78568,2381,14345,783,0,201,14345,783,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32972,1912,16409,1256,14556,1342,272,262,14284,1333,1853,511,126,194,1727,511,16563,1431,15011,1356,100,167,14911,1316,1552,546,0,190,1552,546,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4519605,13356,2093879,8250,1757679,7739,52182,3148,1705497,8495,336200,2081,43273,3014,292927,3284,2425726,7948,1973433,7731,7650,1395,1965783,7741,452293,2355,1496,593,450797,2315,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,125590,3211,56513,1917,50487,2014,2004,557,48483,2067,6026,640,1210,546,4816,671,69077,2223,60364,2239,634,374,59730,2208,8713,508,0,193,8713,508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,122303,1917,58220,1442,52620,1442,300,211,52320,1447,5600,361,350,303,5250,443,64083,1641,57521,1548,113,146,57408,1548,6562,393,0,198,6562,393,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28290,1098,13478,884,11736,892,171,163,11565,908,1742,300,248,212,1494,406,14812,584,12643,587,0,190,12643,587,2169,210,0,190,2169,210,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,23512,921,9276,770,8654,775,362,323,8292,821,622,58,0,200,622,58,14236,639,13157,668,0,200,13157,668,1079,137,0,200,1079,137,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,436267,6561,194893,4207,167383,3916,7102,1572,160281,3923,27510,1591,3354,818,24156,1605,241374,4167,201768,4041,1421,603,200347,4019,39606,1839,445,394,39161,1843,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,297728,4061,141136,2901,127554,2814,3381,1060,124173,2919,13582,771,1062,485,12520,773,156592,2440,139961,2583,930,651,139031,2537,16631,973,0,214,16631,973,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,452730,7394,207326,4620,153333,4333,9461,1353,143872,4379,53993,1098,21855,1409,32138,1518,245404,4145,168900,3744,872,446,168028,3694,76504,1297,133,133,76371,1295,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
