GEO_ID,B10051A_001E,B10051A_001M,B10051A_002E,B10051A_002M,B10051A_003E,B10051A_003M,B10051A_004E,B10051A_004M,B10051A_005E,B10051A_005M,B10051A_006E,B10051A_006M,B10051A_007E,B10051A_007M,NAME,B10051A_001MA,B10051A_001EA,B10051A_002MA,B10051A_002EA,B10051A_003MA,B10051A_003EA,B10051A_004EA,B10051A_004MA,B10051A_005MA,B10051A_005EA,B10051A_006MA,B10051A_006EA,B10051A_007MA,B10051A_007EA,state
0400000US25,86414,5862,25786,2904,15138,2485,10648,1643,60628,4793,19803,2770,40825,4122,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,118935,6099,44925,4037,28199,3290,16726,2050,74010,4624,33282,2957,40728,3387,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,49725,3123,16655,1969,10258,1904,6397,923,33070,2676,17045,2275,16025,1702,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,43732,4171,24633,3533,15480,2895,9153,1842,19099,2412,8574,1616,10525,1856,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,86838,6122,39272,3574,22373,2837,16899,2311,47566,3903,24621,2983,22945,2398,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,11527,1574,3827,969,2229,785,1598,652,7700,1274,3928,1065,3772,950,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,20774,1898,6967,1126,4376,961,2591,692,13807,1601,6318,1409,7489,1436,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,43548,4411,15438,2467,10123,2323,5315,1083,28110,3468,12216,2177,15894,3046,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19882,2857,6516,1656,3789,1019,2727,1106,13366,2056,5128,1418,8238,1760,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,105615,5917,27062,3251,13939,2316,13123,2032,78553,5091,27385,3351,51168,3777,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,30319,3127,14596,2126,7731,1472,6865,1482,15723,2299,7386,1516,8337,1609,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,194738,7488,53248,4354,29677,2746,23571,2783,141490,6252,51519,4227,89971,5194,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,114092,6778,49630,4275,27666,3038,21964,3274,64462,4971,29722,3421,34740,3162,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4433,1472,1493,605,677,317,816,493,2940,1223,1546,766,1394,877,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,169727,7207,71383,4424,43802,3970,27581,2567,98344,4902,51218,4103,47126,3503,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,62024,3586,32578,1982,19360,1754,13218,1337,29446,2731,13425,1701,16021,1930,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,56998,4243,20837,2912,11223,2101,9614,1619,36161,3340,15771,2516,20390,2496,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,175967,7694,65913,4551,41290,3621,24623,2397,110054,6456,46698,3890,63356,4747,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,14700,2305,4152,1203,2212,843,1940,717,10548,1921,3726,1235,6822,1703,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,65744,5598,31618,3481,20191,2798,11427,1670,34126,3685,15024,2383,19102,2631,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,7154,1473,3461,1015,1701,703,1760,698,3693,988,1976,817,1717,759,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,117203,7140,59889,4509,33363,3313,26526,3066,57314,4698,29713,3389,27601,2861,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,566262,14687,229121,10676,152462,8731,76659,5281,337141,10791,168543,8432,168598,6803,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,56169,4146,14515,1937,7306,1463,7209,1281,41654,3545,20165,2841,21489,2366,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,7366,1256,2649,739,1609,619,1040,454,4717,967,2061,635,2656,726,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,108396,6733,40223,3486,24375,2738,15848,2181,68173,5361,28792,3475,39381,3697,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,91956,6117,32001,3352,17357,2394,14644,2200,59955,4823,27594,3304,32361,3238,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,40827,3655,22047,2665,15045,2226,7002,1601,18780,2242,8366,1592,10414,1726,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,54144,4012,18456,2406,12301,2014,6155,1153,35688,3123,18076,2220,17612,1899,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,7338,1707,4208,1387,2639,1148,1569,863,3130,1046,1772,927,1358,507,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,62008,4304,29106,3189,15771,2314,13335,2069,32902,3262,12996,2115,19906,2264,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
