GEO_ID,B13015_001E,B13015_001M,B13015_002E,B13015_002M,B13015_003E,B13015_003M,B13015_004E,B13015_004M,B13015_005E,B13015_005M,B13015_006E,B13015_006M,B13015_007E,B13015_007M,B13015_008E,B13015_008M,B13015_009E,B13015_009M,B13015_010E,B13015_010M,B13015_011E,B13015_011M,B13015_012E,B13015_012M,B13015_013E,B13015_013M,B13015_014E,B13015_014M,B13015_015E,B13015_015M,NAME,B13015_001EA,B13015_001MA,B13015_002EA,B13015_002MA,B13015_003MA,B13015_003EA,B13015_004EA,B13015_004MA,B13015_005MA,B13015_005EA,B13015_006MA,B13015_006EA,B13015_007EA,B13015_007MA,B13015_008EA,B13015_008MA,B13015_009EA,B13015_009MA,B13015_010EA,B13015_010MA,B13015_011EA,B13015_011MA,B13015_012EA,B13015_012MA,B13015_013EA,B13015_013MA,B13015_014EA,B13015_014MA,B13015_015EA,B13015_015MA,state
0400000US01,1158297,4650,59374,4335,33227,2784,1228,612,31999,2743,26147,3099,2412,841,23735,3079,1098923,5812,465780,7926,5415,1226,460365,7990,633143,9151,12534,2112,620609,9046,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173560,1820,11144,1545,7602,1298,334,261,7268,1275,3542,929,311,226,3231,897,162416,2382,72329,2957,1252,458,71077,3002,90087,3302,4569,1209,85518,3275,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1575353,3411,85798,4845,53783,3708,761,334,53022,3734,32015,3535,2610,880,29405,3306,1489555,6208,601218,9695,10118,1864,591100,9816,888337,9356,17169,2207,871168,9105,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686648,3987,41817,3941,25765,2660,202,175,25563,2632,16052,2690,1134,716,14918,2662,644831,5500,305130,7050,3698,1004,301432,7086,339701,8189,7281,1252,332420,8140,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9677065,8920,478813,12151,316729,8660,15764,2018,300965,8508,162084,7694,26405,2888,135679,6950,9198252,15412,3854341,21437,89805,4928,3764536,21446,5343911,20932,198380,7638,5145531,19313,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1318722,3956,65555,4672,48776,3641,405,254,48371,3658,16779,2280,1966,708,14813,2194,1253167,6428,576669,9175,5050,1142,571619,9094,676498,8959,11648,1840,664850,8570,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,843839,2928,34705,3375,22771,2328,539,366,22232,2274,11934,2014,1924,740,10010,1913,809134,4436,322514,7110,4939,1048,317575,6933,486620,7769,18561,2595,468059,8173,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219252,1579,9736,1627,6553,1152,67,80,6486,1156,3183,1021,286,222,2897,991,209516,2296,81442,3471,582,340,80860,3495,128074,4027,2755,868,125319,3971,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,205216,1191,8575,1449,4381,926,0,200,4381,926,4194,1047,733,428,3461,976,196641,1871,50001,2901,926,531,49075,2950,146640,3051,6537,1306,140103,2997,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4566243,7157,208713,8469,122569,5720,2920,1266,119649,5763,86144,5362,6158,1714,79986,5018,4357530,11166,1735334,17452,20252,2436,1715082,17460,2622196,18778,55702,4165,2566494,18976,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2562313,6309,137866,7364,79176,6024,433,268,78743,6024,58690,4495,2676,930,56014,4458,2424447,8835,1013856,15737,8913,1737,1004943,15609,1410591,13937,22209,2715,1388382,14427,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,322339,1666,18465,1710,12016,1332,292,235,11724,1334,6449,1312,792,456,5657,1209,303874,2261,138898,4103,2279,787,136619,4194,164976,3968,4423,1004,160553,3978,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,377321,2752,22597,2262,15968,2130,510,306,15458,2151,6629,1371,725,448,5904,1313,354724,3453,166727,6007,3002,915,163725,5893,187997,5657,5211,1139,182786,5616,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3096030,6203,159167,5934,103502,4444,1797,681,101705,4405,55665,4052,6972,1519,48693,3737,2936863,7827,1213761,12161,14613,1695,1199148,12057,1723102,12272,39986,3309,1683116,12662,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1560002,5282,80320,4826,52470,3759,571,266,51899,3760,27850,3003,1797,700,26053,2890,1479682,7907,625347,9660,6189,876,619158,9705,854335,11637,14620,2058,839715,11906,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,704110,3103,43263,2961,29190,2394,495,391,28695,2280,14073,1836,1298,606,12775,1758,660847,3881,301773,6417,3978,1022,297795,6412,359074,7188,7004,1266,352070,7099,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,662824,3160,38186,3028,26138,2274,381,361,25757,2257,12048,1867,631,400,11417,1875,624638,4550,288664,5719,3199,792,285465,5611,335974,6810,5927,1303,330047,6582,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1032343,4132,53925,4122,35095,3401,818,472,34277,3307,18830,2264,2023,830,16807,2272,978418,5978,452602,7245,5121,1116,447481,7186,525816,8379,12405,1701,513411,8165,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1128185,4761,62415,4635,32006,2961,329,254,31677,2932,30409,3872,889,470,29520,3821,1065770,6532,413710,9732,3057,932,410653,9532,652060,11153,12068,1968,639992,11052,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,289359,2038,11600,1544,7296,1099,201,216,7095,1080,4304,993,970,500,3334,903,277759,2561,118415,3410,2029,698,116386,3399,159344,3828,7961,1500,151383,4074,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1468211,4224,76129,4771,47610,3582,459,314,47151,3580,28519,2960,2426,842,26093,2934,1392082,6069,571915,8644,5799,1105,566116,8450,820167,8935,17515,2302,802652,8271,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1673226,4222,72160,4581,48820,3407,2207,965,46613,3138,23340,2692,3053,1047,20287,2546,1601066,6328,617507,10472,6733,1444,610774,10525,983559,11644,22844,2509,960715,11598,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2278020,3904,114616,4597,71188,3568,1302,508,69886,3601,43428,3421,4247,926,39181,3273,2163404,5955,869483,10054,12687,1546,856796,10231,1293921,10510,36516,2823,1257405,10722,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1266490,3838,74614,3713,53297,2774,1325,547,51972,2832,21317,2676,2991,866,18326,2495,1191876,5415,536459,6987,6268,1128,530191,6846,655417,6469,24452,2073,630965,6371,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,716877,3222,34417,2901,17090,2036,78,69,17012,2034,17327,2249,1221,542,16106,2163,682460,4414,266567,6472,4082,1064,262485,6544,415893,7611,12894,2076,402999,7725,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1407324,4471,72010,4023,47484,2997,1124,420,46360,2972,24526,2570,2673,955,21853,2520,1335314,6009,586537,10127,7043,1345,579494,9906,748777,10002,19245,2427,729532,9658,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,219668,2000,12432,1833,8822,1575,256,199,8566,1583,3610,827,653,334,2957,797,207236,2838,91697,3422,969,352,90728,3391,115539,4239,3145,834,112394,4129,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
