GEO_ID,B17001I_001E,B17001I_001M,B17001I_002E,B17001I_002M,B17001I_003E,B17001I_003M,B17001I_004E,B17001I_004M,B17001I_005E,B17001I_005M,B17001I_006E,B17001I_006M,B17001I_007E,B17001I_007M,B17001I_008E,B17001I_008M,B17001I_009E,B17001I_009M,B17001I_010E,B17001I_010M,B17001I_011E,B17001I_011M,B17001I_012E,B17001I_012M,B17001I_013E,B17001I_013M,B17001I_014E,B17001I_014M,B17001I_015E,B17001I_015M,B17001I_016E,B17001I_016M,B17001I_017E,B17001I_017M,B17001I_018E,B17001I_018M,B17001I_019E,B17001I_019M,B17001I_020E,B17001I_020M,B17001I_021E,B17001I_021M,B17001I_022E,B17001I_022M,B17001I_023E,B17001I_023M,B17001I_024E,B17001I_024M,B17001I_025E,B17001I_025M,B17001I_026E,B17001I_026M,B17001I_027E,B17001I_027M,B17001I_028E,B17001I_028M,B17001I_029E,B17001I_029M,B17001I_030E,B17001I_030M,B17001I_031E,B17001I_031M,B17001I_032E,B17001I_032M,B17001I_033E,B17001I_033M,B17001I_034E,B17001I_034M,B17001I_035E,B17001I_035M,B17001I_036E,B17001I_036M,B17001I_037E,B17001I_037M,B17001I_038E,B17001I_038M,B17001I_039E,B17001I_039M,B17001I_040E,B17001I_040M,B17001I_041E,B17001I_041M,B17001I_042E,B17001I_042M,B17001I_043E,B17001I_043M,B17001I_044E,B17001I_044M,B17001I_045E,B17001I_045M,B17001I_046E,B17001I_046M,B17001I_047E,B17001I_047M,B17001I_048E,B17001I_048M,B17001I_049E,B17001I_049M,B17001I_050E,B17001I_050M,B17001I_051E,B17001I_051M,B17001I_052E,B17001I_052M,B17001I_053E,B17001I_053M,B17001I_054E,B17001I_054M,B17001I_055E,B17001I_055M,B17001I_056E,B17001I_056M,B17001I_057E,B17001I_057M,B17001I_058E,B17001I_058M,B17001I_059E,B17001I_059M,NAME,B17001I_001EA,B17001I_001MA,B17001I_002EA,B17001I_002MA,B17001I_003MA,B17001I_003EA,B17001I_004MA,B17001I_004EA,B17001I_005EA,B17001I_005MA,B17001I_006EA,B17001I_006MA,B17001I_007EA,B17001I_007MA,B17001I_008MA,B17001I_008EA,B17001I_009MA,B17001I_009EA,B17001I_010MA,B17001I_010EA,B17001I_011MA,B17001I_011EA,B17001I_012MA,B17001I_012EA,B17001I_013EA,B17001I_013MA,B17001I_014MA,B17001I_014EA,B17001I_015EA,B17001I_015MA,B17001I_016EA,B17001I_016MA,B17001I_017MA,B17001I_017EA,B17001I_018EA,B17001I_018MA,B17001I_019MA,B17001I_019EA,B17001I_020EA,B17001I_020MA,B17001I_021EA,B17001I_021MA,B17001I_022MA,B17001I_022EA,B17001I_023EA,B17001I_023MA,B17001I_024EA,B17001I_024MA,B17001I_025MA,B17001I_025EA,B17001I_026EA,B17001I_026MA,B17001I_027EA,B17001I_027MA,B17001I_028EA,B17001I_028MA,B17001I_029EA,B17001I_029MA,B17001I_030MA,B17001I_030EA,B17001I_031EA,B17001I_031MA,B17001I_032EA,B17001I_032MA,B17001I_033EA,B17001I_033MA,B17001I_034EA,B17001I_034MA,B17001I_035EA,B17001I_035MA,B17001I_036MA,B17001I_036EA,B17001I_037EA,B17001I_037MA,B17001I_038EA,B17001I_038MA,B17001I_039EA,B17001I_039MA,B17001I_040EA,B17001I_040MA,B17001I_041MA,B17001I_041EA,B17001I_042EA,B17001I_042MA,B17001I_043MA,B17001I_043EA,B17001I_044EA,B17001I_044MA,B17001I_045EA,B17001I_045MA,B17001I_046EA,B17001I_046MA,B17001I_047MA,B17001I_047EA,B17001I_048MA,B17001I_048EA,B17001I_049EA,B17001I_049MA,B17001I_050EA,B17001I_050MA,B17001I_051EA,B17001I_051MA,B17001I_052MA,B17001I_052EA,B17001I_053MA,B17001I_053EA,B17001I_054MA,B17001I_054EA,B17001I_055EA,B17001I_055MA,B17001I_056EA,B17001I_056MA,B17001I_057EA,B17001I_057MA,B17001I_058MA,B17001I_058EA,B17001I_059MA,B17001I_059EA,state
0400000US01,189127,2089,60432,6304,31087,3664,5952,1277,1376,639,6524,1351,2595,1029,284,214,1174,531,2504,870,3764,1060,4811,1127,1173,607,759,544,171,128,0,192,29345,3866,4510,1222,1071,475,5811,1238,2451,895,1021,505,1013,611,3193,1199,5603,1233,3143,834,915,522,99,97,253,279,262,303,128695,6806,68986,5377,6147,1324,822,566,8109,1650,2845,860,874,516,2018,853,6098,1333,14097,1863,12355,2099,7533,1594,6136,1929,1402,631,550,447,59709,3716,5192,1173,2476,1304,7162,1381,3148,781,871,583,2416,784,6937,1616,9437,1984,9725,1582,5693,1149,3822,1014,1589,586,1241,606,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49486,753,4601,1800,2026,752,59,79,97,105,349,275,389,396,0,149,16,29,674,395,136,149,244,270,4,10,58,118,0,149,0,149,2575,1273,165,196,217,348,271,347,76,107,0,149,267,237,448,348,361,441,453,490,30,42,86,141,201,231,0,149,44885,1957,23056,1253,2557,367,311,278,2413,554,1413,528,138,133,641,384,3311,884,5499,939,2578,802,2148,731,1532,404,430,329,85,133,21829,1452,2032,514,299,274,1887,575,911,567,201,208,1800,692,3000,445,3718,823,3599,748,1736,489,1482,476,1026,393,138,189,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2047715,3308,538357,23021,245056,12102,32250,2704,6429,1413,45560,3694,18932,2654,5756,1118,11478,1955,32914,3754,25755,2959,28669,2729,15867,2311,12863,1779,5230,1085,3353,884,293301,13311,35548,2981,6940,1309,43680,3954,19383,2705,4448,900,11641,2038,34447,3325,44565,2976,42392,3123,21231,2595,14562,1906,8698,1388,5766,1111,1509358,23062,767591,12652,61052,2816,12201,1982,77831,4266,39712,3088,13244,1776,28248,2170,97713,3945,127658,3488,106621,3002,93782,2508,58778,1745,32949,1383,17802,1029,741767,13099,54130,3065,10581,1536,74888,3696,40285,3667,12785,1579,28536,2487,92019,3455,108204,2859,101911,3297,93525,2533,65365,1926,36195,1514,23343,1437,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,204200,2263,67505,7484,35003,4066,5888,1367,704,453,8092,2091,3353,1130,1019,572,1702,891,3330,1129,4096,1223,3033,906,2177,1047,994,543,448,314,167,194,32502,4332,6180,1508,886,531,4629,1374,2290,1158,126,132,426,226,4847,1147,5170,1168,3493,1010,2246,764,1191,534,768,519,250,310,136695,7295,71373,4069,4201,1239,590,462,9802,1942,3058,847,1271,500,3666,809,8125,1104,14292,1552,10773,1146,9392,1314,3607,654,2290,715,306,233,65322,4532,6904,1495,775,611,7873,1663,4406,1238,1285,614,1805,730,8848,1439,9167,1420,10159,1235,6959,1174,4072,907,2033,845,1036,570,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14918784,7883,3137236,51609,1434841,27575,197348,7875,41248,3183,232969,7940,102953,5129,31999,2706,66106,4280,170061,7297,165327,7780,177163,6557,114542,4977,75725,3788,36354,2621,23046,2137,1702395,29324,193940,6595,36024,3648,229925,8174,97984,4655,33584,2784,64539,3201,210869,9295,257370,8005,245583,8382,138320,6034,100877,5044,49047,3456,44333,2783,11781548,51274,6023916,27255,462226,8145,89685,4765,572625,10521,280077,8330,97689,4164,195564,5168,742706,7947,1051655,7823,888823,6972,784818,5017,494604,4107,230797,2932,132647,2743,5757632,29307,439502,6271,81378,5380,554012,9485,276679,7845,93104,4518,189833,4980,670286,9362,897891,7990,815433,8135,756457,5977,514419,5389,278834,3319,189804,3095,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1139312,2558,220646,14876,97570,7764,13113,2091,3125,1014,17220,2591,7112,1533,2564,871,4730,1081,14746,2310,9247,1882,9509,1837,5901,1467,5364,1073,2426,980,2513,776,123076,8413,14363,2049,2304,904,19208,2443,7527,1559,1774,778,3755,996,18607,2218,19531,2244,14953,2098,8946,1665,5737,1410,3525,865,2846,748,918666,14903,478512,8634,39033,2336,8155,1509,54391,3221,24298,2444,7443,777,16340,1553,53497,2727,83030,2455,74044,2289,56047,1894,35138,1307,18737,1140,8359,871,440154,8269,36056,2102,6949,1516,51452,3302,22583,2302,9401,1444,14260,1715,44580,2471,69681,2544,64616,2296,51961,1997,35939,1428,20592,1444,12084,878,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,540349,1685,134730,9763,60307,4877,8728,1461,1117,533,9910,1677,5134,1240,1310,639,2974,871,7800,1624,6781,1562,6228,1402,4265,1259,3210,1118,1666,651,1184,579,74423,6081,7997,1604,2012,715,10821,1640,4488,1106,1184,570,1777,703,7516,1495,12994,1740,8501,1650,7401,1365,4860,1014,3035,840,1837,538,405619,10132,206895,5224,15018,1620,2989,914,19622,1612,9908,1551,3665,895,6079,1172,25404,1704,38365,1791,34044,1762,26624,1382,15477,1202,6719,737,2981,716,198724,6103,15652,1597,1769,773,20650,2040,7782,1576,3412,821,7608,1056,22516,1762,31614,2076,33993,1818,25763,1415,16088,1077,7594,775,4283,624,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,83669,535,24795,4564,12821,2652,2184,678,420,325,2423,966,806,680,0,190,225,279,1547,788,1657,746,2116,794,832,554,397,356,0,190,214,265,11974,2390,1208,486,584,550,1983,950,1023,569,54,92,566,361,998,463,2232,717,1813,828,631,422,355,300,400,301,127,125,58874,4521,30507,2701,2520,645,315,271,2774,702,2101,777,414,412,1354,468,3190,735,5598,910,4859,828,3479,802,1960,439,1493,520,450,355,28367,2439,2595,535,535,305,2941,947,1613,694,478,323,863,496,3619,598,4687,838,4353,945,3505,795,1806,339,945,334,427,299,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68460,866,7921,2690,4630,1765,365,564,0,200,338,380,199,247,287,280,233,254,537,468,636,468,411,395,558,540,717,653,349,424,0,200,3291,1379,69,121,0,200,385,411,25,42,0,200,0,200,865,436,732,651,485,336,127,204,0,200,384,350,219,232,60539,2598,30854,1849,3348,563,420,306,1991,472,1170,442,610,489,347,414,2460,688,7963,468,6080,398,3559,504,2141,722,532,639,233,234,29685,1382,3500,121,81,97,2749,569,931,453,186,247,204,220,1777,593,7659,651,4952,336,3394,205,2554,4,905,432,793,560,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4889573,4343,1005587,34707,448476,18077,50889,4872,11755,2369,61851,4673,26487,3134,8493,1671,15691,2230,47705,5272,56548,5138,49878,5133,39842,3489,28873,2986,28488,3163,21976,2269,557111,21218,52980,4648,9935,2179,53376,5056,22928,3032,9833,2141,16719,2612,53968,4338,82181,4700,78445,5327,56809,5250,44883,4061,40381,3290,34673,2903,3883986,35800,1942935,18482,118572,4754,22084,2794,142203,6308,77891,4654,24964,2208,52153,2810,200349,5290,315481,6514,320210,5084,296768,4218,189822,3379,108739,3577,73699,2535,1941051,21613,109735,4646,25740,3111,142389,7302,74446,4472,27546,3178,49776,3588,180388,5029,273038,4808,298173,5497,295315,5626,210667,4034,137249,3560,116589,3207,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
