GEO_ID,B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,NAME,B12002A_001EA,B12002A_001MA,B12002A_002EA,B12002A_002MA,B12002A_003MA,B12002A_003EA,B12002A_004MA,B12002A_004EA,B12002A_005MA,B12002A_005EA,B12002A_006MA,B12002A_006EA,B12002A_007EA,B12002A_007MA,B12002A_008MA,B12002A_008EA,B12002A_009EA,B12002A_009MA,B12002A_010MA,B12002A_010EA,B12002A_011EA,B12002A_011MA,B12002A_012EA,B12002A_012MA,B12002A_013EA,B12002A_013MA,state
0400000US01,2762466,4177,1340276,3215,372099,8386,743689,9658,20820,2716,41975,2942,161693,6212,1422190,3189,299272,7277,738817,11502,31528,3353,162885,4675,189688,6744,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,397798,2461,213517,1589,72828,3069,111279,2960,2786,813,4378,1016,22246,2263,184281,1607,47880,2634,97956,3087,2789,724,10421,1319,25235,2164,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4337341,18684,2136185,9917,731658,9609,1067283,11740,27261,2314,57561,3955,252422,8348,2201156,10247,588878,9541,1040300,12284,39082,3114,204938,5801,327958,8608,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1893628,4883,925520,3217,245714,6267,519610,7929,14530,2169,30050,2659,115616,5322,968108,3008,190140,4990,511238,8281,18479,2219,112420,4284,135831,5477,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,19535081,47627,9704152,27614,3696052,22852,4749038,21774,161405,6809,232420,6813,865237,14186,9830929,23812,3032161,22702,4514970,24397,235655,7889,830618,12399,1217525,15542,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3773457,9810,1885512,5825,640348,8974,982709,10017,20251,2333,41522,3142,200682,7103,1887945,6053,497560,8830,973875,10572,27596,2738,123949,3906,264965,5758,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2326932,9435,1122584,5608,392687,8041,586580,8812,8298,1622,31187,2610,103832,5057,1204348,5106,346525,5418,576457,7428,12940,1867,115947,4597,152479,6078,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,551870,3319,266270,1989,85846,3345,140131,4058,2831,777,9337,1399,28125,2560,285600,1845,75302,3735,138567,4597,5437,1499,30406,1980,35888,2842,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,240479,2577,119233,1623,63787,2641,46929,2624,877,406,1346,528,6294,1258,121246,1527,63127,2589,43436,2316,1177,621,3870,657,9636,1509,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13080949,21276,6358473,12649,2013056,14742,3227206,21674,118289,7794,220789,7802,779133,16028,6722476,12763,1633360,16527,3119488,23935,160685,7637,785487,13468,1023456,14510,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4974841,11252,2446367,7644,736703,9800,1357140,12590,36252,3621,63269,4013,253003,7986,2528474,6142,590554,8105,1330560,15075,44705,3899,235418,6771,327237,9877,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
