GEO_ID,C17001H_001E,C17001H_001M,C17001H_002E,C17001H_002M,C17001H_003E,C17001H_003M,C17001H_004E,C17001H_004M,C17001H_005E,C17001H_005M,C17001H_006E,C17001H_006M,C17001H_007E,C17001H_007M,C17001H_008E,C17001H_008M,C17001H_009E,C17001H_009M,C17001H_010E,C17001H_010M,C17001H_011E,C17001H_011M,C17001H_012E,C17001H_012M,C17001H_013E,C17001H_013M,C17001H_014E,C17001H_014M,C17001H_015E,C17001H_015M,C17001H_016E,C17001H_016M,C17001H_017E,C17001H_017M,C17001H_018E,C17001H_018M,C17001H_019E,C17001H_019M,NAME,C17001H_001EA,C17001H_001MA,C17001H_002EA,C17001H_002MA,C17001H_003EA,C17001H_003MA,C17001H_004MA,C17001H_004EA,C17001H_005MA,C17001H_005EA,C17001H_006MA,C17001H_006EA,C17001H_007EA,C17001H_007MA,C17001H_008EA,C17001H_008MA,C17001H_009MA,C17001H_009EA,C17001H_010MA,C17001H_010EA,C17001H_011MA,C17001H_011EA,C17001H_012MA,C17001H_012EA,C17001H_013MA,C17001H_013EA,C17001H_014EA,C17001H_014MA,C17001H_015MA,C17001H_015EA,C17001H_016MA,C17001H_016EA,C17001H_017MA,C17001H_017EA,C17001H_018EA,C17001H_018MA,C17001H_019EA,C17001H_019MA,state
0400000US01,3135373,2903,407748,17869,178187,9011,52048,4412,111246,6260,14893,1958,229561,10675,50411,4439,149545,7313,29605,2140,2727625,18035,1353973,9358,274771,4790,833245,6571,245957,2137,1373652,10927,257848,4621,819914,7386,295890,2483,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,443665,1660,28822,3344,14351,2153,4753,1372,8565,1322,1033,500,14471,1790,3517,973,9970,1151,984,394,414843,3598,221436,2338,42309,1380,152437,1537,26690,511,193407,1997,40324,1211,128315,1246,24768,474,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3726942,3981,411329,16057,188254,8967,39874,4838,126448,6916,21932,1893,223075,9747,39743,4600,142749,6091,40583,2542,3315613,15282,1641659,8614,286961,4518,958607,6979,396091,1925,1673954,10010,271663,4785,964628,6093,437663,2816,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2112368,3952,306322,11061,135285,6226,42163,3716,80824,5001,12298,1643,171037,6869,40075,3589,108028,4194,22934,2228,1806046,11573,898311,7120,182960,3911,546778,5365,168573,1786,907735,7466,172659,4097,539199,4401,195877,2373,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14544570,10198,1459741,27890,680396,15865,121556,7171,479772,12369,79068,5070,779345,17820,119397,6838,532687,15055,127261,4991,13084829,30273,6560427,17015,1078848,8388,4207761,12331,1273818,5404,6524402,18772,1018638,7664,4004783,15655,1500981,5065,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3662113,4482,302046,11090,143541,6681,27904,2832,104725,5386,10912,1459,158505,6993,27449,2982,110558,5374,20498,1744,3360067,12149,1683450,7959,330718,3430,1094915,6196,257817,1611,1676617,8357,311487,4330,1070809,6109,294321,1942,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2370305,3671,143735,8449,64873,4635,12287,2187,43776,3602,8810,1614,78862,5596,11407,2152,50431,4349,17024,2001,2226570,10190,1091591,5878,206024,2632,689449,4522,196118,1683,1134979,6036,196886,2209,696341,4674,241752,2426,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,582144,1630,43429,4601,17318,2892,4177,1749,10910,1607,2231,666,26111,2970,5093,1624,16819,1925,4199,746,538715,4748,264491,3062,47431,1842,161964,1866,55096,769,274224,2991,44839,1686,164897,2012,64488,740,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,226455,1779,15682,2541,7940,1432,50,77,7052,1353,838,377,7742,1977,619,779,6447,1368,676,490,210773,2553,105063,1550,12641,182,81603,1537,10819,518,105710,2301,11877,782,81213,1816,12620,548,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10958108,8158,1208652,32710,551681,17604,131501,9119,342352,11714,77828,4753,656971,18550,119270,8117,408317,12870,129384,6563,9749456,34409,4805029,18466,757472,9924,2783384,12562,1264173,5013,4944427,20046,722578,8456,2790835,13671,1431014,6822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
