GEO_ID,C17010H_001E,C17010H_001M,C17010H_002E,C17010H_002M,C17010H_003E,C17010H_003M,C17010H_004E,C17010H_004M,C17010H_005E,C17010H_005M,C17010H_006E,C17010H_006M,C17010H_007E,C17010H_007M,C17010H_008E,C17010H_008M,C17010H_009E,C17010H_009M,C17010H_010E,C17010H_010M,C17010H_011E,C17010H_011M,C17010H_012E,C17010H_012M,C17010H_013E,C17010H_013M,C17010H_014E,C17010H_014M,C17010H_015E,C17010H_015M,C17010H_016E,C17010H_016M,C17010H_017E,C17010H_017M,NAME,C17010H_001EA,C17010H_001MA,C17010H_002EA,C17010H_002MA,C17010H_003MA,C17010H_003EA,C17010H_004MA,C17010H_004EA,C17010H_005EA,C17010H_005MA,C17010H_006EA,C17010H_006MA,C17010H_007EA,C17010H_007MA,C17010H_008MA,C17010H_008EA,C17010H_009MA,C17010H_009EA,C17010H_010EA,C17010H_010MA,C17010H_011EA,C17010H_011MA,C17010H_012EA,C17010H_012MA,C17010H_013MA,C17010H_013EA,C17010H_014MA,C17010H_014EA,C17010H_015MA,C17010H_015EA,C17010H_016EA,C17010H_016MA,C17010H_017EA,C17010H_017MA,state
0400000US01,853275,8901,76307,4613,34068,2568,18137,1908,42239,3624,7582,1534,5067,1369,34657,3312,29173,3141,776968,8698,653108,8551,238591,6397,123860,5487,40132,2833,19347,2174,83728,4307,41488,3339,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,114196,2557,4454,813,1400,416,885,340,3054,811,874,456,786,466,2180,627,2056,620,109742,2694,91757,2607,36889,2534,17985,2040,7456,1238,5199,1072,10529,1545,6668,1227,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,999146,10409,65793,3939,30976,2451,13064,1632,34817,2987,8446,1500,5637,1297,26371,2507,21504,2315,933353,10820,769517,8607,234399,5844,163836,6126,53522,3932,27502,3024,110314,4773,57340,3317,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,589715,7924,58901,3327,25379,2077,14565,1689,33522,2895,6566,1402,4842,1304,26956,2887,22082,2682,530814,7982,444043,7109,162821,4942,86771,4732,26116,2768,14184,2086,60655,4136,31357,3133,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3831075,15107,215077,6235,100336,4542,47880,3205,114741,5513,26580,2849,16417,2174,88161,5110,67302,4912,3615998,15132,2943158,16624,1039967,11274,672840,11982,224161,7172,108648,5611,448679,9801,198471,6556,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,979937,9401,45052,2968,19108,1805,9443,1419,25944,2383,5298,1069,4192,996,20646,2089,18077,2076,934885,9412,785828,8221,308005,6431,149057,6023,50546,3399,29393,2640,98511,4613,53839,3405,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,630428,6683,21166,2123,9087,1348,3460,946,12079,1704,1971,691,956,427,10108,1626,7858,1485,609262,6657,504761,7294,183365,5228,104501,4809,31272,3355,13163,2149,73229,3828,33543,2544,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,157933,3530,7190,1430,2608,681,833,543,4582,1289,1035,673,878,656,3547,957,2928,914,150743,3550,121164,3585,37787,2070,29579,2573,9085,1405,4790,1058,20494,2002,11190,1782,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,43527,2094,475,452,133,120,0,200,342,444,0,200,0,200,342,444,273,430,43052,2144,39183,2147,14551,1375,3869,849,1404,539,741,389,2465,661,1213,475,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2887943,18536,194756,8392,91417,5213,33307,2769,103339,6040,24734,3107,17523,2443,78605,5425,62536,5166,2693187,17983,2211123,18096,605854,9488,482064,10745,148968,5931,70159,4674,333096,9371,158876,7155,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1451475,10573,109454,5179,49707,3643,26344,2705,59747,3983,10157,1775,6997,1299,49590,3435,41043,3281,1342021,10250,1129245,11669,436903,7090,212776,8401,71787,4340,37891,3701,140989,6232,70772,4988,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,87604,2769,4488,1047,2291,690,1204,515,2197,752,722,405,567,339,1475,620,1452,619,83116,2701,72284,2624,27457,2129,10832,1917,3994,1286,1676,839,6838,1328,3100,1025,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,349085,6341,34984,3280,17319,2185,8286,1422,17665,2501,3048,847,2371,778,14617,2337,13171,2204,314101,6220,269286,6102,104459,4673,44815,3585,15009,1953,9285,1627,29806,2922,17373,2145,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2076839,11835,116032,4963,46480,2823,22932,1827,69552,3809,11166,1581,7497,1327,58386,3377,49368,3254,1960807,11736,1640479,12333,618619,9456,320328,8493,102494,4992,50948,3410,217834,6807,106969,4727,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1374825,10063,108377,5973,37623,2699,20832,1860,70754,5062,11383,1846,9204,1611,59371,4311,52029,4234,1266448,10415,1035043,11170,397735,8229,231405,7213,79532,4247,46348,3470,151873,5269,79899,4173,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
