GEO_ID,B11009_001E,B11009_001M,B11009_002E,B11009_002M,B11009_003E,B11009_003M,B11009_004E,B11009_004M,B11009_005E,B11009_005M,B11009_006E,B11009_006M,B11009_007E,B11009_007M,NAME,B11009_001EA,B11009_001MA,B11009_002EA,B11009_002MA,B11009_003MA,B11009_003EA,B11009_004MA,B11009_004EA,B11009_005EA,B11009_005MA,B11009_006MA,B11009_006EA,B11009_007EA,B11009_007MA,state
0400000US01,1846390,11341,77714,4615,1369,429,38488,3354,2188,542,35669,3370,1768676,10976,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,19350,2021,406,316,10052,1447,259,151,8633,1389,230835,3219,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,188569,7411,6411,1270,90250,5278,7021,1299,84887,4709,2274439,13294,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,57597,4223,704,314,30042,2984,1702,656,25149,2746,1087066,9177,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,880589,13227,30261,2329,420406,10006,23529,1948,406393,8991,12015768,20248,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,132347,6489,3317,858,61351,4557,5467,1260,62212,4361,1942388,8264,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,78477,4506,1409,518,35848,3015,1974,782,39246,3358,1265226,6908,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,24879,2477,856,344,12089,2014,617,332,11317,1861,327716,4038,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,19971,2070,1850,557,7907,1380,1010,518,9204,1424,261816,3757,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,486407,10941,18996,2113,234549,8119,14906,1813,217956,7688,6976777,22460,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3656407,14418,192589,7959,5794,1020,87184,5342,7085,1287,92526,5576,3463818,15283,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,445936,4817,29828,2422,1141,464,12260,1653,1151,549,15276,1699,416108,4349,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,597421,4571,32597,2893,1586,708,14371,1990,879,448,15761,1997,564824,5032,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4794523,12954,277005,7794,8555,1386,132651,5861,7352,1311,128447,5939,4517518,14323,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2515143,11611,158661,5912,2832,873,78931,4249,3300,982,73598,4424,2356482,12295,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1247249,6782,81592,4309,887,449,42853,3197,2190,784,35662,2912,1165657,6483,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1111582,6565,61408,3514,1068,368,29729,2314,1676,568,28935,2442,1050174,6391,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1716168,8844,103255,5048,2035,681,49979,3976,2572,630,48669,3102,1612913,9808,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
