GEO_ID,B15012_001E,B15012_001M,B15012_002E,B15012_002M,B15012_003E,B15012_003M,B15012_004E,B15012_004M,B15012_005E,B15012_005M,B15012_006E,B15012_006M,B15012_007E,B15012_007M,B15012_008E,B15012_008M,B15012_009E,B15012_009M,B15012_010E,B15012_010M,B15012_011E,B15012_011M,B15012_012E,B15012_012M,B15012_013E,B15012_013M,B15012_014E,B15012_014M,B15012_015E,B15012_015M,B15012_016E,B15012_016M,NAME,B15012_001EA,B15012_001MA,B15012_002MA,B15012_002EA,B15012_003EA,B15012_003MA,B15012_004EA,B15012_004MA,B15012_005EA,B15012_005MA,B15012_006MA,B15012_006EA,B15012_007MA,B15012_007EA,B15012_008EA,B15012_008MA,B15012_009EA,B15012_009MA,B15012_010EA,B15012_010MA,B15012_011MA,B15012_011EA,B15012_012MA,B15012_012EA,B15012_013MA,B15012_013EA,B15012_014MA,B15012_014EA,B15012_015EA,B15012_015MA,B15012_016EA,B15012_016MA,state
0400000US01,841806,15743,33471,3193,49592,3665,24643,2598,36014,3214,40035,3205,65411,4203,3537,928,84265,5146,188453,6991,140398,5600,26760,2721,39379,2970,25807,2722,26681,2888,57360,3462,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,150247,5419,2761,828,17262,2058,6082,980,7577,1047,9407,1113,10697,1275,1630,636,13677,1908,23216,2732,21152,1872,6232,1180,10099,1288,4649,952,5469,932,10337,1739,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1344724,18209,56055,4249,73750,3766,40387,2908,62793,3344,100005,4886,105904,4868,10612,1549,128655,5812,282489,8878,189718,6532,50974,3759,56363,3419,50178,3486,54918,3915,81923,4676,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,460328,8780,19382,2454,36236,2984,13107,1910,17853,1891,24980,2575,22755,2368,2287,692,45398,3681,97394,4458,85893,4141,17583,1925,22118,2284,10586,1453,17496,2099,27260,2822,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8959957,41456,483266,13716,565743,11141,294535,8774,446573,9524,909448,13841,883751,13024,71737,4165,715843,13436,1635789,21255,590372,12154,493602,9429,521221,11895,515489,11287,380152,8920,452436,11000,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1570814,15409,78388,4333,108840,5143,62335,4371,82130,3943,137480,6279,121675,5712,12534,1847,134115,5707,300796,8035,157354,5820,69652,3359,76414,3973,66049,4010,72740,3839,90312,4838,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1014621,14075,45820,3630,54563,3238,28098,2774,58762,3161,104551,4686,73510,4081,6072,1145,86005,4294,192711,6744,104924,4549,59806,3560,59398,3936,44831,3217,41265,3721,54305,4163,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,214569,6388,9410,1679,12243,1825,8257,1373,10634,1659,16950,1998,16078,2024,2261,797,22536,2521,46323,3619,29102,2801,7048,1247,9262,1329,5934,1080,6259,1278,12272,1625,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,303294,5988,10961,1709,14123,1887,7591,1356,13957,1948,76033,4033,12919,1875,5273,946,12895,1931,36167,2835,12375,1790,27781,2465,28931,2857,13599,2132,18525,2165,12164,1854,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4327916,38145,165175,7942,206255,8081,124395,4904,215916,7098,314712,10022,326072,9776,24430,2774,439698,13326,1023667,17861,608102,12638,150740,6040,191937,7472,132994,6368,161485,6543,242338,8926,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
