GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001MA,B19126_001EA,B19126_002EA,B19126_002MA,B19126_003EA,B19126_003MA,B19126_004EA,B19126_004MA,B19126_005EA,B19126_005MA,B19126_006MA,B19126_006EA,B19126_007EA,B19126_007MA,B19126_008EA,B19126_008MA,B19126_009EA,B19126_009MA,B19126_010EA,B19126_010MA,B19126_011EA,B19126_011MA,state
0400000US01,57160,798,70890,923,77779,2338,67235,1064,28629,1014,37456,2157,31786,3401,41243,2039,26207,851,19634,1067,34986,1542,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86376,3414,101196,2111,96929,5384,104606,5520,44993,4547,52050,10649,42424,21326,60819,12426,42681,4958,36504,4753,53061,7994,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,61042,595,73318,1205,77418,1874,71196,962,35773,741,43521,2540,37437,2375,48283,2778,32121,884,26356,1018,42200,1339,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,52449,912,63991,1090,70416,1546,60943,1089,28396,1297,35026,2378,31717,1533,39134,3885,25997,1403,20624,1598,33325,3017,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,73581,579,90031,553,88572,1244,90745,540,42005,326,50820,719,41301,711,57884,1738,38817,628,27435,673,50548,673,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,78384,1044,90634,923,95495,1710,87000,1100,42379,1209,51909,2823,48990,2612,57898,4643,37930,1763,30010,2087,51657,2348,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,91388,936,110346,1214,120619,2429,104183,1953,45268,1578,59088,4379,45309,8166,68998,6232,41014,1736,32063,2208,53457,3216,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,74931,2244,88506,2308,95911,2487,84002,2835,43095,3348,52672,4861,48305,10223,54562,7088,39510,3405,28922,2622,55449,4940,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,94846,4524,157430,9232,167228,17556,154601,12156,39655,3802,57442,7422,65252,21170,56464,5607,34187,4308,25219,3758,51237,7775,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,59339,526,71449,432,76724,967,69256,622,35080,541,41671,852,34889,1875,47225,1677,32603,638,25902,581,41968,944,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,61250,477,76351,732,80791,959,72978,1087,32104,646,42035,1626,35806,2924,48514,2758,30007,884,22919,1084,38606,1847,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
