GEO_ID,B06008_001E,B06008_001M,B06008_002E,B06008_002M,B06008_003E,B06008_003M,B06008_004E,B06008_004M,B06008_005E,B06008_005M,B06008_006E,B06008_006M,B06008_007E,B06008_007M,B06008_008E,B06008_008M,B06008_009E,B06008_009M,B06008_010E,B06008_010M,B06008_011E,B06008_011M,B06008_012E,B06008_012M,B06008_013E,B06008_013M,B06008_014E,B06008_014M,B06008_015E,B06008_015M,B06008_016E,B06008_016M,B06008_017E,B06008_017M,B06008_018E,B06008_018M,B06008_019E,B06008_019M,B06008_020E,B06008_020M,B06008_021E,B06008_021M,B06008_022E,B06008_022M,B06008_023E,B06008_023M,B06008_024E,B06008_024M,B06008_025E,B06008_025M,B06008_026E,B06008_026M,B06008_027E,B06008_027M,B06008_028E,B06008_028M,B06008_029E,B06008_029M,B06008_030E,B06008_030M,NAME,B06008_001MA,B06008_001EA,B06008_002MA,B06008_002EA,B06008_003MA,B06008_003EA,B06008_004EA,B06008_004MA,B06008_005EA,B06008_005MA,B06008_006MA,B06008_006EA,B06008_007MA,B06008_007EA,B06008_008EA,B06008_008MA,B06008_009EA,B06008_009MA,B06008_010EA,B06008_010MA,B06008_011MA,B06008_011EA,B06008_012MA,B06008_012EA,B06008_013EA,B06008_013MA,B06008_014EA,B06008_014MA,B06008_015EA,B06008_015MA,B06008_016EA,B06008_016MA,B06008_017MA,B06008_017EA,B06008_018MA,B06008_018EA,B06008_019EA,B06008_019MA,B06008_020EA,B06008_020MA,B06008_021EA,B06008_021MA,B06008_022MA,B06008_022EA,B06008_023MA,B06008_023EA,B06008_024EA,B06008_024MA,B06008_025EA,B06008_025MA,B06008_026EA,B06008_026MA,B06008_027EA,B06008_027MA,B06008_028MA,B06008_028EA,B06008_029MA,B06008_029EA,B06008_030EA,B06008_030MA,state
0400000US01,3947204,3082,1231259,14604,1839686,21790,497367,13805,99500,5483,279392,6636,2636958,16589,889137,12933,1142264,17458,336788,10025,69477,4337,199292,5574,1120986,17170,288945,10004,591184,11721,144414,7374,25372,2771,71071,3954,31583,2733,9200,1818,16144,1870,4580,1003,657,478,1002,426,157677,5997,43977,4798,90094,4638,11585,2077,3994,1360,8027,1360,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,582619,876,208095,5019,274708,6013,67141,4171,11382,1632,21293,2050,191119,6409,105665,5371,59920,3676,15897,2012,4752,953,4885,887,322795,6174,83070,4335,177206,5167,45065,3249,4612,858,12842,1664,12693,2087,5037,1426,5418,1148,1913,770,45,54,280,301,56012,3768,14323,2820,32164,2923,4266,947,1973,934,3286,954,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5481996,1114,1837146,17559,2541103,25070,702520,14596,93804,4671,307423,8096,1598892,19487,871523,15323,497444,13302,160421,6378,23831,2477,45673,3038,2917587,17844,727868,16332,1491443,17346,446708,11398,41580,3510,209988,6986,83550,6534,29461,3901,36134,3149,13219,2312,1996,974,2740,1000,881967,14620,208294,9751,516082,12749,82172,5534,26397,2644,49022,3555,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2390981,2948,655919,12039,1198525,16704,314905,8980,51214,4378,170418,6351,1370263,12848,417505,10757,642438,12474,180494,7291,29225,3015,100601,4652,867298,13314,198778,7777,461527,11329,124574,6204,19121,2481,63298,3853,19121,2570,6896,1741,9503,1767,1487,594,581,358,654,443,134299,5058,32740,3865,85057,5615,8350,1965,2287,817,5865,1517,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31576740,3429,11708669,39381,14589965,51198,3008260,22620,690010,15906,1579836,18431,14663841,46213,7485827,39603,5160083,39872,1325886,17133,265684,8516,426361,11019,6090743,34354,1570500,21716,3011666,25279,857556,14005,109448,6004,541573,10023,431350,10939,166439,7337,191212,6823,48690,3125,9083,1482,15926,1861,10390806,44822,2485903,27149,6227004,38072,776128,14965,305795,9159,595976,11524,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4406120,2262,1396534,15555,2227684,18085,530146,10280,63556,3988,188200,5740,1506345,19920,653292,13556,605782,12763,169419,6843,21719,2309,56133,2743,2314183,19996,591223,13237,1274755,16600,309665,9244,28682,2789,109858,4638,72554,5088,28185,3214,33672,3168,8039,1450,917,537,1741,711,513038,12801,123834,7465,313475,7911,43023,3816,12238,2259,20468,2311,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2971949,1156,1050166,12166,1395980,15660,316908,8694,39368,4292,169527,6124,1488154,13357,638402,11660,599612,10865,160956,6907,11303,1759,77881,4025,868829,13064,236016,7639,469448,9502,95330,4854,10022,1725,58013,3339,117345,5808,46060,3844,43404,3504,16745,2118,4887,1194,6249,1227,497621,13481,129688,8224,283516,9837,43877,4142,13156,2176,27384,2571,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,776531,657,262738,6140,364874,9175,86609,4902,13114,2089,49196,2514,301796,8092,138994,5339,106690,5871,35049,3356,4613,1147,16450,1680,380114,7976,102023,5181,198565,6677,43858,3872,6304,1412,29364,2219,11211,1807,4023,1308,4542,994,1995,805,406,326,245,211,83410,4925,17698,3007,55077,3391,5707,1435,1791,793,3137,966,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,569946,266,315642,5783,165132,6852,50419,3367,12448,1891,26305,2091,166145,5488,106360,4542,28485,3105,17748,1978,5241,1172,8311,1255,300691,6639,164511,6078,92266,5012,25494,2641,4535,1143,13885,1762,10963,2191,5310,1252,3860,1320,746,450,453,590,594,547,92147,5270,39461,4395,40521,4206,6431,1188,2219,924,3515,1095,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16889179,3724,5377198,30017,7680472,45958,2234821,26173,409394,12809,1187294,17495,4603590,37865,2444126,32144,1418910,21037,488062,11729,92771,6090,159721,7250,7695640,40780,1744241,24754,3920267,33510,1163650,19660,144565,6136,722917,13914,648181,16737,220265,12764,279328,11785,88058,6627,22506,3058,38024,3942,3941768,38321,968566,23506,2061967,24931,495051,13505,149552,7775,266632,9833,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
