GEO_ID,B25128_001E,B25128_001M,B25128_002E,B25128_002M,B25128_003E,B25128_003M,B25128_004E,B25128_004M,B25128_005E,B25128_005M,B25128_006E,B25128_006M,B25128_007E,B25128_007M,B25128_008E,B25128_008M,B25128_009E,B25128_009M,B25128_010E,B25128_010M,B25128_011E,B25128_011M,B25128_012E,B25128_012M,B25128_013E,B25128_013M,B25128_014E,B25128_014M,B25128_015E,B25128_015M,B25128_016E,B25128_016M,B25128_017E,B25128_017M,B25128_018E,B25128_018M,B25128_019E,B25128_019M,B25128_020E,B25128_020M,B25128_021E,B25128_021M,B25128_022E,B25128_022M,B25128_023E,B25128_023M,B25128_024E,B25128_024M,B25128_025E,B25128_025M,B25128_026E,B25128_026M,B25128_027E,B25128_027M,B25128_028E,B25128_028M,B25128_029E,B25128_029M,B25128_030E,B25128_030M,B25128_031E,B25128_031M,B25128_032E,B25128_032M,B25128_033E,B25128_033M,B25128_034E,B25128_034M,B25128_035E,B25128_035M,B25128_036E,B25128_036M,B25128_037E,B25128_037M,B25128_038E,B25128_038M,B25128_039E,B25128_039M,B25128_040E,B25128_040M,B25128_041E,B25128_041M,B25128_042E,B25128_042M,B25128_043E,B25128_043M,B25128_044E,B25128_044M,B25128_045E,B25128_045M,NAME,B25128_001MA,B25128_001EA,B25128_002EA,B25128_002MA,B25128_003MA,B25128_003EA,B25128_004MA,B25128_004EA,B25128_005MA,B25128_005EA,B25128_006MA,B25128_006EA,B25128_007MA,B25128_007EA,B25128_008MA,B25128_008EA,B25128_009EA,B25128_009MA,B25128_010MA,B25128_010EA,B25128_011EA,B25128_011MA,B25128_012MA,B25128_012EA,B25128_013MA,B25128_013EA,B25128_014MA,B25128_014EA,B25128_015MA,B25128_015EA,B25128_016MA,B25128_016EA,B25128_017MA,B25128_017EA,B25128_018EA,B25128_018MA,B25128_019MA,B25128_019EA,B25128_020EA,B25128_020MA,B25128_021MA,B25128_021EA,B25128_022EA,B25128_022MA,B25128_023EA,B25128_023MA,B25128_024MA,B25128_024EA,B25128_025MA,B25128_025EA,B25128_026MA,B25128_026EA,B25128_027MA,B25128_027EA,B25128_028EA,B25128_028MA,B25128_029EA,B25128_029MA,B25128_030MA,B25128_030EA,B25128_031EA,B25128_031MA,B25128_032MA,B25128_032EA,B25128_033EA,B25128_033MA,B25128_034EA,B25128_034MA,B25128_035MA,B25128_035EA,B25128_036MA,B25128_036EA,B25128_037MA,B25128_037EA,B25128_038EA,B25128_038MA,B25128_039MA,B25128_039EA,B25128_040MA,B25128_040EA,B25128_041MA,B25128_041EA,B25128_042EA,B25128_042MA,B25128_043MA,B25128_043EA,B25128_044EA,B25128_044MA,B25128_045MA,B25128_045EA,state
0400000US33,517615,4643,366739,5787,30492,2603,2815,758,20735,2382,6413,1107,387,368,142,143,0,184,233548,3971,5455,1101,47613,2943,91888,3708,55932,3256,25508,2125,7152,973,102699,2634,975,424,11328,1254,26891,1820,16160,1423,16459,1521,30886,1884,150876,5392,50429,3498,13003,1918,34644,2888,2490,926,278,255,14,25,0,184,72834,3834,9122,1411,42404,3124,15929,2005,3591,857,1119,449,669,413,27613,2214,2315,760,11773,1666,8894,1391,2680,786,847,380,1104,366,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3187963,9239,2009034,12864,134568,4710,13808,1882,82168,3918,33834,3227,2716,768,2042,741,0,197,1278677,11166,24136,2575,218811,7058,541518,9131,324918,7927,120323,4547,48971,2928,595789,8034,4300,1073,44475,2985,124395,5149,104715,3790,97976,3852,219928,5522,1178929,11453,318397,6834,59454,4439,224008,6453,31581,3048,2521,830,833,408,0,197,664170,9900,58751,3233,354998,8632,188717,6423,44098,3212,10623,1580,6983,1281,196362,5436,12393,1920,72815,3389,61990,4329,25892,2213,10381,1598,12891,1464,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,761797,5816,513843,6398,48661,3515,3993,1023,26848,2694,14980,1769,1913,641,927,435,0,193,294743,5199,6094,1160,59892,3380,121522,3913,68234,3567,25249,2073,13752,1746,170439,3965,2019,706,18657,2011,45119,3044,37121,2803,25867,2078,41656,2820,247954,6175,94117,4483,22912,2806,63547,4059,6610,1434,825,572,223,192,0,193,118859,4629,15923,2345,69710,4745,24985,2574,6264,1213,1104,407,873,313,34978,2565,2603,823,15653,1845,10800,1727,2692,927,1509,549,1721,528,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,7233694,15840,3838902,20752,280439,7289,24625,2290,169376,6457,72217,3819,8056,1158,6165,1213,0,190,2390677,16152,40969,2997,419015,9108,939637,12767,596526,10957,269974,5894,124556,4131,1167786,8296,9066,1521,75358,3612,195902,5846,192727,5434,204977,5402,489756,7139,3394792,20532,956719,11442,163447,7093,644651,10517,122501,5709,17544,2071,8576,1815,0,190,1812920,15221,121875,6401,797652,12697,554973,10586,208779,7385,75806,4472,53835,3773,625153,9348,24679,2488,160924,6031,160555,5683,97762,5294,66089,4252,115144,4853,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3843745,15042,2455141,15671,232466,6755,25127,2615,136515,5519,64254,3964,4696,1212,1874,730,0,200,1463971,13572,32469,2813,305437,8261,622440,11529,329188,8589,120196,5164,54241,3676,758704,8855,8346,1329,74996,3865,181369,5926,147355,5237,109241,4300,237397,6610,1388604,15481,499341,10111,115880,5712,351870,9491,27704,3301,2964,1072,923,515,0,200,707905,11914,95307,6219,427128,10125,147875,6783,24055,2577,8890,1757,4650,1188,181358,7703,15161,2306,76185,4708,52842,3449,16093,1466,7892,1393,13185,1567,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,313475,3584,193342,4346,29639,2044,2869,871,20402,2000,5806,885,354,241,208,147,0,151,112343,3126,3365,804,29526,2291,41595,2328,22292,1503,10292,1178,5273,755,51360,1750,268,174,5047,844,10714,1169,8452,935,7369,934,19510,1312,120133,4378,60146,3652,18066,2336,39268,3221,2285,771,358,333,169,157,0,151,42365,2755,5281,1365,24475,2258,9950,1217,1676,467,605,240,378,184,17622,1490,1889,759,7493,947,5138,1037,1476,562,690,302,936,350,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,4606655,12584,3013093,17798,304160,6866,30499,2513,183761,6303,83384,4491,4434,998,2082,618,0,187,1787127,13139,38945,2959,332954,7259,702087,11350,441458,8506,183356,5438,88327,4331,921806,7816,8660,1330,67072,3413,181911,5862,166800,4430,133704,4008,363659,6555,1593562,15621,568301,10174,129849,5908,400130,9411,33121,2586,3184,914,2017,793,0,187,782952,12936,95607,4724,451270,10579,185638,7600,32262,2495,10565,1316,7610,1257,242309,5554,22643,2551,105628,4199,68233,3462,22779,2249,9403,1279,13623,1603,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,1465951,6457,957858,7425,116177,3577,10985,1483,72537,3071,29912,2099,1496,471,1247,494,0,155,544596,5865,14346,1776,136714,4364,224009,4662,107562,3708,42734,2380,19231,1753,297085,3825,3707,839,32474,1854,74750,2518,63036,2424,42393,2233,80725,3286,508093,7135,200447,4511,54267,3353,133365,4623,11267,1479,1060,369,488,395,0,155,241207,5381,36752,2516,143405,4915,46880,2603,10150,1525,2226,578,1794,447,66439,2710,6508,986,31254,2178,18351,1493,5628,773,1835,547,2863,656,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1553205,7348,948891,9420,82247,3779,8747,1505,51817,3010,20497,1950,807,410,379,298,0,197,552357,7909,19771,2247,136783,4988,231893,7523,113053,4829,37718,2964,13139,1416,314287,4694,5153,1109,42737,2678,89717,4075,66946,3658,40847,2486,68887,3011,604314,9054,212161,6211,51256,4647,147257,5641,12737,1895,465,335,446,338,0,197,299018,8191,34970,2676,180907,6680,68140,4228,11461,1760,2245,704,1295,698,93135,4096,8626,1332,48282,3525,24267,2039,7791,1186,2476,623,1693,522,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,4956037,11868,3405756,16407,310709,7879,30317,2766,184199,6281,86013,3524,5779,1118,4401,1007,0,168,2052164,13115,34679,2884,333452,7551,791354,11748,512710,8499,255227,5872,124742,4776,1042883,7991,7407,1261,70285,3040,180348,5312,161153,4868,153286,4477,470404,7113,1550281,14088,506655,9366,114555,5852,346918,8186,40307,3425,3081,975,1794,743,0,168,736565,11628,77808,4616,407400,9447,188089,6449,39493,2598,13120,1732,10655,1472,307061,7000,20013,2271,122646,5452,96449,4730,31891,2722,12656,1479,23406,1946,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
