GEO_ID,C17010_001E,C17010_001M,C17010_002E,C17010_002M,C17010_003E,C17010_003M,C17010_004E,C17010_004M,C17010_005E,C17010_005M,C17010_006E,C17010_006M,C17010_007E,C17010_007M,C17010_008E,C17010_008M,C17010_009E,C17010_009M,C17010_010E,C17010_010M,C17010_011E,C17010_011M,C17010_012E,C17010_012M,C17010_013E,C17010_013M,C17010_014E,C17010_014M,C17010_015E,C17010_015M,C17010_016E,C17010_016M,C17010_017E,C17010_017M,NAME,C17010_001EA,C17010_001MA,C17010_002EA,C17010_002MA,C17010_003MA,C17010_003EA,C17010_004EA,C17010_004MA,C17010_005EA,C17010_005MA,C17010_006EA,C17010_006MA,C17010_007MA,C17010_007EA,C17010_008EA,C17010_008MA,C17010_009EA,C17010_009MA,C17010_010EA,C17010_010MA,C17010_011EA,C17010_011MA,C17010_012EA,C17010_012MA,C17010_013EA,C17010_013MA,C17010_014MA,C17010_014EA,C17010_015EA,C17010_015MA,C17010_016EA,C17010_016MA,C17010_017EA,C17010_017MA,state
0400000US01,1213540,13821,166755,6801,51515,3368,29975,2277,115240,5398,15555,2239,11145,1923,99685,4939,85258,4875,1046785,12834,812159,10469,307928,7488,234626,8295,62684,3968,31067,2996,171942,7122,93497,5635,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,11530,1402,3189,607,2442,583,8341,1315,2523,610,2225,587,5818,1135,5449,1095,152270,3239,117159,3002,51445,3153,35111,2578,12586,1379,8669,1244,22525,2030,15072,1766,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,199101,6307,79787,4481,51168,3707,119314,5013,24356,2486,18114,2186,94958,4438,82597,4441,1399313,13718,1073755,12123,411573,9809,325558,8812,112872,6185,62007,4997,212686,5862,123570,4732,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,104557,5132,38655,2791,23633,2317,65902,4376,11374,1579,8458,1467,54528,4216,45403,3657,656937,9657,522642,8812,200586,6189,134295,6408,38750,3755,21152,2853,95545,5784,52949,4413,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,999318,15054,425891,10038,290997,7926,573427,11172,117468,6222,88012,5810,455959,10138,379394,9825,7836588,26834,5916402,26819,2720325,19068,1920186,22771,659093,11826,330694,8923,1261093,18354,646617,12967,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,101276,4462,41722,2919,25937,2526,59554,3570,9389,1512,7695,1451,50165,3430,44580,3288,1230585,10898,996318,9392,433836,6749,234267,7561,83635,4720,49748,3994,150632,6065,87685,4758,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,65154,3905,17968,1871,9670,1505,47186,3413,6767,1467,4540,1089,40419,3140,34184,3030,811034,9505,629621,8823,250554,6911,181413,7191,51239,4046,24086,2747,130174,5643,70528,4324,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,20424,2359,6121,1108,3495,1020,14303,2168,2225,897,1798,826,12078,1911,10773,1830,214961,4577,164295,4510,59792,2897,50666,3573,13958,1852,6878,1499,36708,2954,20741,2522,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,17494,2145,2534,1020,1343,881,14960,1860,1774,879,1039,722,13186,1741,11116,1685,107684,3823,69323,3446,28775,2758,38361,3157,9060,1655,4385,1183,29301,2662,16461,1833,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,541342,12813,210481,7816,110129,5546,330861,10172,60275,4337,43580,3983,270586,9197,224765,8927,4265269,27423,3234295,25245,1100278,15043,1030974,14937,299386,8623,145408,6865,731588,14779,380478,10256,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
