GEO_ID,C16007_001E,C16007_001M,C16007_002E,C16007_002M,C16007_003E,C16007_003M,C16007_004E,C16007_004M,C16007_005E,C16007_005M,C16007_006E,C16007_006M,C16007_007E,C16007_007M,C16007_008E,C16007_008M,C16007_009E,C16007_009M,C16007_010E,C16007_010M,C16007_011E,C16007_011M,C16007_012E,C16007_012M,C16007_013E,C16007_013M,NAME,C16007_001EA,C16007_001MA,C16007_002EA,C16007_002MA,C16007_003MA,C16007_003EA,C16007_004MA,C16007_004EA,C16007_005MA,C16007_005EA,C16007_006EA,C16007_006MA,C16007_007EA,C16007_007MA,C16007_008EA,C16007_008MA,C16007_009MA,C16007_009EA,C16007_010MA,C16007_010EA,C16007_011EA,C16007_011MA,C16007_012EA,C16007_012MA,C16007_013EA,C16007_013MA,state
0400000US01,4573857,3059,823286,4014,771725,4284,40532,3230,11029,1487,2988724,3931,2822639,6167,103333,4309,62752,4185,761847,2695,746198,2961,5711,1247,9938,1392,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683671,934,131630,1035,114333,2674,5031,1436,12266,1600,481033,1243,397568,4092,20902,2394,62563,3338,71008,1096,61341,1284,1136,454,8531,829,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6398205,1329,1191668,1328,850659,9979,289614,8606,51395,4453,4086533,2007,2882622,15128,909564,12753,294347,8546,1120004,1647,932100,4990,117848,3180,70056,4186,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2789500,2398,517240,3005,467374,3545,40806,2984,9060,2013,1794146,2158,1654281,5410,98555,3833,41310,2695,478114,1779,465516,1683,5757,1267,6841,1138,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36637169,2615,6608769,3207,3654450,22834,2313075,20568,641244,14305,24838842,3552,13312525,41654,7480566,29293,4045751,26546,5189558,2790,3344390,12415,852370,6495,992798,10868,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5123035,2020,923233,1962,738185,7979,147685,6492,37363,4367,3488230,3023,2877216,11050,425233,10220,185781,6598,711572,2450,626486,3582,50486,2276,34600,2566,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3404358,998,576797,1048,454353,5912,76450,4224,45994,4005,2262278,1319,1713757,8798,295720,4797,252801,8066,565283,1034,473860,4237,28635,1205,62788,3928,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890489,219,148755,273,127887,2180,15471,1884,5397,1176,580910,743,497720,4244,44929,2471,38261,3068,160824,664,147875,1316,3794,503,9155,1250,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,628998,6,74608,14,60771,1391,9257,903,4580,1114,477799,743,390940,5362,42533,3308,44326,3853,76591,742,67737,967,4381,909,4473,891,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19172999,3447,3004716,3565,2143301,18935,665011,14247,196404,11099,12223050,4526,8340093,28968,2876233,18040,1006724,22568,3945233,4182,3136793,11372,550044,6364,258396,9194,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
