GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001MA,C15002I_001EA,C15002I_002MA,C15002I_002EA,C15002I_003EA,C15002I_003MA,C15002I_004MA,C15002I_004EA,C15002I_005MA,C15002I_005EA,C15002I_006MA,C15002I_006EA,C15002I_007MA,C15002I_007EA,C15002I_008MA,C15002I_008EA,C15002I_009MA,C15002I_009EA,C15002I_010MA,C15002I_010EA,C15002I_011MA,C15002I_011EA,state
0400000US01,96774,3198,53999,3203,25145,3474,15167,2030,8095,1659,5592,1319,42775,2089,16085,1782,11490,1644,8333,1484,6867,1349,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25926,1001,13080,975,1687,673,3332,789,5708,1151,2353,923,12846,739,1373,763,2631,771,6462,1146,2380,802,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1122913,1595,555194,1081,192541,6320,159843,6313,146755,6979,56055,3699,567719,1085,184160,5150,150398,5391,163523,5426,69638,4245,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,99470,2752,52809,1844,24601,2412,16993,2194,6827,1481,4388,1305,46661,2174,20226,1977,12608,1761,8527,1654,5300,1313,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8573223,1999,4266003,1635,1681435,17321,1150238,15156,968397,14381,465933,10739,4307220,1444,1610191,17407,1063630,14233,1078426,15833,554973,11613,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,633161,2109,320582,2054,100947,4829,100045,5377,78142,4404,41448,3034,312579,1319,89252,4512,86162,4933,88513,4314,48652,3368,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,310831,1248,151823,850,47579,3663,50615,3853,32878,2938,20751,2318,159008,989,42777,2971,47044,3100,40007,2871,29180,2816,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,44801,818,23504,564,9793,1499,7475,1519,3969,1099,2267,891,21297,616,8486,1174,4478,1048,4391,911,3942,933,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45602,-555555555,23356,-555555555,7340,1804,2764,932,3494,1231,9758,1561,22246,-555555555,5474,1224,3847,1503,2499,866,10426,1268,District of Columbia,*****,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,3235668,4189,1559974,3225,364674,11511,470256,12669,389537,11988,335507,11238,1675694,3027,353595,11682,464339,12133,455326,11839,402434,12485,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
