GEO_ID,B16007_001E,B16007_001M,B16007_002E,B16007_002M,B16007_003E,B16007_003M,B16007_004E,B16007_004M,B16007_005E,B16007_005M,B16007_006E,B16007_006M,B16007_007E,B16007_007M,B16007_008E,B16007_008M,B16007_009E,B16007_009M,B16007_010E,B16007_010M,B16007_011E,B16007_011M,B16007_012E,B16007_012M,B16007_013E,B16007_013M,B16007_014E,B16007_014M,B16007_015E,B16007_015M,B16007_016E,B16007_016M,B16007_017E,B16007_017M,B16007_018E,B16007_018M,B16007_019E,B16007_019M,NAME,B16007_001EA,B16007_001MA,B16007_002MA,B16007_002EA,B16007_003MA,B16007_003EA,B16007_004EA,B16007_004MA,B16007_005EA,B16007_005MA,B16007_006EA,B16007_006MA,B16007_007MA,B16007_007EA,B16007_008MA,B16007_008EA,B16007_009EA,B16007_009MA,B16007_010EA,B16007_010MA,B16007_011EA,B16007_011MA,B16007_012MA,B16007_012EA,B16007_013MA,B16007_013EA,B16007_014MA,B16007_014EA,B16007_015EA,B16007_015MA,B16007_016EA,B16007_016MA,B16007_017MA,B16007_017EA,B16007_018MA,B16007_018EA,B16007_019MA,B16007_019EA,state
0400000US01,4573857,3059,823286,4014,771725,4284,40532,3230,3796,1160,6210,1195,1023,724,2988724,3931,2822639,6167,103333,4309,26027,3414,27571,3099,9154,2438,761847,2695,746198,2961,5711,1247,5931,1186,2938,936,1069,645,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683671,934,131630,1035,114333,2674,5031,1436,2314,801,5165,1234,4787,654,481033,1243,397568,4092,20902,2394,11302,2087,29860,1964,21401,1898,71008,1096,61341,1284,1136,454,1248,470,3125,504,4158,447,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6398205,1329,1191668,1328,850659,9979,289614,8606,13194,2941,15507,2327,22694,3290,4086533,2007,2882622,15128,909564,12753,81695,6282,100639,5452,112013,5113,1120004,1647,932100,4990,117848,3180,31811,3323,16625,1689,21620,1366,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2789500,2398,517240,3005,467374,3545,40806,2984,2933,1032,5789,1612,338,270,1794146,2158,1654281,5410,98555,3833,14473,2156,23597,2055,3240,1089,478114,1779,465516,1683,5757,1267,4241,832,2292,679,308,277,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36637169,2615,6608769,3207,3654450,22834,2313075,20568,191728,9881,390550,9374,58966,6466,24838842,3552,13312525,41654,7480566,29293,1142608,24109,2624769,22149,278374,13532,5189558,2790,3344390,12415,852370,6495,297376,9946,648443,6501,46979,4049,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5123035,2020,923233,1962,738185,7979,147685,6492,15769,2629,15029,2746,6565,1882,3488230,3023,2877216,11050,425233,10220,79010,5793,77005,4889,29766,3450,711572,2450,626486,3582,50486,2276,21185,2553,10607,941,2808,869,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3404358,998,576797,1048,454353,5912,76450,4224,31506,3621,10228,1898,4260,1543,2262278,1319,1713757,8798,295720,4797,169642,8570,60431,4238,22728,3978,565283,1034,473860,4237,28635,1205,52783,4015,8573,1044,1432,493,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890489,219,148755,273,127887,2180,15471,1884,2807,923,2279,790,311,403,580910,743,497720,4244,44929,2471,16526,2581,15564,1911,6171,2086,160824,664,147875,1316,3794,503,6069,1184,2603,722,483,336,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,628998,6,74608,14,60771,1391,9257,903,3255,1060,539,330,786,427,477799,743,390940,5362,42533,3308,24746,2861,9735,1282,9845,2144,76591,742,67737,967,4381,909,2050,798,1209,382,1214,572,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19172999,3447,3004716,3565,2143301,18935,665011,14247,141960,9830,35348,3269,19096,3978,12223050,4526,8340093,28968,2876233,18040,707800,19835,221860,8665,77064,7658,3945233,4182,3136793,11372,550044,6364,197847,8633,44107,3060,16442,2686,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
