GEO_ID,B20001_001E,B20001_001M,B20001_002E,B20001_002M,B20001_003E,B20001_003M,B20001_004E,B20001_004M,B20001_005E,B20001_005M,B20001_006E,B20001_006M,B20001_007E,B20001_007M,B20001_008E,B20001_008M,B20001_009E,B20001_009M,B20001_010E,B20001_010M,B20001_011E,B20001_011M,B20001_012E,B20001_012M,B20001_013E,B20001_013M,B20001_014E,B20001_014M,B20001_015E,B20001_015M,B20001_016E,B20001_016M,B20001_017E,B20001_017M,B20001_018E,B20001_018M,B20001_019E,B20001_019M,B20001_020E,B20001_020M,B20001_021E,B20001_021M,B20001_022E,B20001_022M,B20001_023E,B20001_023M,B20001_024E,B20001_024M,B20001_025E,B20001_025M,B20001_026E,B20001_026M,B20001_027E,B20001_027M,B20001_028E,B20001_028M,B20001_029E,B20001_029M,B20001_030E,B20001_030M,B20001_031E,B20001_031M,B20001_032E,B20001_032M,B20001_033E,B20001_033M,B20001_034E,B20001_034M,B20001_035E,B20001_035M,B20001_036E,B20001_036M,B20001_037E,B20001_037M,B20001_038E,B20001_038M,B20001_039E,B20001_039M,B20001_040E,B20001_040M,B20001_041E,B20001_041M,B20001_042E,B20001_042M,B20001_043E,B20001_043M,NAME,B20001_001MA,B20001_001EA,B20001_002EA,B20001_002MA,B20001_003EA,B20001_003MA,B20001_004EA,B20001_004MA,B20001_005EA,B20001_005MA,B20001_006MA,B20001_006EA,B20001_007EA,B20001_007MA,B20001_008EA,B20001_008MA,B20001_009EA,B20001_009MA,B20001_010EA,B20001_010MA,B20001_011MA,B20001_011EA,B20001_012MA,B20001_012EA,B20001_013EA,B20001_013MA,B20001_014EA,B20001_014MA,B20001_015EA,B20001_015MA,B20001_016MA,B20001_016EA,B20001_017MA,B20001_017EA,B20001_018EA,B20001_018MA,B20001_019EA,B20001_019MA,B20001_020EA,B20001_020MA,B20001_021MA,B20001_021EA,B20001_022MA,B20001_022EA,B20001_023MA,B20001_023EA,B20001_024EA,B20001_024MA,B20001_025EA,B20001_025MA,B20001_026MA,B20001_026EA,B20001_027MA,B20001_027EA,B20001_028MA,B20001_028EA,B20001_029EA,B20001_029MA,B20001_030EA,B20001_030MA,B20001_031EA,B20001_031MA,B20001_032MA,B20001_032EA,B20001_033MA,B20001_033EA,B20001_034MA,B20001_034EA,B20001_035EA,B20001_035MA,B20001_036EA,B20001_036MA,B20001_037MA,B20001_037EA,B20001_038MA,B20001_038EA,B20001_039MA,B20001_039EA,B20001_040EA,B20001_040MA,B20001_041EA,B20001_041MA,B20001_042EA,B20001_042MA,B20001_043MA,B20001_043EA,state
0400000US13,5136786,23262,2660515,15866,138732,6184,91114,5534,86994,5295,74531,4738,115939,6387,60709,4365,103065,6211,70285,4957,137255,6718,79317,5572,178016,8388,187815,7380,147111,6414,155947,7874,114422,5497,135814,6883,162980,6857,125946,6552,192435,8335,302088,7647,2476271,17105,183340,8453,125021,5586,125532,6329,98363,5274,170135,7177,84487,5284,131552,6923,87837,5277,140230,7777,79092,5529,174397,7741,176933,7345,131018,7197,134146,6359,94050,5180,98477,4800,134333,6410,87907,4814,111291,6639,108130,4682,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,779895,7137,424242,4282,16554,1875,13245,2030,13612,1575,10096,1442,14801,1864,5485,1048,11995,1649,8290,1300,24385,1916,13185,1967,25176,2519,33044,2654,27287,2631,27107,2658,16219,1917,22093,2292,32959,2740,26131,2342,41231,3140,41347,2539,355653,5376,21497,2138,15734,1917,15527,1883,10490,1389,17560,2324,8736,1250,13666,1701,10699,1687,19781,1883,11728,1642,22661,2526,33448,2876,26448,2400,24098,2439,16960,1959,17081,1968,21461,2298,14613,1477,17289,2051,16176,1712,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,848152,8069,456790,5725,30063,2984,21249,2769,22491,2697,12098,1863,20684,3057,10780,1585,16764,2015,13557,2316,22160,2284,10707,1598,27254,2710,32427,3079,28200,2787,26244,2689,19201,2173,26520,2354,26766,2961,20735,2249,34022,2805,34868,3139,391362,5755,41703,3340,26863,2688,27694,2986,17198,1873,33011,3134,16514,2183,20372,1892,16668,2248,19978,2495,14061,1779,25377,2340,28320,2905,19739,2557,17277,2464,10068,2071,13563,2027,16121,2086,8640,1526,9995,1703,8200,1392,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6819323,21918,3565406,12712,174764,5589,117395,5015,118866,6072,83528,4214,139905,6130,63193,4064,129115,6334,79193,4116,166270,7546,82076,4757,187906,6307,210927,7073,170440,5883,208894,6425,138823,5730,188089,5614,247694,6870,195663,6096,340807,8412,521858,9744,3253917,15994,229416,6427,164295,6568,166632,7073,120911,5339,188677,6183,97072,4699,160922,6707,104411,4652,181092,7101,90727,4508,213985,7735,219077,7654,181093,7590,168181,6502,117465,5438,146233,5436,188444,5605,134045,5649,199116,6585,182123,5419,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3467191,17588,1818067,10788,102726,5302,63466,3546,77573,4176,46392,3591,72164,4415,40731,3661,60387,3654,40176,3406,77617,4311,42277,3402,112118,5471,129387,5758,107028,5241,117482,6261,80849,4466,101658,4153,135517,5178,98369,5736,143776,5600,168374,5767,1649124,12483,142119,6321,98724,4812,92199,4396,67180,4151,107741,4366,57504,3997,85825,4344,53551,3478,99732,5455,52669,3187,122296,4938,130466,6551,100961,4360,82634,4328,60172,3901,59336,3349,83224,4176,47781,3554,59063,3796,45947,3139,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1771284,9108,930567,6271,56686,3059,36099,2917,37185,2694,22437,2345,37826,3584,18402,2275,27692,2824,17837,1986,35809,2796,17989,1905,51953,3792,63211,3508,55943,3610,70688,3666,50677,2735,59968,3482,73303,3910,48609,3093,67440,3838,80813,3625,840717,7260,72895,3612,45854,2885,49069,3496,31505,3029,50450,3240,25617,1886,43711,3627,24515,1734,48625,3133,27989,2303,68499,3817,66220,3683,54180,3437,44528,3067,36627,2728,33902,2088,40212,2669,26667,2142,27645,2103,22007,2030,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1588329,10745,846998,6986,49076,3749,32914,2444,32009,2659,21309,2480,34208,3076,14547,2028,26441,2726,18655,1892,33506,2569,20716,1829,50441,2990,58822,3220,48493,2833,54021,3286,40090,3329,52028,3827,59622,3488,42900,3131,67552,2774,89648,3751,741331,7476,60400,3566,40148,2887,38834,3145,29286,2144,51219,3645,25960,2364,39087,2788,22020,2182,41556,3007,25757,2255,51428,3608,53798,3230,46365,3067,44792,2701,32750,2986,30581,2492,35981,2869,21085,2024,28200,2298,22084,2121,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2184272,11343,1145750,8969,65525,3958,48324,3355,44944,3608,34544,2778,54562,4128,27344,2691,47709,3812,26445,2600,57411,4240,30558,3122,76830,4550,84870,4709,67477,3854,65063,4166,52820,3469,62791,3940,76218,4748,54676,3750,79043,4147,88596,4062,1038522,7930,81748,4247,57380,3820,58887,3960,44471,3201,72249,4245,36863,2889,59162,4448,34149,3138,64886,4443,35855,3525,75642,4125,72848,4681,64631,4037,54541,4033,37125,2944,45029,3265,51155,3812,31307,2865,31976,2409,28618,2253,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2261057,15250,1174166,10472,56880,4515,40599,3730,38844,2920,35972,3551,55308,4525,21989,2900,43510,3444,29692,3631,53983,4428,26455,2572,68449,4407,70618,4376,60304,3703,64469,4116,49900,4272,65330,3661,78875,4494,64494,4778,105019,4741,143476,5959,1086891,10466,72199,4447,56240,4369,52831,4235,52207,4065,77218,5723,49193,4116,64241,4192,43631,3724,61233,4773,37655,3523,80145,4769,75889,5493,61357,4132,69952,4836,45680,3898,42636,3038,44358,3526,31543,2959,37205,3321,31478,2483,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,734760,7486,377786,4950,28457,2558,16298,1652,15884,1987,9362,1714,14250,1837,8356,1364,14697,1864,7388,1453,13993,1395,8678,1761,25915,2589,26935,2224,22489,2099,23335,2493,17171,1936,22824,2230,27476,2133,18369,2261,25851,2150,30058,2391,356974,5345,29075,2381,20429,1840,20648,2380,13343,1658,22318,1939,10160,1426,18340,2119,12557,1868,21173,2277,10071,1424,30505,2833,28176,2672,20230,1929,19440,1787,13396,1904,15145,1839,18970,1951,10386,1557,13391,1600,9221,1311,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
