GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001MA,B13002I_001EA,B13002I_002MA,B13002I_002EA,B13002I_003MA,B13002I_003EA,B13002I_004EA,B13002I_004MA,B13002I_005EA,B13002I_005MA,B13002I_006EA,B13002I_006MA,B13002I_007MA,B13002I_007EA,state
0400000US01,49154,2769,3693,1095,2443,871,1250,708,45461,2584,21409,2458,24052,2532,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14942,986,786,411,555,317,231,279,14156,1051,6652,927,7504,1204,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,561308,1913,36172,3547,20017,2304,16155,2648,525136,4125,202899,5920,322237,6572,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,52610,1455,4830,1398,2765,843,2065,988,47780,2017,26594,2043,21186,2524,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4099694,4982,222317,7616,121503,5411,100814,5718,3877377,9518,1570649,14584,2306728,14578,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,304687,2387,18697,2578,11292,1862,7405,1495,285990,3566,126880,4533,159110,4781,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,153546,1275,6931,1395,2147,702,4784,1174,146615,1900,48843,3194,97772,3229,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22669,651,1503,685,903,567,600,489,21166,863,9973,1071,11193,1307,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20413,493,507,294,420,297,87,102,19906,582,6030,1025,13876,1139,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1295834,4258,61328,4082,34133,2972,27195,2937,1234506,5678,525147,9276,709359,10385,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,249425,2750,17994,2221,12947,2064,5047,1352,231431,3593,109919,4522,121512,4545,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,36398,673,2691,881,1867,835,824,523,33707,1118,14399,1539,19308,1610,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,53325,1525,3022,894,1398,540,1624,718,50303,1755,20990,1774,29313,2235,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,580867,3012,31317,2885,18924,2208,12393,1752,549550,4058,240741,5251,308809,5490,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,112946,3202,6918,1420,4163,1110,2755,817,106028,3473,41985,2822,64043,3774,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,46844,1741,3617,1106,1522,637,2095,768,43227,2034,18427,1742,24800,2038,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
