GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001EA,B19001G_001MA,B19001G_002EA,B19001G_002MA,B19001G_003EA,B19001G_003MA,B19001G_004MA,B19001G_004EA,B19001G_005EA,B19001G_005MA,B19001G_006EA,B19001G_006MA,B19001G_007EA,B19001G_007MA,B19001G_008EA,B19001G_008MA,B19001G_009EA,B19001G_009MA,B19001G_010MA,B19001G_010EA,B19001G_011EA,B19001G_011MA,B19001G_012EA,B19001G_012MA,B19001G_013EA,B19001G_013MA,B19001G_014EA,B19001G_014MA,B19001G_015MA,B19001G_015EA,B19001G_016EA,B19001G_016MA,B19001G_017EA,B19001G_017MA,state
0400000US01,23592,2290,1837,569,2591,766,1911,649,1244,542,1750,737,1326,588,1369,752,1629,662,385,214,1677,662,2418,821,2238,818,1113,487,952,505,631,359,521,424,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13146,1298,694,358,668,419,556,325,608,383,505,276,631,349,778,478,507,288,558,370,658,279,1377,570,2280,799,771,411,730,359,989,417,836,423,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,49645,3723,4076,973,3442,1017,3465,921,2910,930,2157,742,3107,847,2683,830,2727,893,2289,749,4134,868,4495,1069,6129,1076,3444,1054,2196,834,1204,550,1187,495,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16789,2315,2433,871,1617,574,2093,1061,964,464,824,455,885,520,732,360,531,281,510,311,879,470,1784,695,1762,781,607,490,719,387,62,103,387,308,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,396677,8902,25251,2258,19544,2066,17711,2680,17976,2224,15471,2091,17139,2088,13764,1705,17677,2090,12673,1659,29730,3698,39274,3006,51226,3842,35882,3181,25423,2232,27790,2431,30146,2408,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41962,3015,3405,965,1959,648,1754,644,1917,799,1649,608,1632,609,1863,648,1341,458,1494,557,3693,1153,4105,1101,6522,1219,4312,1102,2113,685,2444,750,1759,586,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,23119,2658,2381,950,1006,470,1489,727,1757,763,431,280,623,373,834,396,1545,751,822,441,2292,1036,2128,833,2117,781,1936,848,1514,707,1548,652,696,339,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6106,1197,709,435,105,132,159,188,369,242,67,74,153,147,390,386,644,445,112,142,551,389,1129,485,639,329,560,259,145,148,329,257,45,74,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7086,1105,281,242,438,483,135,159,234,186,95,118,218,204,102,101,175,169,130,156,252,256,535,284,1052,606,712,405,734,478,561,324,1432,536,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,118853,6758,8710,1916,6593,1335,6460,1246,7913,1595,6498,1214,7609,1773,6466,1337,6247,1531,5375,1331,10350,1804,11503,1863,14140,2145,7717,1541,3735,936,4240,936,5297,1677,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,52346,3671,4912,1176,2522,788,3355,1058,3069,961,2024,750,2999,1070,2586,890,2465,929,2552,943,4202,1108,5861,1351,5987,1313,3617,1103,2392,757,1887,688,1916,662,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,74120,3192,3336,821,2118,718,3404,876,3010,890,2808,871,2484,754,1993,607,3021,996,1235,346,5353,1030,7688,1301,12151,1610,8687,1355,6447,1019,5720,956,4665,817,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10187,1799,1285,498,612,467,1334,699,812,479,136,166,510,352,306,256,151,120,270,215,1197,578,967,536,643,377,1357,731,168,166,251,227,188,212,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
