GEO_ID,C18101_001E,C18101_001M,C18101_002E,C18101_002M,C18101_003E,C18101_003M,C18101_004E,C18101_004M,C18101_005E,C18101_005M,C18101_006E,C18101_006M,C18101_007E,C18101_007M,C18101_008E,C18101_008M,C18101_009E,C18101_009M,C18101_010E,C18101_010M,C18101_011E,C18101_011M,C18101_012E,C18101_012M,C18101_013E,C18101_013M,C18101_014E,C18101_014M,C18101_015E,C18101_015M,C18101_016E,C18101_016M,C18101_017E,C18101_017M,C18101_018E,C18101_018M,C18101_019E,C18101_019M,C18101_020E,C18101_020M,C18101_021E,C18101_021M,NAME,C18101_001MA,C18101_001EA,C18101_002EA,C18101_002MA,C18101_003EA,C18101_003MA,C18101_004EA,C18101_004MA,C18101_005MA,C18101_005EA,C18101_006MA,C18101_006EA,C18101_007EA,C18101_007MA,C18101_008EA,C18101_008MA,C18101_009EA,C18101_009MA,C18101_010MA,C18101_010EA,C18101_011MA,C18101_011EA,C18101_012EA,C18101_012MA,C18101_013EA,C18101_013MA,C18101_014EA,C18101_014MA,C18101_015EA,C18101_015MA,C18101_016MA,C18101_016EA,C18101_017EA,C18101_017MA,C18101_018EA,C18101_018MA,C18101_019EA,C18101_019MA,C18101_020EA,C18101_020MA,C18101_021MA,C18101_021EA,state
0400000US01,4781070,1376,2299014,5729,564537,3993,31668,3129,532869,5070,1411387,4760,215667,5898,1195720,6927,323090,2063,131049,4082,192041,3875,2482056,5719,542179,4781,21925,2263,520254,5316,1519693,3777,219918,7603,1299775,8484,420184,1772,176648,4617,243536,4886,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713082,1787,367289,2444,95826,1441,4666,999,91160,1759,236718,2124,25050,2275,211668,3168,34745,726,14105,1159,20640,1200,345793,1921,90091,1323,3277,916,86814,1627,220361,1423,21989,2006,198372,2457,35341,944,13657,1323,21684,1362,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6719354,1844,3293746,3484,824079,2002,34356,3371,789723,4004,1959748,2694,213267,7726,1746481,8037,509919,1267,179301,5495,330618,5525,3425608,3038,795314,1956,24528,2719,770786,3107,2032326,2198,204795,7290,1827531,7652,597968,1577,207677,5252,390291,5600,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2924307,1290,1426441,4241,363246,3433,24894,3009,338352,4399,856738,2663,128177,5174,728561,5691,206457,1612,87518,3377,118939,3342,1497866,4230,340455,3778,15588,1704,324867,4143,902645,2905,136600,5311,766045,6601,254766,1684,107636,3437,147130,3707,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38649621,4947,19053168,7752,4643120,3854,174991,6485,4468129,8079,12148870,6721,1036657,15190,11112213,16950,2261178,3359,765974,9710,1495204,9606,19596453,6021,4460019,3338,104772,5537,4355247,6521,12302981,4246,981305,15304,11321676,15861,2833453,3341,1033195,10642,1800258,11549,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5367335,2710,2673619,4748,639469,3086,25680,2701,613789,4297,1715975,4027,150207,5654,1565768,6559,318175,1683,106395,3935,211780,4367,2693716,4738,615331,3057,13650,2100,601681,3482,1700463,4150,136024,5633,1564439,6131,377922,1653,121366,3321,256556,3314,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3537983,1086,1719257,2740,390026,1522,19103,2314,370923,2651,1091394,2190,96512,5209,994882,5308,237837,1275,70223,3429,167614,3312,1818726,2437,371895,1473,11483,1822,360412,2247,1141256,1700,94179,5110,1047077,5509,305575,1441,98190,3545,207385,3635,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,931203,797,447682,1407,103850,875,5448,1381,98402,1414,273176,1016,26962,2315,246214,2450,70656,647,23365,1477,47291,1554,483521,1246,99921,829,4272,1038,95649,1380,297506,819,27938,2439,269568,2636,86094,634,26010,1837,60084,1781,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660682,666,311147,1154,59831,613,2832,790,56999,962,221903,1297,21963,2351,199940,2646,29413,869,9091,1052,20322,1247,349535,1105,57584,610,2156,713,55428,818,247687,722,23297,2181,224390,2312,44264,548,16371,1352,27893,1381,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19960169,3766,9652725,8224,2080662,5282,115757,6664,1964905,8763,5826380,5787,602271,14503,5224109,14802,1745683,3300,578889,9689,1166794,10752,10307444,7951,2012739,5698,65054,5173,1947685,7946,6161807,5652,584373,14107,5577434,14627,2132898,3781,722363,10882,1410535,11616,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
