GEO_ID,B12505_001E,B12505_001M,B12505_002E,B12505_002M,B12505_003E,B12505_003M,B12505_004E,B12505_004M,B12505_005E,B12505_005M,B12505_006E,B12505_006M,B12505_007E,B12505_007M,B12505_008E,B12505_008M,B12505_009E,B12505_009M,B12505_010E,B12505_010M,B12505_011E,B12505_011M,B12505_012E,B12505_012M,B12505_013E,B12505_013M,NAME,B12505_001MA,B12505_001EA,B12505_002EA,B12505_002MA,B12505_003EA,B12505_003MA,B12505_004MA,B12505_004EA,B12505_005MA,B12505_005EA,B12505_006MA,B12505_006EA,B12505_007EA,B12505_007MA,B12505_008EA,B12505_008MA,B12505_009EA,B12505_009MA,B12505_010MA,B12505_010EA,B12505_011MA,B12505_011EA,B12505_012MA,B12505_012EA,B12505_013EA,B12505_013MA,state
0400000US01,3947204,3082,1885840,4406,643803,10330,1242037,10071,847530,9727,283420,5474,111087,4443,2061364,3408,587456,8211,1473908,8442,1006552,11153,338459,8209,128897,5601,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,582619,876,308121,1381,124335,3516,183786,3533,132734,4220,39700,2913,11352,1618,274498,1421,83760,3301,190738,3109,136598,3742,41138,2963,13002,1563,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5481996,1114,2701575,1639,1009232,10634,1692343,10308,1213832,12082,359666,8750,118845,4916,2780421,1591,827914,9869,1952507,10093,1396917,12224,424912,8564,130678,5229,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2390981,2948,1162989,3454,357585,7805,805404,6963,524083,8893,193037,6118,88284,3933,1227992,3138,298334,7463,929658,7094,603880,8762,228740,6258,97038,4002,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31576740,3429,15576921,4371,6331136,24097,9245785,24120,7443715,22890,1455383,17048,346687,7890,15999819,3197,5377533,24124,10622286,23766,8533340,30844,1704951,20590,383995,9243,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4406120,2262,2206401,3004,782598,9500,1423803,9416,1062384,8962,285592,6211,75827,3809,2199719,2947,613936,9706,1585783,9790,1173668,11803,321238,7953,90877,4698,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2971949,1156,1435144,1881,548808,8848,886336,8688,713528,9457,147287,5581,25521,2183,1536805,1527,501358,6879,1035447,6815,843332,7231,165202,5376,26913,2340,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,776531,657,372263,926,136341,3890,235922,3979,174086,4929,48797,3095,13039,1624,404268,817,126397,4145,277871,3979,208488,4987,56822,3541,12561,1465,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,569946,266,267946,563,153707,4020,114239,3925,95118,3698,16192,1685,2929,709,302000,547,161935,3751,140065,3696,119959,3791,17706,1627,2400,734,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16889179,3724,8167643,5360,2894926,16757,5272717,16903,3700278,22924,1195482,13792,376957,8878,8721536,5405,2482272,19751,6239264,19474,4421269,20399,1410374,13545,407621,9570,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
