GEO_ID,B18102_001E,B18102_001M,B18102_002E,B18102_002M,B18102_003E,B18102_003M,B18102_004E,B18102_004M,B18102_005E,B18102_005M,B18102_006E,B18102_006M,B18102_007E,B18102_007M,B18102_008E,B18102_008M,B18102_009E,B18102_009M,B18102_010E,B18102_010M,B18102_011E,B18102_011M,B18102_012E,B18102_012M,B18102_013E,B18102_013M,B18102_014E,B18102_014M,B18102_015E,B18102_015M,B18102_016E,B18102_016M,B18102_017E,B18102_017M,B18102_018E,B18102_018M,B18102_019E,B18102_019M,B18102_020E,B18102_020M,B18102_021E,B18102_021M,B18102_022E,B18102_022M,B18102_023E,B18102_023M,B18102_024E,B18102_024M,B18102_025E,B18102_025M,B18102_026E,B18102_026M,B18102_027E,B18102_027M,B18102_028E,B18102_028M,B18102_029E,B18102_029M,B18102_030E,B18102_030M,B18102_031E,B18102_031M,B18102_032E,B18102_032M,B18102_033E,B18102_033M,B18102_034E,B18102_034M,B18102_035E,B18102_035M,B18102_036E,B18102_036M,B18102_037E,B18102_037M,B18102_038E,B18102_038M,B18102_039E,B18102_039M,NAME,B18102_001MA,B18102_001EA,B18102_002MA,B18102_002EA,B18102_003EA,B18102_003MA,B18102_004EA,B18102_004MA,B18102_005EA,B18102_005MA,B18102_006MA,B18102_006EA,B18102_007MA,B18102_007EA,B18102_008EA,B18102_008MA,B18102_009EA,B18102_009MA,B18102_010EA,B18102_010MA,B18102_011MA,B18102_011EA,B18102_012MA,B18102_012EA,B18102_013MA,B18102_013EA,B18102_014EA,B18102_014MA,B18102_015EA,B18102_015MA,B18102_016MA,B18102_016EA,B18102_017MA,B18102_017EA,B18102_018MA,B18102_018EA,B18102_019EA,B18102_019MA,B18102_020EA,B18102_020MA,B18102_021MA,B18102_021EA,B18102_022MA,B18102_022EA,B18102_023MA,B18102_023EA,B18102_024MA,B18102_024EA,B18102_025EA,B18102_025MA,B18102_026EA,B18102_026MA,B18102_027MA,B18102_027EA,B18102_028MA,B18102_028EA,B18102_029MA,B18102_029EA,B18102_030MA,B18102_030EA,B18102_031EA,B18102_031MA,B18102_032EA,B18102_032MA,B18102_033EA,B18102_033MA,B18102_034EA,B18102_034MA,B18102_035MA,B18102_035EA,B18102_036EA,B18102_036MA,B18102_037EA,B18102_037MA,B18102_038EA,B18102_038MA,B18102_039EA,B18102_039MA,state
0400000US01,4781070,1376,2299014,5729,146407,3025,926,498,145481,3085,418130,3643,2900,1113,415230,3624,518885,4413,6487,1291,512398,4619,892502,5313,41039,3017,851463,6216,206027,2088,35983,2408,170044,2895,117063,1405,35528,2400,81535,2582,2482056,5719,138715,3426,811,504,137904,3457,403464,3923,1874,739,401590,3920,547326,3801,3528,867,543798,3862,972367,3243,24312,2744,948055,4504,238860,1574,16840,1744,222020,2435,181324,1464,34713,2815,146611,3172,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713082,1787,367289,2444,27836,948,449,400,27387,989,67990,1393,1009,492,66981,1403,96857,2348,1766,752,95091,2505,139861,1544,8145,1092,131716,1786,24693,715,5010,856,19683,972,10052,395,4039,668,6013,657,345793,1921,26865,995,553,367,26312,1055,63226,1063,731,516,62495,1146,86551,1456,1139,602,85412,1673,133810,1465,3653,879,130157,1723,23098,936,2429,693,20669,1106,12243,644,2990,675,9253,716,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6719354,1844,3293746,3484,218706,1550,1438,716,217268,1615,605373,1673,4365,1271,601008,1991,771528,2848,9050,1896,762478,3396,1188220,3309,43146,3223,1145074,4543,304339,1328,44207,2614,260132,2956,205580,1133,62207,3589,143373,3428,3425608,3038,210732,1477,963,565,209769,1614,584582,1505,6034,1450,578548,1779,763044,1730,5272,1302,757772,2106,1269282,2172,27095,2875,1242187,3792,343709,1572,25098,2124,318611,2456,254259,1552,52466,3407,201793,3933,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2924307,1290,1426441,4241,94916,2432,603,363,94313,2545,268330,3427,1719,740,266611,3437,321592,3307,3832,1151,317760,3474,535146,3521,30905,2219,504241,4217,129382,1249,26263,1959,103119,2245,77075,1211,24427,1924,52648,2131,1497866,4230,93788,2299,520,258,93268,2280,246667,3315,2004,663,244663,3243,332781,3235,2274,819,330507,3290,569864,3198,16572,2015,553292,3779,146791,1500,11483,1504,135308,2046,107975,1375,23252,2107,84723,2193,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38649621,4947,19053168,7752,1282420,3029,5392,1721,1277028,3426,3360700,3749,19776,2202,3340924,4355,4844000,6381,35390,3219,4808610,7071,7304870,5385,179153,6090,7125717,8703,1371995,2913,153127,5847,1218868,6291,889183,2724,236382,5602,652801,6181,19596453,6021,1225113,2348,6058,1499,1219055,2904,3234906,2810,14371,2005,3220535,3340,4719036,4172,28811,2639,4690225,5279,7583945,4270,122953,5515,7460992,6516,1582231,3029,83255,3671,1498976,5009,1251222,3266,243007,6630,1008215,6995,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5367335,2710,2673619,4748,169905,2042,997,453,168908,2071,469564,3019,3642,1073,465922,3252,671973,3625,6949,1399,665024,3557,1044002,3775,39770,3005,1004232,4858,206572,1413,31251,2240,175321,2907,111603,1171,33392,1925,78211,2339,2693716,4738,163634,2180,583,361,163051,2212,451697,2405,2289,821,449408,2564,642120,2505,3985,1100,638135,2665,1058343,3500,18049,2048,1040294,3670,226357,1635,13193,1633,213164,2054,151565,1325,31971,2006,119594,2511,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3537983,1086,1719257,2740,95079,868,1090,491,93989,1007,294947,1520,2090,727,292857,1732,390123,2151,2922,1026,387201,2347,701271,1896,18793,2103,682478,2864,144047,910,12909,1632,131138,1609,93790,1204,22560,2102,71230,1892,1818726,2437,91449,751,466,493,90983,807,280446,1346,1846,681,278600,1412,388641,1757,2754,1001,385887,2012,752615,1724,12002,1844,740613,2435,166694,1199,6239,1009,160455,1483,138881,1362,25118,2150,113763,2259,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,931203,797,447682,1407,28449,445,292,455,28157,653,75401,777,241,238,75160,809,101130,983,429,291,100701,1000,172046,1128,4028,897,168018,1443,44247,833,4781,804,39466,1110,26409,686,7053,1071,19356,1208,483521,1246,26996,440,549,530,26447,696,72925,761,234,187,72691,763,106686,878,1050,663,105636,1143,190820,912,2997,664,187823,1136,50696,677,2659,696,48037,1010,35398,656,5636,836,29762,978,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660682,666,311147,1154,22126,448,0,200,22126,448,37705,418,441,421,37264,633,104717,963,1131,691,103586,1155,117186,1147,1531,532,115655,1298,18650,813,1200,443,17450,891,10763,545,1872,550,8891,780,349535,1105,21104,447,66,110,21038,458,36480,424,227,198,36253,464,124398,661,554,317,123844,763,123289,400,1925,626,121364,795,24893,562,1202,481,23691,689,19371,797,2490,691,16881,1014,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19960169,3766,9652725,8224,560755,3100,4275,1592,556480,3660,1519907,5200,7792,1738,1512115,5526,2111859,6845,15575,2707,2096284,7577,3714521,6619,107584,5967,3606937,8420,1004899,2441,112994,5396,891905,6401,740784,2603,188925,6749,551859,7005,10307444,7951,537056,3675,2452,986,534604,3913,1475683,4010,10151,2192,1465532,4797,2137721,5050,12030,2327,2125691,5608,4024086,5272,69087,4576,3954999,6735,1162418,3467,52726,3857,1109692,5266,970480,3446,177680,7715,792800,8468,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
