GEO_ID,C18103_001E,C18103_001M,C18103_002E,C18103_002M,C18103_003E,C18103_003M,C18103_004E,C18103_004M,C18103_005E,C18103_005M,C18103_006E,C18103_006M,C18103_007E,C18103_007M,C18103_008E,C18103_008M,C18103_009E,C18103_009M,C18103_010E,C18103_010M,C18103_011E,C18103_011M,C18103_012E,C18103_012M,C18103_013E,C18103_013M,C18103_014E,C18103_014M,C18103_015E,C18103_015M,C18103_016E,C18103_016M,C18103_017E,C18103_017M,C18103_018E,C18103_018M,C18103_019E,C18103_019M,C18103_020E,C18103_020M,C18103_021E,C18103_021M,NAME,C18103_001MA,C18103_001EA,C18103_002MA,C18103_002EA,C18103_003MA,C18103_003EA,C18103_004EA,C18103_004MA,C18103_005EA,C18103_005MA,C18103_006EA,C18103_006MA,C18103_007MA,C18103_007EA,C18103_008MA,C18103_008EA,C18103_009MA,C18103_009EA,C18103_010EA,C18103_010MA,C18103_011EA,C18103_011MA,C18103_012MA,C18103_012EA,C18103_013MA,C18103_013EA,C18103_014MA,C18103_014EA,C18103_015EA,C18103_015MA,C18103_016EA,C18103_016MA,C18103_017EA,C18103_017MA,C18103_018MA,C18103_018EA,C18103_019MA,C18103_019EA,C18103_020EA,C18103_020MA,C18103_021EA,C18103_021MA,state
0400000US13,10024056,3586,4822637,8741,1277089,6500,8864,1842,1268225,6274,2994158,5137,65643,4282,2928515,6852,551390,3086,39386,3154,512004,4057,5201419,8152,1222245,6787,10235,1827,1212010,7097,3260260,4109,74728,4945,3185532,6692,718914,2601,60934,3742,657980,4423,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1375062,2629,676267,2913,158354,1087,172,130,158182,1075,412667,2818,4674,1053,407993,3014,105246,812,4881,1005,100365,1204,698795,1911,152641,1143,573,348,152068,1120,418534,1428,5528,854,413006,1624,127620,798,6124,1034,121496,1317,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1632247,1674,810197,3168,220680,2425,1550,778,219130,2548,477005,2381,10629,2037,466376,2953,112512,1278,6735,1278,105777,1689,822050,2915,210659,2154,976,399,209683,2206,484900,2349,9872,1477,475028,2589,126491,1446,7576,1257,118915,1773,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12679860,1448,6188024,5299,1505890,3635,11238,1933,1494652,3758,3912825,4309,57001,3662,3855824,5374,769309,2257,40802,3008,728507,3542,6491836,5144,1450372,3913,8388,1462,1441984,4144,4045752,3132,61315,3858,3984437,4591,995712,2866,59948,3754,935764,4681,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6520267,860,3188516,4841,801710,3664,6460,1487,795250,3975,1976833,3958,42338,3240,1934495,5097,409973,2013,26129,2424,383844,2897,3331751,4790,774296,4059,5434,1339,768862,4251,2038337,3645,41221,3221,1997116,4982,519118,2389,35309,2824,483809,3750,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3080411,489,1525900,3477,370310,2373,3121,808,367189,2472,941258,2441,13394,1474,927864,2848,214332,1274,9837,1190,204495,1673,1554511,3463,356185,2547,3137,962,353048,2685,935131,2557,14299,1897,920832,3015,263195,1477,14103,1507,249092,1871,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2850159,1912,1405712,3914,366364,2794,2945,939,363419,2752,857570,3048,15210,1867,842360,3579,181778,1313,11758,1436,170020,1748,1444447,3443,352630,2720,2398,760,350232,2704,866489,2649,16544,1809,849945,2999,225328,1733,14334,1376,210994,2152,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4342711,1272,2115795,4379,515006,3444,4200,1147,510806,3507,1312316,3260,39421,2832,1272895,4302,288473,1311,21513,2141,266960,2522,2226916,4397,493181,3116,4102,998,489079,3425,1370639,3186,40916,2510,1329723,4220,363096,2081,31528,2549,331568,3500,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4567431,2000,2202574,4773,573711,4308,6540,1446,567171,4477,1354080,3898,34497,3157,1319583,5174,274783,2301,19925,1926,254858,2944,2364857,5049,540967,4469,5400,1521,535567,4670,1466691,3027,40168,4233,1426523,5232,357199,1951,31495,3083,325704,3338,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1314849,684,642513,2362,131928,1656,808,525,131120,1742,399942,1898,8628,1517,391314,2448,110643,877,4964,932,105679,1138,672336,2329,123391,1556,910,627,122481,1744,416252,1684,5612,1136,410640,2019,132693,1086,6495,976,126198,1454,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5908522,2325,2843580,4292,687531,2862,4773,1190,682758,3122,1798082,3415,25745,2618,1772337,3825,357967,1695,16435,1736,341532,2153,3064942,4008,658623,3090,3419,874,655204,3251,1940703,2637,30177,2846,1910526,3923,465616,1712,29908,2352,435708,2659,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6718090,912,3252861,3157,707095,1827,4677,1074,702418,2315,2108573,2144,28824,3181,2079749,4097,437193,1530,19821,1835,417372,2340,3465229,2989,676829,1939,4723,1039,672106,2121,2219864,1967,33541,3003,2186323,3645,568536,2057,35928,2903,532608,3469,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9810800,1072,4799205,4029,1126082,2846,9250,1557,1116832,3565,2991314,3405,53740,3603,2937574,4954,681809,1892,33576,2052,648233,2466,5011595,4144,1078361,2772,6598,1209,1071763,2776,3081809,2440,60451,3729,3021358,4124,851425,1841,52075,2752,799350,3279,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5431894,516,2698425,4066,657125,2962,2694,697,654431,3051,1689980,2638,21016,2157,1668964,3043,351320,1651,14313,1570,337007,2278,2733469,4009,623853,2683,3449,945,620404,2862,1686852,2631,20583,2086,1666269,3364,422764,1586,22075,2114,400689,2763,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2927568,1491,1399109,4578,368047,3663,3157,836,364890,3760,845351,3018,24376,2891,820975,3861,185711,1534,14700,1986,171011,2349,1528459,4365,357617,3658,2204,882,355413,3859,928127,2398,29881,3086,898246,3786,242715,1651,21309,1844,221406,2438,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5969392,1755,2907746,4993,709255,3600,4576,1097,704679,3579,1795118,3761,39593,3491,1755525,4865,403373,2119,25541,2247,377832,2823,3061646,4737,678459,3891,5795,1430,672664,4167,1872561,3446,43044,3701,1829517,4906,510626,2370,33679,2816,476947,3177,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,1017458,835,508620,2565,114690,1660,694,477,113996,1742,310193,2087,5131,1220,305062,2100,83737,698,4295,933,79442,1053,508838,2323,110479,1855,874,593,109605,1978,307926,1854,5589,1074,302337,2085,90433,953,5262,894,85171,1386,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1866488,1069,924534,2849,239498,2102,1603,605,237895,2230,565103,2115,9641,1601,555462,2510,119933,939,7236,1005,112697,1374,941954,2615,229745,2159,1916,641,227829,2232,565396,1620,8781,1198,556615,2014,146813,1452,9162,1067,137651,1802,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2855974,1248,1419767,2255,339340,1988,6943,1565,332397,2457,882976,1555,31174,2986,851802,3340,197451,980,15254,1985,182197,2160,1436207,2149,328262,2134,7013,1438,321249,2405,887658,1683,30920,3357,856738,3456,220287,989,16750,1794,203537,2095,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1314249,866,647726,2008,134422,1277,671,319,133751,1342,416695,1619,5323,1265,411372,2143,96609,917,5241,1046,91368,1256,666523,1873,128510,1320,524,291,127986,1308,424272,1219,6889,1509,417383,1871,113741,986,6195,1228,107546,1572,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8850415,1208,4302551,3483,1018010,2318,5502,1072,1012508,2513,2725311,2493,36627,2608,2688684,3587,559230,1970,29305,2752,529925,3118,4547864,3118,975764,2435,5285,1442,970479,2596,2827811,1963,40483,3154,2787328,3563,744289,2205,44385,3326,699904,3735,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2050178,1243,1007659,3417,254891,3034,1471,519,253420,3107,604522,2911,15596,2002,588926,3547,148246,1342,13109,1987,135137,2235,1042519,3200,243524,3065,1849,746,241675,3045,621701,1893,15987,2543,605714,2767,177294,1461,17596,2037,159698,2295,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19556452,1993,9461823,5401,2152865,3863,13638,2157,2139227,4483,6077492,4059,91811,4851,5985681,6539,1231466,2588,67946,3573,1163520,3925,10094629,4885,2051513,3356,13714,1757,2037799,4072,6404204,3684,101702,5442,6302502,6305,1638912,2955,105376,4667,1533536,5489,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9855612,3797,4751881,8158,1168220,5886,10986,2043,1157234,5948,2938815,5731,68011,4452,2870804,6394,644846,2781,40577,3023,604269,3792,5103731,7348,1114791,6016,9599,1886,1105192,6355,3160315,4626,80835,4828,3079480,6664,828625,3148,60677,3293,767948,4342,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
