GEO_ID,C18107_001E,C18107_001M,C18107_002E,C18107_002M,C18107_003E,C18107_003M,C18107_004E,C18107_004M,C18107_005E,C18107_005M,C18107_006E,C18107_006M,C18107_007E,C18107_007M,C18107_008E,C18107_008M,C18107_009E,C18107_009M,C18107_010E,C18107_010M,C18107_011E,C18107_011M,C18107_012E,C18107_012M,C18107_013E,C18107_013M,C18107_014E,C18107_014M,C18107_015E,C18107_015M,NAME,C18107_001EA,C18107_001MA,C18107_002EA,C18107_002MA,C18107_003EA,C18107_003MA,C18107_004EA,C18107_004MA,C18107_005MA,C18107_005EA,C18107_006MA,C18107_006EA,C18107_007EA,C18107_007MA,C18107_008EA,C18107_008MA,C18107_009EA,C18107_009MA,C18107_010EA,C18107_010MA,C18107_011MA,C18107_011EA,C18107_012MA,C18107_012EA,C18107_013EA,C18107_013MA,C18107_014EA,C18107_014MA,C18107_015EA,C18107_015MA,state
0400000US01,3674354,3461,1734477,4591,1411387,4760,75523,3638,1335864,5562,323090,2063,41616,2891,281474,3069,1939877,3459,1519693,3777,84387,5358,1435306,6457,420184,1772,87509,3957,332675,4327,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,527165,1857,271463,2170,236718,2124,7685,1585,229033,2526,34745,726,4382,787,30363,941,255702,1236,220361,1423,9321,1444,211040,1942,35341,944,5847,897,29494,1143,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5099961,2056,2469667,2876,1959748,2694,64774,4210,1894974,4961,509919,1267,50414,3307,459505,3339,2630294,2303,2032326,2198,74204,4750,1958122,5272,597968,1577,98854,4126,499114,4372,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2220606,2177,1063195,2789,856738,2663,41175,3127,815563,3942,206457,1612,27342,1944,179115,2305,1157411,3038,902645,2905,53297,3333,849348,4996,254766,1684,53464,2473,201302,2975,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29546482,5416,14410048,6622,12148870,6721,374451,9333,11774419,11105,2261178,3359,295567,7679,1965611,8312,15136434,4585,12302981,4246,386337,9858,11916644,11009,2833453,3341,572780,9154,2260673,9618,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4112535,3482,2034150,4325,1715975,4027,46936,3451,1669039,5047,318175,1683,27838,2151,290337,2774,2078385,3752,1700463,4150,47163,3060,1653300,4879,377922,1653,56759,3223,321163,3517,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2776062,1382,1329231,2357,1091394,2190,30311,2926,1061083,3500,237837,1275,22385,2114,215452,2253,1446831,1864,1141256,1700,36241,3252,1105015,3536,305575,1441,51898,3333,253677,3387,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,727432,849,343832,1021,273176,1016,9942,1709,263234,1921,70656,647,6891,1087,63765,1292,383600,871,297506,819,8976,1345,288530,1579,86094,634,12107,1378,73987,1389,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,543267,667,251316,1028,221903,1297,5509,1222,216394,1658,29413,869,3798,738,25615,1103,291951,952,247687,722,7135,1494,240552,1636,44264,548,8242,1154,36022,1219,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15866768,4364,7572063,5847,5826380,5787,207326,8823,5619054,9878,1745683,3300,177869,6056,1567814,7489,8294705,5265,6161807,5652,223839,8644,5937968,9764,2132898,3781,349780,10878,1783118,11905,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
